,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011314,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DQKJ,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526454420535,-29,-32,-54,-45,-59,-51,-62,-49,-58,-54,-43,-49,-50,-52,-53,-56,-54,-55,-60,-56,-64,-55,-67,-76,-68,-66,-200,-58,-77,-75,-70,-200,-200,-70,-76,-200,-79,-82,-69,-75,-77,-76,-77,-79,-200,-200,-200,-77,-76,-200,-200,-82,-200,-76,-200,-200,-76,-200,-200,-70,-200,-200,-200,-200,-56,-200,-200,-78,-200,-200,-200,-200,-75,-77,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454423575,-27,-37,-51,-45,-52,-49,-55,-46,-58,-56,-53,-52,-56,-45,-52,-52,-56,-55,-75,-56,-62,-55,-67,-200,-200,-66,-61,-59,-77,-75,-70,-200,-200,-50,-81,-200,-200,-200,-69,-200,-80,-82,-75,-76,-78,-82,-81,-79,-74,-200,-200,-82,-200,-74,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-54,-200,-90,-200,-200,-73,-200,-200,-75,-77,-86,-80,-82,-83,-88,-200,-200,-200,-200,-200,-200,-200
1526454426637,-28,-37,-46,-47,-50,-50,-52,-48,-200,-65,-79,-78,-54,-49,-52,-52,-56,-56,-75,-54,-62,-54,-200,-72,-70,-200,-63,-60,-200,-79,-76,-200,-200,-70,-79,-86,-200,-200,-200,-200,-80,-77,-77,-76,-79,-82,-81,-78,-74,-80,-200,-200,-200,-77,-200,-200,-77,-200,-200,-68,-200,-200,-200,-200,-54,-91,-90,-200,-200,-73,-200,-200,-200,-200,-200,-80,-82,-83,-88,-88,-200,-200,-200,-200,-200,-200
1526454429702,-32,-33,-45,-57,-55,-51,-55,-49,-57,-64,-43,-50,-73,-50,-64,-200,-59,-64,-68,-54,-60,-76,-70,-72,-66,-72,-63,-73,-200,-80,-62,-200,-200,-72,-78,-83,-200,-77,-71,-200,-81,-81,-76,-75,-79,-200,-200,-79,-74,-80,-200,-200,-200,-76,-200,-71,-77,-200,-200,-65,-200,-83,-67,-200,-77,-91,-87,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-88,-86,-200,-200,-200,-200,-200
1526454432755,-30,-38,-48,-46,-57,-48,-55,-59,-83,-59,-43,-50,-50,-55,-48,-63,-56,-64,-68,-52,-63,-56,-68,-72,-66,-69,-68,-62,-200,-75,-62,-200,-76,-70,-75,-83,-200,-77,-71,-200,-77,-86,-74,-75,-200,-200,-200,-79,-72,-81,-200,-200,-200,-83,-200,-71,-200,-200,-200,-69,-200,-83,-67,-200,-77,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526454435771,-32,-39,-48,-46,-48,-53,-48,-54,-54,-63,-44,-51,-46,-54,-46,-63,-55,-60,-200,-52,-63,-58,-63,-200,-200,-69,-68,-62,-200,-81,-58,-200,-76,-53,-80,-200,-200,-200,-200,-63,-76,-84,-79,-200,-200,-200,-200,-200,-74,-81,-200,-200,-200,-79,-200,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200,-200,-89,-200,-76,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454438800,-28,-35,-49,-46,-53,-53,-48,-57,-55,-64,-42,-46,-51,-51,-51,-200,-55,-60,-200,-53,-65,-58,-66,-67,-61,-200,-64,-66,-200,-79,-66,-200,-200,-71,-80,-200,-200,-200,-200,-72,-81,-83,-76,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-67,-200,-200,-66,-200,-200,-200,-91,-200,-76,-73,-200,-76,-200,-78,-200,-200,-200,-200,-200,-200,-200,-73,-74,-85,-200,-200
1526454441804,-26,-37,-47,-80,-54,-51,-51,-50,-55,-68,-41,-46,-47,-52,-57,-64,-55,-66,-200,-48,-200,-55,-67,-70,-200,-71,-64,-64,-69,-82,-67,-200,-200,-70,-78,-200,-200,-79,-200,-74,-77,-78,-80,-200,-76,-78,-200,-81,-73,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-56,-200,-89,-200,-200,-71,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200
1526454444808,-27,-33,-54,-53,-53,-49,-51,-49,-59,-71,-43,-51,-50,-53,-58,-64,-60,-66,-200,-52,-200,-56,-67,-71,-200,-71,-67,-65,-69,-82,-67,-200,-200,-50,-78,-84,-200,-79,-200,-74,-74,-50,-77,-200,-76,-79,-200,-81,-73,-84,-200,-200,-200,-71,-200,-200,-200,-82,-200,-82,-200,-81,-200,-200,-74,-200,-89,-200,-200,-71,-200,-200,-200,-200,-84,-200,-200,-200,-200,-83,-200,-73,-200,-81,-200,-200
1526454447881,-29,-33,-46,-54,-52,-49,-51,-51,-60,-73,-42,-51,-49,-54,-52,-64,-59,-64,-66,-53,-70,-52,-61,-71,-65,-71,-67,-66,-69,-80,-85,-200,-200,-69,-78,-84,-200,-79,-200,-74,-75,-79,-77,-200,-78,-79,-200,-77,-73,-84,-200,-200,-200,-83,-200,-200,-200,-82,-200,-69,-200,-81,-200,-200,-74,-200,-89,-200,-200,-71,-200,-200,-200,-200,-84,-200,-200,-200,-200,-83,-200,-73,-200,-81,-86,-88
1526454450932,-69,-32,-47,-51,-52,-51,-51,-49,-63,-63,-42,-50,-49,-54,-56,-200,-57,-61,-65,-59,-64,-54,-57,-68,-65,-69,-66,-61,-200,-82,-64,-200,-200,-72,-78,-200,-200,-200,-72,-74,-51,-79,-79,-200,-78,-200,-200,-79,-72,-200,-200,-200,-200,-80,-200,-200,-200,-82,-200,-69,-200,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-72,-200,-200,-86,-88
1526454453992,-26,-33,-55,-51,-53,-51,-53,-49,-58,-63,-48,-48,-49,-52,-51,-62,-56,-64,-69,-50,-61,-55,-75,-68,-66,-86,-81,-63,-71,-81,-63,-200,-200,-75,-75,-200,-200,-200,-72,-74,-76,-82,-79,-200,-200,-200,-200,-79,-73,-200,-200,-200,-200,-72,-200,-200,-200,-82,-200,-200,-200,-200,-78,-200,-63,-200,-89,-200,-200,-200,-200,-88,-200,-89,-200,-200,-80,-200,-200,-78,-200,-72,-200,-200,-200,-200
