,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526455248994,-47,-53,-46,-38,-56,-53,-50,-79,-64,-71,-57,-70,-63,-64,-74,-78,-68,-84,-67,-72,-200,-85,-200,-81,-84,-75,-200,-82,-88,-86,-79,-83,-200,-83,-88,-73,-84,-200,-86,-83,-89,-200,-200,-200,-200,-61,-68,-77,-79,-200,-200,-200,-73,-200,-200,-90,-200,-200,-200,-200,-69,-200,-200,-200,-88,-89,-84,-81,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455252000,-46,-52,-49,-47,-61,-60,-59,-62,-61,-66,-60,-64,-60,-60,-200,-82,-72,-200,-65,-77,-67,-83,-77,-73,-84,-71,-76,-83,-85,-86,-78,-79,-200,-200,-85,-72,-200,-86,-200,-83,-89,-200,-87,-82,-200,-56,-66,-77,-78,-86,-200,-200,-82,-200,-200,-90,-89,-87,-87,-85,-62,-200,-200,-200,-200,-200,-80,-81,-89,-90,-84,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455255064,-45,-53,-52,-38,-54,-58,-57,-58,-61,-64,-62,-67,-61,-66,-70,-82,-70,-200,-78,-77,-72,-77,-83,-72,-84,-79,-76,-80,-81,-85,-81,-84,-200,-200,-85,-73,-200,-83,-200,-85,-89,-200,-89,-86,-200,-57,-78,-200,-81,-87,-200,-200,-82,-200,-90,-200,-89,-87,-87,-85,-69,-200,-200,-200,-200,-90,-80,-200,-89,-200,-84,-90,-86,-88,-89,-91,-200,-200,-200,-200,-200
1526455258123,-44,-56,-51,-39,-57,-60,-56,-56,-60,-64,-62,-71,-61,-67,-67,-74,-73,-81,-78,-77,-67,-83,-83,-72,-73,-73,-76,-78,-81,-85,-81,-84,-200,-200,-84,-73,-200,-83,-200,-85,-89,-200,-89,-86,-200,-53,-78,-200,-76,-87,-200,-200,-82,-200,-89,-200,-89,-87,-87,-85,-64,-200,-200,-91,-200,-90,-80,-200,-89,-200,-84,-90,-86,-88,-89,-91,-82,-86,-200,-200,-200
1526455261165,-44,-57,-77,-37,-51,-58,-58,-80,-63,-70,-59,-71,-200,-70,-67,-74,-74,-81,-76,-92,-67,-84,-79,-200,-85,-75,-200,-78,-200,-200,-80,-200,-200,-200,-85,-200,-84,-84,-200,-81,-200,-200,-88,-200,-200,-57,-200,-200,-76,-200,-200,-200,-76,-200,-89,-200,-200,-200,-200,-200,-64,-200,-200,-91,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-86,-200,-200,-200
1526455264212,-46,-51,-51,-38,-57,-52,-57,-77,-59,-68,-57,-72,-57,-59,-73,-73,-66,-200,-72,-78,-74,-81,-87,-200,-80,-78,-200,-88,-200,-87,-77,-84,-200,-200,-84,-79,-84,-84,-200,-81,-200,-200,-86,-200,-89,-57,-73,-77,-78,-200,-84,-200,-76,-200,-89,-200,-200,-200,-200,-200,-67,-88,-200,-200,-200,-200,-200,-81,-88,-200,-200,-200,-200,-200,-83,-200,-200,-200,-92,-200,-200
1526455267250,-39,-58,-47,-35,-49,-54,-65,-76,-66,-63,-59,-69,-63,-66,-64,-70,-65,-68,-68,-74,-74,-86,-79,-200,-80,-69,-200,-82,-49,-86,-80,-83,-200,-200,-84,-78,-81,-200,-76,-81,-81,-200,-86,-200,-83,-59,-68,-77,-86,-87,-84,-200,-73,-200,-89,-200,-200,-200,-200,-200,-68,-88,-200,-200,-200,-200,-200,-83,-87,-200,-200,-89,-200,-200,-83,-200,-86,-200,-92,-79,-200
1526455270308,-40,-50,-51,-40,-48,-55,-64,-77,-66,-68,-58,-71,-63,-58,-64,-70,-65,-68,-68,-75,-75,-83,-79,-200,-200,-70,-200,-82,-77,-86,-78,-82,-80,-200,-200,-72,-81,-200,-76,-81,-81,-200,-200,-200,-83,-59,-69,-79,-73,-64,-200,-200,-72,-200,-200,-200,-200,-200,-81,-200,-67,-90,-200,-200,-200,-200,-200,-84,-85,-200,-79,-88,-200,-200,-200,-200,-86,-200,-200,-79,-200
1526455273352,-39,-49,-47,-40,-51,-52,-51,-74,-66,-61,-57,-72,-58,-66,-64,-70,-64,-68,-61,-74,-71,-86,-79,-72,-200,-67,-200,-82,-85,-86,-76,-82,-80,-200,-200,-73,-81,-200,-82,-81,-81,-200,-200,-200,-83,-62,-68,-79,-73,-64,-200,-200,-75,-200,-89,-200,-200,-200,-81,-87,-65,-90,-200,-85,-200,-200,-79,-84,-85,-200,-79,-88,-200,-86,-82,-200,-86,-200,-200,-79,-89
1526455276363,-44,-49,-53,-73,-55,-54,-52,-74,-60,-67,-59,-70,-73,-58,-71,-68,-72,-200,-63,-74,-75,-83,-82,-71,-84,-74,-200,-77,-85,-83,-79,-200,-80,-200,-78,-73,-79,-200,-82,-200,-81,-200,-200,-200,-200,-51,-67,-200,-200,-200,-200,-200,-76,-200,-89,-200,-200,-200,-84,-87,-69,-200,-200,-85,-200,-88,-79,-79,-200,-200,-200,-200,-200,-86,-82,-200,-200,-200,-200,-200,-89
1526455279427,-45,-52,-51,-41,-55,-54,-56,-56,-61,-71,-67,-68,-62,-70,-66,-76,-70,-200,-73,-76,-73,-85,-84,-71,-86,-71,-200,-81,-200,-82,-79,-85,-80,-200,-86,-77,-79,-200,-200,-200,-200,-200,-200,-200,-200,-60,-70,-200,-200,-89,-200,-200,-73,-200,-200,-88,-200,-200,-84,-200,-69,-200,-200,-200,-86,-88,-79,-89,-90,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455282486,-46,-52,-54,-38,-53,-54,-53,-73,-62,-62,-55,-61,-62,-58,-66,-81,-74,-200,-75,-72,-72,-82,-76,-200,-69,-69,-200,-80,-84,-82,-79,-85,-200,-200,-89,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-60,-70,-200,-200,-89,-200,-200,-77,-200,-200,-88,-200,-200,-200,-87,-200,-200,-200,-200,-86,-200,-200,-83,-82,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
