,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526454078314,-200,-75,-200,-200,-200,-80,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-76,-200,-65,-200,-200,-200,-200,-200,-90,-80,-200,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454079382,-200,-200,-200,-200,-200,-200,-200,-81,-200,-78,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454080477,-200,-200,-76,-87,-200,-88,-200,-200,-72,-200,-200,-85,-200,-200,-79,-200,-88,-89,-200,-200,-200,-200,-200,-200,-200,-79,-200,-83,-200,-200,-89,-95,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454081618,-81,-200,-200,-200,-200,-82,-200,-200,-200,-74,-200,-78,-200,-200,-77,-200,-200,-200,-200,-200,-66,-74,-200,-200,-200,-76,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454081722,-200,-200,-75,-83,-200,-83,-200,-200,-70,-74,-200,-86,-200,-200,-200,-200,-95,-200,-87,-200,-200,-76,-85,-200,-200,-79,-200,-200,-200,-200,-85,-200,-200,-93,-93,-90,-80,-93,-200,-200,-200,-200
1526454083939,-80,-79,-200,-83,-200,-80,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-90,-200,-200,-200,-66,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454084997,-200,-80,-73,-200,-200,-200,-88,-200,-200,-72,-200,-200,-200,-200,-81,-200,-200,-86,-200,-200,-200,-78,-200,-200,-200,-200,-83,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454086092,-200,-79,-74,-80,-200,-200,-200,-78,-79,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-90,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-88,-200,-200,-200
1526454087201,-200,-82,-200,-95,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-90,-200,-73,-200,-200,-200,-91,-200,-88,-76,-86,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-94,-94,-200
1526454089419,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-63,-200,-93,-93,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200
1526454091593,-200,-79,-200,-200,-200,-200,-84,-200,-79,-200,-200,-85,-200,-200,-200,-200,-91,-200,-78,-200,-68,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526454091701,-200,-79,-200,-200,-200,-200,-84,-200,-75,-74,-200,-200,-200,-200,-86,-200,-90,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454092779,-200,-80,-70,-200,-200,-200,-200,-81,-71,-70,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-67,-83,-200,-200,-200,-78,-94,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526454095000,-82,-83,-200,-89,-200,-84,-200,-200,-70,-72,-200,-76,-200,-200,-75,-200,-200,-90,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-83,-200,-200,-200
1526454096158,-84,-74,-73,-200,-200,-85,-200,-200,-73,-200,-200,-200,-200,-200,-79,-95,-200,-200,-200,-200,-82,-77,-92,-200,-200,-77,-89,-200,-200,-200,-200,-200,-200,-200,-200,-90,-78,-200,-200,-200,-200,-200
1526454098301,-80,-85,-200,-200,-90,-87,-83,-75,-75,-75,-200,-200,-86,-200,-72,-95,-200,-88,-73,-200,-200,-86,-200,-200,-94,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-89,-200,-200
1526454100503,-200,-76,-200,-200,-200,-200,-84,-200,-200,-200,-200,-92,-83,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454101584,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200
1526454101696,-200,-200,-200,-83,-200,-85,-200,-76,-200,-85,-93,-92,-200,-200,-200,-200,-200,-200,-81,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454102792,-81,-200,-200,-200,-200,-200,-200,-81,-200,-73,-200,-91,-200,-200,-86,-200,-200,-200,-75,-200,-85,-200,-200,-200,-200,-200,-92,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200
1526454103949,-200,-200,-200,-200,-200,-80,-200,-79,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200
1526454104994,-81,-78,-75,-200,-200,-82,-84,-75,-200,-200,-93,-93,-200,-200,-200,-200,-200,-92,-87,-200,-200,-200,-84,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526454106149,-200,-200,-78,-200,-200,-89,-200,-82,-86,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-90,-90,-200,-92,-87,-200,-200,-200,-200,-200,-200,-200,-92,-91,-200,-200,-200,-200,-97
1526454108302,-81,-200,-72,-200,-89,-85,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454109403,-200,-200,-70,-200,-200,-200,-200,-74,-74,-75,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454110475,-200,-200,-200,-200,-91,-86,-200,-76,-200,-200,-200,-84,-200,-200,-200,-200,-200,-93,-88,-200,-66,-200,-200,-200,-92,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454111586,-200,-200,-73,-200,-200,-200,-200,-200,-72,-73,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-84,-200,-88,-77,-88,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454112810,-200,-200,-73,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-75,-80,-85,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454113871,-200,-200,-73,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-200,-91,-200,-76,-200,-72,-78,-200,-83,-200,-200,-200,-79,-92,-200,-200,-200,-200,-200,-200,-88,-200,-200,-90,-200,-200,-200
1526454115018,-200,-74,-200,-82,-200,-200,-200,-85,-82,-200,-200,-80,-84,-200,-74,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-85,-200,-200,-200
1526454117208,-200,-200,-76,-200,-200,-88,-200,-75,-78,-78,-200,-200,-200,-200,-72,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-87,-84,-200,-200,-200,-200,-200
1526454119377,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-86,-200,-200,-200
1526454119486,-200,-200,-70,-91,-200,-80,-200,-77,-200,-71,-92,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-71,-82,-200,-200,-200,-200,-78,-200,-200,-88,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200
1526454120532,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200
1526454121597,-200,-75,-75,-87,-200,-200,-90,-200,-200,-200,-200,-93,-85,-200,-200,-200,-94,-200,-82,-200,-200,-76,-200,-200,-200,-70,-94,-81,-95,-200,-200,-200,-200,-200,-200,-200,-78,-200,-89,-200,-200,-200
1526454121747,-200,-75,-72,-200,-200,-200,-82,-80,-200,-200,-200,-80,-200,-200,-77,-200,-200,-200,-200,-200,-62,-73,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454123881,-200,-83,-74,-200,-200,-200,-200,-78,-75,-200,-200,-200,-80,-200,-200,-200,-200,-200,-75,-200,-200,-75,-81,-200,-200,-81,-200,-80,-200,-200,-90,-200,-200,-200,-95,-200,-79,-200,-84,-200,-200,-200
1526454124981,-200,-77,-71,-200,-88,-200,-86,-200,-75,-200,-200,-85,-85,-200,-77,-200,-200,-200,-200,-200,-80,-200,-89,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-92,-200,-200,-200
1526454126146,-80,-200,-75,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200
1526454127188,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-77,-200,-200,-200,-83,-200,-200,-79,-91,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-94,-200
1526454128322,-200,-200,-92,-200,-200,-90,-200,-200,-200,-79,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200
1526454129400,-200,-72,-200,-200,-200,-78,-200,-76,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-66,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
