,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A38,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A60,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526461888557,-62,-51,-46,-48,-35,-51,-76,-62,-48,-64,-44,-72,-69,-65,-80,-75,-73,-75,-67,-57,-70,-62,-68,-200,-76,-63,-80,-74,-73,-65,-64,-68,-86,-79,-88,-200,-96,-71,-74,-84,-80,-88,-69,-200,-79,-83,-82,-72,-77,-73,-79,-64,-200,-90,-200,-86,-200,-200,-200,-90,-93,-85,-86,-74,-93,-84,-83,-200,-97,-200,-200,-200,-200,-87,-200,-95,-200,-200,-77,-91,-92,-89,-200,-200,-200,-200,-81,-200,-200,-200,-200,-78,-81,-200,-200,-200,-200,-200,-200,-200,-79,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526461891602,-59,-59,-44,-48,-34,-60,-74,-64,-52,-66,-47,-67,-84,-64,-77,-71,-72,-76,-70,-56,-77,-60,-68,-200,-76,-64,-81,-74,-68,-68,-66,-67,-86,-78,-87,-200,-96,-74,-74,-84,-83,-88,-69,-200,-82,-78,-82,-72,-77,-73,-81,-66,-90,-200,-93,-89,-200,-200,-200,-89,-93,-84,-86,-200,-93,-86,-81,-200,-97,-94,-200,-200,-200,-86,-200,-93,-200,-200,-77,-200,-92,-88,-200,-200,-200,-200,-78,-84,-200,-200,-72,-78,-83,-200,-84,-96,-200,-200,-200,-200,-79,-96,-98,-200,-200,-200,-200,-200,-200,-200
1526461894645,-60,-54,-45,-43,-35,-58,-76,-62,-51,-63,-48,-67,-83,-63,-79,-73,-73,-75,-74,-58,-74,-64,-74,-200,-73,-60,-81,-73,-67,-76,-68,-66,-86,-78,-86,-200,-200,-71,-200,-84,-80,-86,-72,-200,-79,-79,-79,-73,-76,-77,-81,-63,-90,-200,-92,-89,-200,-200,-200,-91,-93,-84,-86,-200,-93,-84,-81,-200,-97,-94,-200,-200,-200,-85,-200,-93,-200,-74,-77,-88,-92,-90,-200,-200,-200,-200,-80,-84,-200,-200,-75,-78,-83,-200,-84,-96,-200,-200,-200,-200,-200,-96,-98,-95,-200,-200,-200,-200,-200,-200
1526461897693,-63,-62,-43,-47,-32,-55,-83,-64,-48,-69,-46,-64,-84,-66,-80,-73,-72,-78,-71,-63,-75,-57,-71,-200,-73,-59,-78,-73,-65,-72,-64,-63,-79,-79,-85,-200,-200,-72,-74,-84,-82,-85,-70,-200,-77,-79,-80,-74,-74,-75,-81,-70,-90,-200,-92,-92,-200,-200,-200,-91,-93,-85,-87,-74,-93,-85,-81,-200,-96,-93,-200,-200,-200,-85,-200,-93,-200,-74,-74,-88,-93,-90,-200,-200,-200,-95,-79,-84,-200,-200,-75,-77,-83,-84,-84,-96,-200,-200,-87,-200,-200,-200,-98,-95,-95,-200,-200,-200,-200,-200
1526461900739,-56,-58,-45,-48,-32,-57,-64,-64,-48,-74,-48,-64,-69,-68,-84,-73,-73,-80,-74,-60,-73,-66,-68,-200,-76,-61,-79,-79,-73,-74,-64,-62,-79,-79,-86,-200,-200,-72,-74,-84,-81,-86,-67,-200,-77,-77,-81,-74,-75,-75,-200,-71,-93,-91,-91,-90,-200,-200,-200,-89,-96,-83,-87,-74,-200,-85,-80,-200,-96,-94,-200,-200,-200,-89,-200,-200,-200,-74,-73,-95,-91,-90,-200,-90,-200,-95,-79,-200,-200,-200,-77,-77,-84,-84,-94,-96,-200,-200,-87,-200,-200,-200,-200,-95,-95,-200,-200,-200,-200,-200
1526461903790,-57,-57,-45,-48,-31,-56,-71,-65,-49,-69,-47,-65,-77,-65,-81,-74,-73,-81,-70,-60,-76,-65,-71,-200,-73,-61,-76,-79,-65,-72,-64,-63,-79,-84,-85,-200,-93,-74,-73,-92,-82,-86,-71,-94,-76,-71,-81,-73,-76,-76,-87,-70,-93,-91,-91,-91,-200,-200,-200,-91,-90,-85,-87,-74,-200,-89,-80,-200,-96,-92,-95,-200,-200,-87,-200,-200,-200,-200,-73,-88,-91,-92,-200,-90,-200,-98,-79,-200,-200,-200,-74,-77,-84,-82,-95,-96,-200,-200,-87,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200
1526461906835,-62,-61,-43,-46,-33,-56,-73,-64,-50,-74,-43,-62,-80,-63,-79,-74,-74,-82,-71,-59,-68,-67,-66,-200,-73,-61,-77,-79,-68,-72,-65,-64,-84,-78,-84,-200,-93,-71,-73,-92,-84,-85,-70,-94,-82,-74,-79,-73,-75,-74,-83,-72,-91,-200,-95,-91,-200,-200,-200,-91,-94,-83,-200,-74,-200,-87,-79,-200,-200,-92,-95,-200,-200,-89,-200,-200,-200,-73,-72,-92,-92,-94,-94,-200,-94,-98,-79,-200,-200,-200,-76,-78,-200,-82,-93,-200,-91,-200,-200,-97,-200,-200,-96,-200,-200,-89,-200,-200,-200,-200
1526461909893,-65,-60,-43,-49,-27,-64,-70,-65,-48,-72,-47,-72,-78,-65,-82,-74,-74,-76,-71,-60,-78,-65,-65,-200,-74,-59,-78,-79,-67,-74,-64,-64,-83,-80,-85,-200,-93,-80,-73,-86,-81,-88,-68,-94,-80,-76,-80,-73,-75,-75,-83,-71,-91,-200,-95,-91,-200,-200,-200,-89,-95,-85,-88,-74,-200,-87,-78,-200,-200,-93,-95,-200,-200,-87,-200,-94,-200,-78,-73,-92,-93,-94,-94,-200,-96,-98,-79,-93,-94,-200,-78,-80,-83,-82,-94,-200,-91,-200,-200,-97,-200,-90,-96,-200,-200,-89,-81,-100,-200,-200
1526461912947,-56,-61,-44,-48,-32,-60,-71,-65,-51,-72,-48,-72,-74,-65,-79,-74,-73,-79,-71,-60,-76,-64,-65,-200,-73,-60,-78,-77,-68,-72,-65,-62,-84,-80,-84,-200,-96,-68,-73,-86,-84,-86,-68,-200,-78,-75,-80,-73,-74,-74,-80,-70,-93,-200,-93,-94,-200,-200,-200,-87,-96,-84,-88,-74,-200,-85,-80,-200,-200,-91,-200,-200,-200,-86,-200,-94,-200,-78,-71,-93,-94,-93,-91,-200,-96,-200,-79,-93,-94,-200,-78,-79,-83,-82,-92,-200,-91,-200,-200,-97,-200,-90,-96,-200,-200,-89,-81,-100,-200,-200
1526461915993,-56,-60,-44,-48,-32,-66,-72,-64,-48,-76,-46,-65,-82,-65,-79,-200,-73,-78,-71,-65,-74,-58,-67,-200,-76,-58,-79,-81,-67,-73,-65,-57,-73,-77,-84,-200,-92,-68,-73,-86,-84,-86,-68,-200,-83,-75,-81,-73,-75,-73,-80,-71,-91,-200,-91,-93,-200,-200,-200,-87,-96,-84,-88,-74,-200,-85,-80,-200,-200,-91,-200,-200,-200,-88,-200,-94,-200,-78,-71,-92,-92,-92,-91,-200,-96,-200,-200,-93,-94,-200,-74,-79,-83,-82,-92,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-81,-100,-96,-200
1526461919042,-55,-62,-43,-48,-34,-68,-76,-64,-48,-71,-37,-63,-77,-67,-76,-73,-69,-81,-69,-61,-73,-68,-65,-200,-74,-58,-77,-83,-66,-72,-63,-59,-82,-76,-84,-200,-92,-74,-73,-200,-85,-85,-68,-200,-84,-75,-80,-74,-79,-74,-81,-73,-92,-200,-95,-91,-200,-200,-200,-89,-93,-83,-200,-74,-200,-87,-78,-200,-200,-91,-200,-200,-200,-85,-200,-94,-200,-200,-71,-92,-93,-93,-91,-200,-200,-96,-79,-200,-200,-200,-75,-79,-83,-200,-92,-200,-200,-200,-200,-94,-200,-88,-200,-200,-200,-200,-200,-97,-96,-200
1526461922088,-65,-57,-43,-48,-35,-71,-76,-64,-54,-70,-45,-63,-77,-65,-79,-73,-69,-77,-71,-62,-78,-70,-65,-200,-77,-62,-78,-82,-68,-70,-63,-61,-75,-77,-84,-200,-92,-71,-73,-84,-83,-84,-66,-200,-84,-75,-80,-74,-79,-74,-81,-72,-92,-92,-95,-91,-200,-200,-200,-89,-92,-82,-200,-76,-200,-86,-80,-200,-95,-93,-200,-200,-200,-85,-200,-94,-200,-200,-68,-91,-93,-91,-200,-97,-200,-96,-79,-200,-200,-200,-74,-82,-84,-84,-85,-200,-200,-200,-200,-94,-82,-88,-200,-200,-200,-200,-200,-97,-96,-87
