,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,abeacon_91C4,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,abeacon_940E,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,abeacon_9221,abeacon_9237,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,abeacon_92C8,vlucci.com AC-V1.4.0.0
1540968269012,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-86,-200,-75,-200,-200,-200,-92,-200,-200,-200,-200,-75,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968271175,-89,-79,-200,-200,-83,-90,-200,-200,-200,-200,-67,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968272284,-99,-200,-96,-200,-200,-200,-75,-80,-78,-200,-200,-94,-86,-200,-200,-92,-200,-200,-88,-200,-200,-200,-82,-200,-200,-200,-200,-95,-200,-200,-76,-94,-200,-87,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968274478,-93,-200,-200,-84,-200,-89,-78,-200,-77,-90,-200,-200,-86,-200,-200,-200,-200,-200,-90,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-92,-91,-95,-200,-200,-200,-200,-200,-200,-200
1540968275676,-89,-80,-200,-78,-200,-200,-74,-200,-73,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-94,-90,-200,-76,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200
1540968276795,-200,-81,-200,-82,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-92,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200
1540968277880,-200,-200,-200,-87,-81,-200,-200,-78,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-68,-84,-91,-200,-200,-200,-200,-90,-200,-200,-92,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968279060,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968280098,-200,-79,-200,-79,-200,-90,-200,-200,-72,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968281273,-200,-78,-200,-84,-81,-92,-200,-78,-76,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-81,-90,-200,-200,-200,-200,-200,-75,-78,-92,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200
1540968283484,-93,-78,-200,-200,-200,-90,-200,-200,-77,-200,-200,-92,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200
1540968285601,-200,-80,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-83,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968285708,-200,-81,-95,-200,-200,-200,-75,-200,-76,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968287909,-92,-82,-200,-200,-200,-200,-75,-200,-80,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-92,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200
1540968289000,-98,-79,-95,-200,-200,-200,-74,-200,-80,-88,-65,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-76,-86,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1540968291193,-88,-200,-200,-200,-200,-200,-75,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-87,-200,-200,-200,-200,-200,-89,-200,-93,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968293372,-94,-77,-200,-200,-200,-89,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-80,-200,-200,-200,-200,-200
1540968294502,-200,-81,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-94,-200,-200,-200
1540968296688,-200,-78,-200,-84,-200,-200,-200,-80,-80,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-90,-92,-200,-94,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968297884,-97,-200,-200,-200,-200,-92,-77,-200,-76,-200,-65,-200,-86,-200,-200,-89,-200,-200,-200,-200,-90,-82,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200
1540968301103,-90,-200,-95,-85,-80,-200,-200,-200,-200,-200,-66,-200,-91,-200,-200,-200,-200,-200,-200,-85,-96,-75,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200
1540968303262,-89,-80,-200,-200,-200,-88,-74,-83,-80,-200,-68,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-93,-200,-81,-75,-200,-200,-200,-200,-88,-200,-80,-94,-200,-200,-200,-200,-200
1540968305464,-93,-200,-200,-200,-80,-200,-200,-78,-79,-200,-66,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-67,-96,-91,-200,-200,-90,-200,-90,-200,-78,-92,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200
1540968306669,-88,-200,-91,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968307763,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-65,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-94,-91,-200,-200,-89,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968308820,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968309863,-93,-200,-200,-200,-200,-200,-200,-200,-70,-200,-68,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-80,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-93,-94,-200,-200,-86,-200,-200,-200,-200,-99,-200
1540968312069,-200,-81,-200,-200,-85,-84,-81,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-82,-200,-81,-200,-72,-85,-89,-200,-200,-200,-95,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94
1540968314305,-200,-200,-200,-200,-92,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968315379,-200,-82,-200,-200,-200,-200,-74,-200,-72,-200,-69,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-80,-81,-86,-200,-93,-200,-95,-200,-200,-80,-200,-200,-200,-91,-200,-200,-200,-93,-88,-200,-200,-200,-200
