,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,abeacon_940E,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,abeacon_9219,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,abeacon_92C8,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,SZDX00451,abeacon_915A,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,abeacon_91BC,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,SZDX00457,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,SZDX00455,abeacon_9221,abeacon_9237,abeacon_922D,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,abeacon_9286,vlucci.com AC-V1.4.0.0
1540968754736,-76,-84,-200,-200,-200,-89,-200,-200,-200,-91,-200,-60,-200,-86,-200,-78,-200,-71,-81,-200,-93,-200,-200,-200,-200,-200,-200,-82,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-76,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968757996,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-85,-200,-200,-200,-96,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968759077,-200,-200,-68,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-93,-200,-98,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-91,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968760181,-62,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-59,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-85,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-88,-200,-90,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968762373,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-58,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-81,-200,-94,-200,-200,-200,-200,-200,-89,-200,-85,-200,-200,-81,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968763536,-80,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-95,-200,-86,-86,-200,-200,-200,-82,-87,-200,-200,-200,-200,-200,-200,-200,-200
1540968764711,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200
1540968765796,-65,-82,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-72,-200,-80,-200,-200,-100,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968766879,-200,-84,-75,-90,-200,-83,-74,-200,-67,-83,-200,-200,-200,-200,-200,-75,-200,-200,-200,-72,-200,-79,-200,-200,-200,-81,-200,-83,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968768018,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968769098,-200,-84,-68,-88,-200,-200,-71,-200,-66,-200,-200,-200,-200,-200,-200,-77,-200,-70,-83,-71,-200,-79,-200,-200,-200,-87,-90,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-94,-78,-83,-92,-200,-200,-200,-200
1540968772402,-76,-86,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-86,-88,-200,-200,-200,-200,-91,-200,-200,-200
1540968774588,-200,-84,-200,-200,-200,-200,-200,-200,-88,-86,-200,-72,-200,-200,-200,-200,-200,-200,-200,-74,-200,-85,-200,-88,-200,-90,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968775768,-200,-90,-200,-200,-91,-90,-200,-90,-80,-90,-93,-69,-200,-81,-200,-200,-200,-200,-92,-69,-99,-200,-200,-92,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968777968,-200,-200,-200,-94,-200,-200,-68,-200,-75,-200,-200,-68,-91,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-91,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968780175,-77,-85,-200,-200,-200,-200,-200,-82,-66,-200,-200,-61,-94,-200,-200,-76,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-85,-200,-200,-82,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200
1540968782385,-200,-200,-71,-94,-200,-200,-200,-200,-200,-200,-200,-200,-82,-86,-200,-72,-200,-76,-78,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968784585,-75,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-64,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968784704,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-83,-200,-94,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200
1540968785809,-67,-200,-200,-200,-200,-80,-200,-84,-68,-200,-200,-63,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-78,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968787972,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-92,-200,-82,-200,-200,-75,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200
1540968789063,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-65,-78,-200,-200,-75,-200,-70,-200,-69,-101,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-100,-200
1540968790226,-77,-200,-78,-200,-200,-89,-80,-200,-70,-200,-92,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-87,-200,-200
1540968792393,-200,-200,-81,-89,-200,-200,-200,-200,-70,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-84,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91
1540968793503,-200,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-81,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968794564,-200,-200,-94,-200,-200,-200,-68,-83,-200,-200,-200,-59,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200
1540968794670,-200,-93,-84,-200,-200,-200,-200,-200,-200,-200,-88,-200,-96,-83,-200,-200,-200,-78,-86,-76,-200,-200,-200,-200,-200,-86,-200,-89,-200,-200,-200,-200,-94,-200,-82,-200,-200,-90,-87,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968796932,-200,-200,-75,-90,-200,-86,-200,-84,-78,-90,-95,-64,-200,-200,-200,-75,-200,-74,-82,-200,-200,-200,-200,-200,-200,-86,-200,-84,-83,-200,-98,-200,-200,-200,-83,-200,-95,-84,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-92,-200,-200,-200
1540968801289,-76,-200,-87,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968802383,-78,-200,-71,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-91,-200,-200,-200,-86,-200,-200,-74,-200,-200,-200,-96,-200,-200
1540968803517,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200
1540968804598,-200,-200,-75,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-84,-200,-83,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200
1540968804728,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
