,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526464044740,-43,-46,-41,-51,-54,-57,-57,-59,-54,-55,-63,-61,-67,-61,-65,-71,-79,-69,-61,-72,-75,-67,-71,-62,-200,-76,-80,-68,-59,-73,-77,-83,-78,-51,-79,-81,-82,-84,-82,-82,-200,-88,-200,-200,-92,-200,-74,-78,-81,-84,-88,-79,-86,-200,-200,-200,-200,-77,-90,-200,-82,-200,-87,-91,-200,-87,-86,-87,-87,-92,-75,-91,-86,-200,-200,-200,-200
1526464047776,-44,-50,-41,-56,-56,-60,-55,-60,-55,-57,-66,-64,-65,-61,-64,-68,-79,-75,-63,-70,-75,-67,-73,-60,-75,-85,-80,-71,-60,-73,-77,-83,-78,-77,-79,-81,-82,-81,-82,-82,-200,-88,-200,-200,-92,-200,-74,-78,-87,-80,-88,-83,-86,-200,-200,-200,-200,-77,-90,-200,-200,-200,-84,-90,-200,-200,-200,-200,-200,-92,-80,-91,-89,-91,-200,-200,-200
1526464050786,-43,-48,-40,-56,-55,-61,-58,-60,-57,-58,-62,-66,-68,-66,-65,-72,-81,-72,-61,-73,-75,-67,-74,-64,-75,-82,-78,-70,-66,-70,-77,-200,-81,-75,-76,-79,-82,-81,-82,-80,-200,-87,-200,-200,-92,-200,-77,-78,-87,-80,-88,-83,-86,-200,-200,-200,-200,-80,-90,-200,-200,-200,-84,-90,-200,-200,-85,-200,-200,-200,-80,-91,-89,-91,-200,-200,-200
1526464053822,-43,-47,-41,-59,-53,-58,-61,-61,-57,-58,-63,-64,-69,-62,-67,-69,-81,-70,-62,-73,-84,-66,-81,-62,-75,-81,-86,-70,-65,-72,-79,-84,-81,-75,-76,-80,-82,-82,-83,-80,-200,-87,-200,-200,-92,-200,-77,-79,-87,-80,-200,-83,-86,-200,-200,-200,-200,-80,-200,-200,-84,-200,-84,-90,-90,-200,-85,-200,-200,-87,-86,-200,-93,-91,-200,-200,-200
1526464056837,-44,-46,-40,-57,-53,-55,-61,-59,-51,-61,-70,-64,-69,-63,-67,-68,-79,-70,-62,-73,-84,-68,-75,-66,-75,-81,-86,-69,-61,-82,-79,-84,-81,-75,-76,-79,-78,-82,-83,-78,-200,-87,-200,-200,-200,-200,-73,-79,-87,-82,-83,-80,-86,-92,-200,-200,-200,-81,-200,-200,-84,-200,-84,-90,-77,-200,-86,-92,-200,-87,-86,-200,-93,-91,-200,-200,-200
1526464059853,-42,-42,-42,-57,-53,-54,-60,-61,-51,-57,-59,-65,-68,-61,-66,-66,-78,-64,-62,-72,-78,-68,-75,-66,-75,-83,-80,-68,-56,-70,-79,-81,-81,-78,-76,-81,-77,-80,-83,-78,-200,-87,-82,-200,-200,-200,-73,-79,-200,-82,-83,-80,-86,-92,-200,-200,-200,-81,-200,-200,-88,-200,-83,-200,-77,-200,-86,-92,-200,-87,-83,-200,-93,-200,-88,-200,-200
1526464062888,-39,-49,-39,-56,-47,-54,-55,-57,-55,-54,-67,-70,-72,-62,-61,-54,-78,-56,-79,-73,-69,-67,-72,-73,-75,-75,-80,-72,-65,-70,-77,-81,-86,-76,-64,-81,-76,-80,-83,-80,-200,-200,-76,-200,-200,-200,-79,-79,-84,-81,-83,-80,-200,-88,-200,-200,-200,-81,-200,-200,-83,-200,-83,-200,-77,-80,-82,-92,-200,-87,-72,-200,-93,-200,-88,-200,-200
1526464065898,-41,-44,-43,-49,-50,-51,-61,-60,-56,-56,-64,-55,-71,-58,-69,-66,-78,-57,-65,-73,-71,-64,-75,-69,-75,-78,-76,-69,-56,-74,-72,-84,-86,-76,-64,-82,-76,-81,-83,-80,-200,-88,-76,-200,-200,-200,-79,-79,-84,-83,-83,-80,-200,-88,-200,-200,-200,-81,-200,-200,-83,-200,-85,-200,-77,-80,-82,-92,-200,-87,-72,-200,-200,-200,-88,-88,-200
1526464068911,-41,-44,-42,-53,-51,-50,-61,-63,-56,-53,-59,-62,-70,-59,-70,-68,-78,-57,-65,-91,-73,-64,-75,-64,-77,-73,-73,-69,-59,-74,-72,-84,-80,-76,-78,-81,-76,-81,-83,-80,-200,-89,-75,-200,-200,-200,-82,-80,-86,-83,-86,-88,-200,-90,-78,-200,-200,-84,-200,-200,-81,-200,-85,-200,-200,-80,-82,-88,-200,-87,-72,-200,-200,-200,-88,-88,-90
1526464071920,-40,-44,-41,-57,-51,-53,-60,-61,-54,-55,-62,-62,-70,-59,-71,-54,-200,-57,-70,-91,-71,-63,-78,-63,-77,-79,-73,-70,-62,-74,-72,-81,-80,-76,-78,-83,-76,-82,-87,-80,-200,-89,-78,-200,-200,-83,-72,-80,-85,-82,-86,-88,-200,-90,-78,-200,-200,-84,-200,-200,-81,-200,-85,-87,-200,-80,-82,-88,-200,-84,-72,-200,-200,-200,-200,-88,-90
1526464074953,-40,-43,-42,-58,-51,-55,-64,-64,-59,-55,-67,-61,-70,-58,-71,-66,-72,-58,-65,-74,-71,-63,-78,-68,-77,-73,-69,-73,-59,-83,-74,-81,-80,-70,-76,-83,-73,-82,-87,-92,-200,-86,-78,-200,-89,-83,-72,-84,-85,-82,-86,-88,-200,-89,-78,-200,-200,-84,-200,-200,-81,-200,-85,-87,-200,-200,-200,-93,-200,-85,-200,-200,-200,-200,-200,-88,-90
1526464077992,-41,-43,-39,-60,-52,-54,-60,-62,-58,-55,-60,-61,-70,-59,-75,-65,-72,-57,-67,-72,-73,-63,-78,-66,-77,-75,-74,-72,-57,-74,-74,-81,-78,-77,-76,-81,-73,-82,-87,-92,-200,-86,-77,-200,-89,-83,-71,-84,-85,-82,-86,-88,-200,-89,-78,-82,-200,-85,-200,-200,-79,-200,-86,-87,-200,-200,-200,-93,-200,-90,-200,-200,-200,-200,-200,-90,-90
