,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D02A88,WHU-2018,WHU-2018,DLINK_D02A18,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526449294468,-34,-42,-48,-46,-52,-52,-58,-63,-60,-63,-50,-57,-64,-64,-62,-70,-73,-77,-73,-69,-70,-73,-76,-75,-58,-77,-72,-67,-76,-80,-81,-73,-76,-76,-85,-72,-200,-200,-82,-88,-83,-83,-200,-200,-200,-89,-200,-76,-80,-92,-87,-87,-87,-200,-90,-92,-89,-200,-200,-90,-200,-84,-89,-89,-89,-86,-200,-91,-90,-92,-200,-90,-200,-200,-200,-87,-88,-200,-200,-90,-74,-90,-91,-91,-91,-88,-200,-91,-91,-200,-200,-88,-200,-200
1526449297482,-34,-40,-51,-51,-48,-54,-58,-63,-60,-64,-50,-60,-60,-69,-62,-68,-71,-73,-70,-70,-71,-73,-77,-78,-61,-77,-76,-67,-77,-83,-78,-74,-76,-78,-87,-74,-200,-200,-86,-89,-83,-88,-200,-86,-200,-89,-200,-77,-80,-88,-88,-85,-86,-200,-90,-91,-88,-91,-200,-90,-200,-84,-89,-89,-90,-88,-200,-200,-90,-92,-200,-90,-200,-200,-200,-84,-88,-200,-200,-90,-77,-89,-92,-89,-91,-88,-200,-91,-91,-200,-200,-200,-90,-200
1526449300524,-33,-41,-54,-47,-48,-50,-57,-62,-61,-63,-44,-64,-59,-75,-69,-77,-63,-76,-70,-71,-71,-70,-78,-78,-56,-78,-77,-65,-73,-81,-74,-72,-78,-77,-88,-80,-200,-200,-81,-87,-83,-82,-200,-85,-200,-86,-200,-79,-81,-89,-85,-84,-87,-200,-89,-91,-88,-90,-200,-200,-200,-83,-89,-81,-90,-85,-200,-90,-90,-92,-200,-90,-200,-200,-200,-84,-88,-91,-200,-90,-77,-89,-90,-89,-91,-88,-200,-200,-200,-200,-200,-200,-90,-87
1526449303555,-34,-41,-54,-52,-50,-56,-59,-57,-64,-57,-48,-60,-61,-78,-70,-71,-67,-71,-67,-68,-71,-77,-77,-81,-59,-77,-72,-72,-75,-78,-75,-75,-78,-76,-88,-80,-200,-200,-85,-89,-83,-83,-200,-85,-200,-86,-200,-80,-81,-89,-87,-85,-89,-200,-89,-91,-88,-90,-79,-200,-200,-83,-88,-81,-90,-89,-200,-90,-90,-92,-200,-90,-200,-200,-200,-86,-200,-91,-200,-90,-77,-88,-89,-89,-91,-88,-200,-200,-200,-200,-85,-200,-90,-87
1526449306585,-38,-40,-47,-48,-49,-51,-60,-40,-58,-62,-50,-65,-62,-74,-66,-67,-66,-70,-70,-69,-71,-74,-77,-79,-61,-77,-72,-72,-72,-78,-75,-75,-78,-75,-86,-80,-200,-200,-85,-89,-83,-83,-200,-85,-200,-89,-200,-74,-78,-88,-87,-88,-88,-91,-89,-91,-88,-90,-79,-200,-200,-85,-90,-88,-90,-88,-200,-90,-90,-200,-200,-200,-200,-200,-200,-85,-200,-91,-200,-200,-78,-88,-89,-89,-87,-93,-91,-200,-200,-200,-85,-200,-90,-87
1526449309619,-34,-42,-50,-48,-48,-51,-58,-40,-61,-63,-48,-60,-64,-70,-63,-69,-70,-73,-71,-66,-72,-73,-76,-80,-61,-77,-75,-71,-76,-81,-75,-72,-78,-74,-88,-75,-200,-200,-85,-89,-87,-85,-200,-87,-200,-90,-200,-80,-78,-92,-89,-88,-91,-91,-89,-200,-88,-90,-79,-90,-88,-87,-89,-84,-200,-90,-200,-91,-90,-200,-200,-200,-200,-200,-200,-85,-200,-91,-200,-200,-78,-88,-89,-200,-89,-92,-91,-200,-200,-200,-85,-200,-200,-87
1526449312653,-37,-43,-50,-50,-48,-52,-58,-60,-58,-59,-50,-60,-61,-70,-68,-69,-70,-73,-70,-65,-71,-73,-76,-79,-60,-78,-77,-69,-78,-82,-75,-73,-200,-76,-87,-79,-200,-200,-88,-89,-87,-85,-200,-87,-200,-90,-200,-78,-79,-92,-89,-85,-88,-91,-89,-91,-88,-90,-79,-90,-93,-84,-87,-82,-200,-87,-200,-91,-90,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-76,-86,-89,-89,-89,-92,-91,-200,-200,-200,-85,-200,-200,-200
1526449315663,-34,-40,-49,-48,-50,-53,-58,-60,-49,-60,-47,-61,-62,-68,-67,-68,-70,-70,-67,-69,-78,-73,-76,-79,-60,-78,-76,-69,-74,-78,-78,-78,-200,-75,-88,-79,-200,-200,-90,-88,-87,-85,-200,-87,-200,-90,-200,-77,-78,-92,-88,-86,-89,-91,-89,-90,-88,-200,-80,-89,-93,-86,-87,-83,-200,-92,-200,-91,-88,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-76,-89,-90,-89,-89,-92,-91,-200,-200,-200,-200,-200,-200,-200
1526449318692,-34,-39,-47,-45,-51,-53,-58,-59,-60,-64,-51,-61,-61,-71,-64,-69,-70,-76,-69,-70,-72,-75,-76,-78,-60,-77,-76,-69,-79,-78,-78,-79,-77,-77,-87,-79,-200,-200,-90,-90,-87,-85,-200,-87,-200,-90,-200,-78,-80,-89,-88,-86,-90,-91,-89,-91,-88,-200,-80,-89,-93,-86,-89,-82,-200,-92,-200,-91,-88,-200,-200,-200,-200,-200,-91,-86,-200,-90,-200,-200,-76,-91,-90,-90,-89,-92,-91,-200,-200,-200,-89,-200,-200,-200
1526449321732,-37,-41,-50,-52,-47,-52,-56,-61,-62,-62,-49,-62,-64,-65,-64,-66,-61,-75,-70,-68,-72,-75,-76,-78,-61,-76,-73,-74,-79,-82,-76,-78,-78,-76,-86,-79,-83,-200,-83,-90,-200,-87,-200,-86,-200,-90,-200,-79,-80,-89,-87,-86,-90,-91,-89,-91,-87,-200,-78,-88,-93,-84,-89,-80,-200,-85,-200,-89,-90,-200,-200,-200,-200,-200,-91,-85,-200,-90,-200,-200,-76,-89,-90,-90,-89,-200,-91,-200,-200,-200,-89,-200,-200,-200
1526449324772,-34,-40,-48,-49,-49,-52,-58,-60,-59,-62,-50,-57,-62,-65,-64,-68,-65,-76,-70,-66,-72,-76,-76,-77,-59,-76,-73,-65,-78,-82,-77,-73,-76,-76,-89,-79,-83,-200,-88,-89,-200,-88,-200,-86,-200,-90,-200,-78,-78,-89,-89,-85,-90,-200,-89,-89,-90,-200,-80,-89,-200,-85,-88,-80,-200,-89,-200,-89,-89,-92,-200,-200,-200,-200,-91,-85,-200,-90,-200,-200,-77,-90,-90,-90,-200,-91,-91,-90,-200,-92,-89,-200,-200,-200
1526449327806,-37,-42,-48,-51,-48,-51,-57,-64,-61,-62,-51,-58,-62,-65,-62,-67,-64,-73,-74,-63,-71,-72,-78,-77,-57,-76,-74,-64,-79,-85,-78,-79,-77,-76,-87,-78,-83,-200,-84,-87,-85,-87,-200,-86,-200,-90,-200,-75,-79,-200,-85,-87,-88,-91,-89,-90,-88,-90,-80,-88,-200,-86,-88,-84,-200,-87,-200,-89,-91,-91,-200,-200,-200,-200,-200,-85,-200,-200,-200,-92,-76,-90,-90,-89,-200,-91,-91,-90,-200,-90,-90,-200,-200,-200
