,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,NETWORK,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526443660464,-36,-39,-54,-64,-71,-52,-64,-57,-76,-60,-52,-59,-62,-60,-62,-70,-59,-74,-66,-72,-72,-69,-72,-86,-81,-89,-76,-73,-85,-200,-90,-78,-87,-83,-78,-78,-81,-200,-87,-82,-84,-76,-83,-200,-85,-82,-93,-200,-200,-89,-89,-200,-88,-200,-200,-87,-200,-200,-200,-91,-85,-200,-88,-88,-200,-200,-90,-89,-85,-91,-95,-200,-92,-200,-200,-87,-200,-75,-86,-92,-88,-92,-200
1526443663499,-35,-40,-53,-57,-55,-50,-62,-57,-76,-60,-50,-61,-67,-61,-61,-59,-63,-61,-63,-74,-73,-70,-72,-80,-81,-79,-77,-73,-74,-200,-90,-82,-85,-83,-79,-76,-80,-200,-87,-82,-82,-74,-85,-200,-85,-82,-93,-200,-200,-91,-89,-200,-89,-200,-90,-90,-200,-200,-200,-91,-84,-200,-90,-88,-200,-200,-90,-92,-84,-200,-200,-200,-92,-200,-200,-87,-200,-200,-86,-91,-91,-92,-200
1526443666539,-36,-38,-52,-58,-57,-49,-61,-56,-81,-59,-49,-61,-74,-63,-60,-59,-58,-67,-59,-74,-73,-69,-73,-77,-86,-79,-72,-59,-81,-88,-200,-69,-85,-81,-78,-77,-81,-80,-200,-81,-81,-75,-85,-200,-85,-82,-93,-200,-200,-90,-90,-200,-89,-200,-90,-88,-200,-200,-92,-91,-85,-200,-90,-88,-200,-200,-89,-91,-90,-90,-200,-80,-89,-200,-200,-93,-200,-200,-86,-92,-91,-90,-200
1526443669580,-35,-40,-53,-58,-59,-46,-59,-58,-80,-59,-50,-61,-72,-61,-60,-58,-57,-61,-65,-75,-74,-70,-74,-77,-86,-80,-77,-74,-81,-89,-200,-79,-86,-81,-78,-78,-80,-80,-87,-81,-82,-75,-82,-200,-85,-81,-90,-200,-81,-89,-86,-200,-90,-200,-89,-88,-200,-200,-92,-91,-85,-200,-89,-91,-200,-200,-93,-91,-90,-91,-200,-80,-89,-200,-200,-93,-200,-76,-86,-92,-89,-90,-200
1526443672627,-36,-40,-52,-54,-60,-47,-61,-58,-80,-58,-48,-61,-69,-63,-61,-60,-58,-62,-60,-75,-73,-67,-74,-80,-86,-80,-75,-72,-81,-89,-200,-73,-86,-83,-78,-77,-80,-80,-87,-82,-83,-75,-82,-200,-85,-81,-90,-200,-90,-89,-86,-89,-90,-200,-89,-89,-200,-200,-92,-91,-86,-200,-89,-91,-200,-200,-93,-90,-88,-89,-200,-79,-89,-200,-200,-93,-200,-76,-200,-92,-89,-90,-84
1526443675638,-38,-40,-53,-58,-66,-50,-60,-58,-79,-61,-48,-61,-72,-62,-61,-58,-62,-67,-65,-74,-75,-70,-71,-80,-86,-80,-77,-73,-83,-90,-200,-84,-86,-82,-80,-76,-80,-80,-87,-82,-82,-75,-82,-200,-88,-81,-91,-200,-90,-90,-89,-89,-90,-200,-89,-85,-200,-91,-92,-91,-84,-200,-89,-91,-200,-200,-93,-90,-88,-89,-200,-79,-91,-200,-200,-93,-78,-76,-200,-92,-89,-90,-84
1526443678674,-38,-40,-53,-58,-66,-50,-60,-58,-79,-61,-48,-61,-72,-62,-61,-58,-62,-67,-65,-74,-75,-70,-71,-80,-86,-80,-77,-73,-83,-90,-200,-84,-86,-82,-80,-76,-80,-80,-87,-82,-82,-75,-82,-200,-88,-81,-91,-200,-90,-90,-89,-89,-90,-200,-89,-85,-200,-91,-92,-91,-84,-200,-89,-91,-200,-200,-93,-90,-88,-89,-200,-79,-91,-200,-200,-93,-78,-76,-200,-92,-89,-90,-84
1526443681713,-38,-40,-53,-58,-66,-50,-60,-58,-79,-61,-48,-61,-72,-62,-61,-58,-62,-67,-65,-74,-75,-70,-71,-80,-86,-80,-77,-73,-83,-90,-200,-84,-86,-82,-80,-76,-80,-80,-87,-82,-82,-75,-82,-200,-88,-81,-91,-200,-90,-90,-89,-89,-90,-200,-89,-85,-200,-91,-92,-91,-84,-200,-89,-91,-200,-200,-93,-90,-88,-89,-200,-79,-91,-200,-200,-93,-78,-76,-200,-92,-89,-90,-84
1526443684752,-38,-40,-53,-58,-66,-50,-60,-58,-79,-61,-48,-61,-72,-62,-61,-58,-62,-67,-65,-74,-75,-70,-71,-80,-86,-80,-77,-73,-83,-90,-200,-84,-86,-82,-80,-76,-80,-80,-87,-82,-82,-75,-82,-200,-88,-81,-91,-200,-90,-90,-89,-89,-90,-200,-89,-85,-200,-91,-92,-91,-84,-200,-89,-91,-200,-200,-93,-90,-88,-89,-200,-79,-91,-200,-200,-93,-78,-76,-200,-92,-89,-90,-84
1526443687789,-38,-40,-53,-58,-66,-50,-60,-58,-79,-61,-48,-61,-72,-62,-61,-58,-62,-67,-65,-74,-75,-70,-71,-80,-86,-80,-77,-73,-83,-90,-200,-84,-86,-82,-80,-76,-80,-80,-87,-82,-82,-75,-82,-200,-88,-81,-91,-200,-90,-90,-89,-89,-90,-200,-89,-85,-200,-91,-92,-91,-84,-200,-89,-91,-200,-200,-93,-90,-88,-89,-200,-79,-91,-200,-200,-93,-78,-76,-200,-92,-89,-90,-84
1526443690803,-38,-40,-53,-58,-66,-50,-60,-58,-79,-61,-48,-61,-72,-62,-61,-58,-62,-67,-65,-74,-75,-70,-71,-80,-86,-80,-77,-73,-83,-90,-200,-84,-86,-82,-80,-76,-80,-80,-87,-82,-82,-75,-82,-200,-88,-81,-91,-200,-90,-90,-89,-89,-90,-200,-89,-85,-200,-91,-92,-91,-84,-200,-89,-91,-200,-200,-93,-90,-88,-89,-200,-79,-91,-200,-200,-93,-78,-76,-200,-92,-89,-90,-84
1526443693841,-38,-40,-53,-58,-66,-50,-60,-58,-79,-61,-48,-61,-72,-62,-61,-58,-62,-67,-65,-74,-75,-70,-71,-80,-86,-80,-77,-73,-83,-90,-200,-84,-86,-82,-80,-76,-80,-80,-87,-82,-82,-75,-82,-200,-88,-81,-91,-200,-90,-90,-89,-89,-90,-200,-89,-85,-200,-91,-92,-91,-84,-200,-89,-91,-200,-200,-93,-90,-88,-89,-200,-79,-91,-200,-200,-93,-78,-76,-200,-92,-89,-90,-84
