,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,WHU-2018,DLINK_D07F10,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526443784590,-38,-39,-43,-39,-53,-63,-59,-53,-61,-57,-63,-62,-68,-64,-61,-69,-71,-66,-68,-75,-70,-60,-84,-72,-82,-88,-76,-80,-77,-78,-80,-81,-71,-83,-89,-77,-79,-86,-83,-84,-86,-71,-86,-88,-200,-84,-200,-87,-88,-200,-85,-87,-82,-93,-88,-200,-90,-200,-200,-200,-92,-200,-90,-91,-88,-82,-200,-83,-89,-200,-200,-89,-92,-91,-91,-91,-200,-200,-200
1526443787617,-40,-39,-42,-39,-52,-59,-62,-53,-63,-64,-64,-65,-67,-66,-62,-70,-73,-72,-68,-77,-74,-59,-83,-73,-73,-88,-79,-80,-78,-78,-80,-83,-72,-84,-88,-78,-79,-86,-85,-83,-88,-71,-86,-86,-200,-83,-200,-87,-88,-200,-87,-87,-83,-87,-90,-200,-90,-200,-200,-200,-92,-200,-90,-91,-90,-200,-200,-83,-83,-200,-200,-89,-200,-91,-91,-91,-91,-200,-200
1526443790655,-40,-39,-40,-44,-52,-69,-66,-54,-63,-64,-63,-65,-65,-66,-60,-76,-72,-69,-67,-77,-71,-63,-85,-73,-73,-88,-76,-80,-79,-78,-80,-90,-72,-82,-88,-77,-80,-86,-85,-84,-88,-73,-85,-88,-200,-88,-200,-93,-91,-200,-86,-87,-82,-88,-90,-200,-90,-200,-200,-200,-92,-200,-200,-89,-90,-87,-200,-200,-89,-200,-200,-86,-200,-91,-91,-90,-91,-200,-200
1526443793692,-40,-40,-44,-36,-53,-60,-66,-52,-63,-61,-64,-65,-65,-67,-62,-69,-69,-70,-68,-76,-72,-62,-85,-73,-72,-200,-79,-80,-78,-78,-76,-83,-74,-83,-88,-77,-80,-86,-85,-84,-85,-73,-85,-88,-200,-88,-200,-85,-91,-200,-86,-86,-81,-88,-90,-200,-90,-90,-200,-200,-92,-200,-200,-89,-90,-87,-200,-200,-89,-200,-200,-89,-200,-91,-91,-90,-91,-200,-200
1526443796729,-43,-39,-42,-15,-52,-65,-67,-62,-61,-62,-66,-62,-65,-67,-62,-69,-72,-81,-68,-76,-73,-67,-85,-73,-71,-200,-79,-80,-78,-78,-88,-91,-80,-83,-88,-77,-79,-84,-85,-83,-87,-73,-90,-87,-87,-88,-200,-85,-92,-200,-86,-87,-80,-88,-90,-200,-89,-90,-200,-200,-92,-200,-90,-92,-88,-87,-200,-200,-91,-200,-200,-89,-200,-200,-200,-90,-91,-200,-200
1526443799761,-36,-44,-42,-39,-52,-65,-59,-54,-59,-61,-65,-64,-64,-67,-61,-67,-72,-74,-68,-75,-75,-64,-85,-73,-71,-200,-75,-200,-79,-78,-76,-85,-80,-84,-88,-77,-80,-90,-86,-83,-87,-73,-90,-87,-87,-88,-200,-85,-91,-200,-86,-85,-82,-88,-89,-200,-89,-90,-200,-200,-90,-200,-90,-92,-88,-87,-200,-200,-91,-200,-200,-89,-200,-200,-200,-90,-200,-200,-200
1526443802802,-33,-38,-42,-39,-53,-58,-63,-56,-60,-61,-66,-63,-64,-67,-61,-68,-72,-71,-67,-75,-71,-60,-85,-72,-68,-200,-76,-200,-76,-79,-79,-91,-76,-84,-88,-77,-83,-90,-86,-83,-86,-73,-88,-89,-79,-85,-200,-87,-92,-200,-89,-86,-81,-85,-89,-200,-89,-90,-200,-200,-94,-200,-90,-92,-88,-87,-200,-86,-91,-200,-89,-87,-91,-200,-200,-200,-200,-92,-200
1526443805833,-41,-39,-43,-38,-53,-59,-61,-54,-69,-61,-64,-63,-64,-67,-60,-74,-72,-76,-49,-72,-72,-69,-94,-72,-71,-88,-76,-81,-75,-79,-77,-86,-82,-85,-200,-77,-79,-92,-83,-85,-86,-200,-88,-88,-79,-85,-200,-87,-91,-200,-89,-86,-66,-87,-89,-200,-89,-90,-200,-92,-94,-200,-200,-200,-92,-87,-200,-86,-91,-200,-89,-87,-91,-200,-200,-200,-200,-92,-200
1526443808872,-39,-37,-40,-39,-52,-64,-54,-53,-61,-61,-65,-63,-65,-65,-64,-68,-72,-70,-68,-78,-70,-63,-85,-72,-72,-88,-77,-81,-79,-79,-79,-86,-76,-85,-89,-77,-80,-87,-83,-86,-88,-200,-88,-87,-79,-85,-200,-87,-91,-200,-89,-85,-70,-89,-200,-200,-89,-90,-200,-92,-94,-200,-200,-90,-92,-87,-200,-86,-92,-200,-89,-89,-91,-200,-200,-200,-200,-92,-200
1526443811908,-33,-37,-42,-35,-53,-60,-58,-53,-68,-60,-68,-72,-68,-66,-63,-66,-72,-74,-68,-77,-71,-55,-82,-75,-69,-88,-77,-83,-83,-80,-79,-86,-77,-85,-89,-78,-79,-85,-83,-86,-88,-73,-88,-87,-200,-81,-200,-87,-90,-200,-84,-85,-82,-87,-88,-200,-89,-90,-200,-92,-94,-200,-200,-90,-92,-86,-200,-86,-92,-200,-89,-94,-91,-200,-200,-200,-200,-92,-91
1526443814943,-36,-40,-41,-34,-52,-60,-59,-52,-61,-60,-68,-61,-84,-68,-71,-69,-72,-68,-68,-76,-71,-52,-82,-74,-67,-88,-77,-83,-79,-80,-78,-86,-78,-83,-86,-77,-80,-87,-85,-85,-90,-73,-200,-88,-200,-81,-200,-83,-90,-200,-89,-85,-84,-87,-88,-200,-89,-200,-200,-92,-200,-200,-90,-90,-92,-86,-200,-200,-92,-200,-200,-94,-90,-200,-200,-200,-200,-200,-91
1526443817960,-36,-39,-42,-38,-52,-60,-57,-52,-67,-60,-67,-60,-68,-68,-69,-67,-73,-72,-68,-74,-71,-54,-83,-72,-72,-200,-79,-83,-78,-78,-78,-85,-82,-83,-84,-78,-80,-87,-85,-85,-90,-71,-200,-88,-200,-84,-200,-83,-90,-200,-88,-85,-84,-88,-89,-200,-89,-200,-200,-200,-92,-200,-90,-91,-91,-86,-200,-200,-92,-200,-200,-88,-90,-200,-200,-200,-200,-200,-91
