,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526443792278,-51,-47,-57,-54,-56,-41,-50,-35,-40,-63,-51,-62,-55,-79,-79,-63,-76,-93,-51,-71,-78,-67,-77,-88,-81,-81,-77,-74,-94,-62,-86,-72,-86,-76,-89,-200,-77,-200,-58,-73,-73,-77,-78,-88,-97,-86,-84,-89,-92,-93,-94,-97,-200,-200,-94,-91,-94,-200,-67,-200,-86,-200,-93,-94,-200,-95,-200,-92,-89,-89,-88,-91,-200,-76,-97,-200,-200,-97,-95,-200,-200,-200
1526443795331,-55,-47,-55,-55,-57,-38,-56,-35,-39,-70,-47,-55,-56,-82,-80,-79,-74,-91,-52,-68,-80,-65,-72,-86,-89,-84,-75,-72,-95,-65,-84,-75,-84,-76,-84,-89,-77,-200,-59,-65,-79,-72,-83,-88,-200,-90,-84,-90,-92,-200,-94,-97,-200,-93,-94,-91,-94,-200,-67,-200,-91,-200,-93,-94,-94,-95,-200,-90,-89,-89,-88,-91,-200,-79,-97,-200,-200,-200,-95,-76,-200,-200
1526443798383,-54,-48,-58,-56,-59,-45,-56,-41,-40,-64,-50,-68,-58,-85,-81,-73,-74,-91,-54,-69,-80,-64,-80,-79,-84,-85,-77,-68,-98,-71,-84,-82,-84,-79,-90,-84,-78,-200,-57,-73,-75,-79,-81,-85,-200,-85,-84,-90,-200,-90,-200,-96,-200,-94,-94,-91,-200,-97,-69,-200,-89,-200,-94,-96,-97,-95,-200,-96,-84,-89,-90,-91,-98,-79,-97,-200,-200,-200,-95,-76,-97,-200
1526443801429,-55,-51,-55,-60,-63,-42,-56,-41,-38,-70,-51,-61,-55,-80,-82,-73,-72,-91,-51,-68,-78,-65,-78,-89,-80,-80,-74,-73,-98,-63,-84,-76,-84,-74,-87,-84,-75,-200,-57,-74,-75,-75,-82,-93,-200,-85,-200,-87,-200,-90,-200,-96,-200,-94,-200,-91,-200,-97,-67,-200,-89,-200,-94,-96,-96,-95,-200,-93,-84,-82,-90,-91,-98,-74,-200,-200,-200,-200,-95,-76,-97,-200
1526443804473,-56,-54,-55,-59,-64,-43,-57,-42,-40,-71,-52,-64,-53,-78,-82,-73,-72,-95,-53,-68,-79,-64,-76,-86,-80,-80,-76,-74,-98,-59,-87,-77,-84,-77,-88,-89,-80,-200,-56,-69,-75,-80,-83,-86,-200,-85,-200,-87,-200,-88,-200,-96,-91,-94,-200,-86,-94,-97,-67,-200,-89,-200,-94,-93,-96,-95,-200,-93,-84,-80,-90,-200,-98,-80,-200,-200,-200,-200,-95,-200,-97,-200
1526443807522,-55,-56,-53,-61,-64,-41,-56,-42,-41,-69,-49,-63,-53,-78,-83,-76,-72,-95,-51,-66,-70,-65,-76,-89,-82,-79,-73,-71,-200,-63,-86,-77,-81,-76,-90,-89,-80,-200,-56,-69,-70,-75,-84,-86,-200,-95,-200,-87,-200,-88,-200,-200,-92,-200,-200,-91,-94,-200,-66,-200,-92,-200,-200,-93,-96,-95,-200,-93,-200,-80,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-96,-96
1526443810575,-56,-52,-56,-60,-57,-43,-55,-40,-37,-69,-54,-63,-54,-76,-88,-76,-73,-95,-52,-65,-76,-65,-79,-80,-80,-79,-80,-71,-200,-63,-87,-77,-83,-72,-90,-89,-78,-200,-61,-75,-70,-78,-81,-86,-200,-90,-200,-82,-200,-89,-93,-200,-92,-200,-200,-91,-94,-200,-66,-200,-92,-200,-200,-95,-200,-95,-200,-89,-200,-80,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-96,-96
1526443813620,-55,-60,-54,-56,-63,-40,-54,-37,-40,-59,-51,-59,-51,-78,-79,-76,-75,-96,-52,-71,-79,-64,-81,-81,-78,-87,-75,-73,-95,-59,-83,-77,-81,-76,-87,-84,-74,-200,-57,-75,-77,-76,-81,-83,-200,-90,-84,-93,-200,-87,-93,-200,-92,-95,-200,-91,-200,-95,-74,-200,-89,-200,-200,-94,-200,-200,-97,-91,-200,-200,-200,-93,-200,-79,-200,-200,-200,-200,-200,-200,-96,-96
1526443816666,-55,-60,-54,-51,-56,-41,-54,-37,-37,-73,-52,-59,-53,-79,-82,-200,-72,-93,-51,-69,-78,-66,-78,-85,-78,-83,-74,-67,-95,-63,-83,-82,-82,-75,-89,-87,-77,-200,-58,-65,-76,-77,-82,-87,-200,-92,-84,-93,-200,-91,-96,-200,-92,-95,-200,-91,-95,-94,-74,-200,-89,-200,-200,-94,-200,-95,-97,-87,-200,-200,-200,-93,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526443819712,-54,-58,-55,-60,-65,-41,-59,-38,-37,-70,-51,-58,-53,-79,-82,-200,-73,-93,-50,-73,-76,-63,-77,-88,-80,-73,-77,-70,-94,-68,-83,-80,-83,-75,-87,-86,-77,-200,-58,-66,-76,-76,-82,-87,-200,-94,-84,-90,-200,-91,-96,-200,-92,-95,-200,-200,-95,-94,-70,-200,-89,-200,-200,-94,-200,-95,-97,-89,-200,-76,-200,-95,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526443822759,-53,-61,-54,-59,-65,-42,-54,-39,-42,-70,-52,-58,-56,-76,-80,-78,-72,-93,-52,-73,-79,-65,-78,-83,-77,-73,-75,-69,-97,-65,-83,-80,-82,-76,-83,-86,-75,-200,-56,-68,-77,-77,-83,-89,-200,-94,-83,-90,-200,-92,-96,-200,-92,-200,-200,-90,-95,-94,-70,-200,-200,-200,-200,-200,-200,-95,-200,-93,-200,-76,-200,-95,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526443825805,-53,-57,-56,-57,-58,-43,-54,-42,-37,-70,-51,-59,-53,-77,-79,-77,-75,-93,-51,-72,-77,-64,-84,-76,-79,-73,-74,-72,-97,-63,-87,-80,-82,-76,-86,-88,-75,-200,-61,-68,-73,-76,-84,-72,-95,-94,-90,-88,-200,-92,-200,-200,-92,-200,-200,-90,-200,-200,-69,-73,-91,-200,-200,-200,-200,-200,-200,-87,-200,-76,-90,-94,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200
