,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526448505617,-46,-59,-38,-37,-48,-52,-70,-69,-62,-74,-43,-59,-67,-75,-71,-83,-77,-86,-66,-84,-83,-81,-84,-88,-85,-84,-86,-81,-85,-77,-90,-90,-200,-81,-70,-76,-82,-90,-88,-200,-90,-87,-85,-84,-200,-200,-90,-200,-84,-90,-87,-200,-200,-89,-200,-81,-90,-90,-200,-200,-90,-89,-87,-89,-200,-90,-89
1526448508646,-45,-60,-39,-36,-49,-51,-70,-67,-56,-78,-43,-60,-66,-77,-70,-83,-75,-86,-66,-84,-83,-82,-85,-200,-85,-84,-87,-84,-87,-85,-90,-90,-200,-78,-71,-81,-82,-89,-89,-200,-91,-87,-82,-82,-200,-200,-90,-200,-86,-90,-92,-200,-200,-88,-200,-81,-90,-90,-200,-200,-90,-90,-87,-88,-200,-91,-89
1526448511656,-50,-54,-41,-36,-49,-53,-69,-70,-56,-81,-44,-59,-62,-77,-69,-79,-75,-86,-67,-83,-78,-82,-85,-90,-83,-86,-86,-85,-83,-79,-90,-90,-200,-80,-70,-78,-82,-88,-89,-200,-91,-87,-86,-82,-200,-200,-90,-89,-84,-90,-92,-200,-200,-86,-200,-81,-90,-90,-200,-200,-90,-90,-92,-91,-200,-91,-200
1526448514692,-49,-54,-39,-36,-47,-53,-70,-69,-55,-79,-43,-58,-63,-76,-69,-82,-84,-86,-65,-83,-90,-79,-90,-90,-84,-86,-85,-83,-84,-80,-90,-200,-200,-81,-70,-79,-82,-90,-91,-200,-91,-86,-85,-83,-200,-200,-90,-89,-84,-90,-88,-200,-200,-86,-200,-81,-90,-90,-200,-200,-88,-90,-90,-91,-94,-91,-200
1526448517724,-50,-56,-40,-36,-55,-53,-71,-69,-57,-76,-44,-59,-62,-78,-69,-79,-84,-84,-67,-83,-77,-80,-90,-92,-85,-87,-88,-84,-86,-81,-200,-200,-200,-80,-72,-80,-82,-89,-86,-200,-91,-90,-86,-83,-200,-200,-200,-89,-85,-200,-87,-200,-200,-88,-200,-83,-91,-200,-200,-200,-88,-92,-89,-91,-94,-90,-200
1526448520757,-50,-54,-39,-36,-48,-53,-71,-71,-58,-77,-43,-58,-57,-76,-69,-82,-79,-84,-65,-83,-79,-80,-85,-90,-84,-87,-85,-84,-87,-80,-92,-200,-200,-81,-70,-84,-80,-90,-87,-200,-200,-88,-83,-83,-200,-200,-200,-89,-86,-200,-87,-200,-200,-87,-200,-81,-91,-90,-200,-200,-90,-91,-89,-91,-91,-90,-200
1526448523791,-50,-54,-38,-36,-48,-56,-71,-67,-58,-79,-42,-59,-60,-78,-71,-83,-79,-87,-66,-83,-78,-82,-89,-90,-80,-88,-85,-85,-82,-80,-89,-91,-200,-81,-75,-80,-80,-90,-91,-200,-90,-89,-83,-83,-200,-200,-200,-200,-85,-200,-89,-200,-200,-86,-200,-81,-91,-89,-200,-200,-90,-91,-89,-200,-91,-90,-200
1526448526828,-51,-59,-38,-36,-48,-56,-70,-62,-58,-79,-43,-55,-64,-77,-68,-83,-77,-87,-68,-83,-81,-81,-89,-90,-86,-88,-86,-85,-87,-79,-87,-91,-200,-80,-72,-80,-80,-90,-91,-200,-91,-88,-82,-83,-200,-200,-200,-200,-87,-200,-89,-200,-200,-91,-200,-83,-91,-89,-200,-200,-90,-91,-90,-200,-91,-90,-200
1526448529862,-46,-55,-39,-36,-53,-54,-69,-70,-60,-74,-43,-62,-68,-76,-69,-82,-89,-87,-76,-83,-81,-84,-85,-89,-85,-88,-88,-84,-84,-83,-90,-91,-200,-80,-68,-80,-81,-87,-86,-200,-91,-85,-82,-82,-200,-200,-200,-200,-85,-200,-89,-200,-200,-91,-200,-81,-91,-89,-200,-200,-91,-91,-88,-200,-91,-90,-200
1526448532872,-49,-53,-40,-37,-50,-57,-69,-65,-56,-70,-43,-60,-63,-76,-72,-83,-79,-86,-65,-81,-76,-84,-85,-88,-84,-88,-87,-88,-83,-84,-90,-91,-200,-80,-71,-81,-85,-87,-89,-200,-91,-85,-85,-84,-200,-200,-200,-200,-85,-200,-89,-200,-200,-87,-200,-80,-91,-89,-200,-200,-90,-89,-90,-200,-93,-90,-200
1526448535904,-47,-54,-40,-37,-49,-54,-73,-74,-55,-72,-43,-59,-66,-76,-73,-84,-80,-86,-65,-81,-79,-84,-83,-88,-85,-200,-86,-88,-85,-83,-90,-200,-200,-80,-71,-85,-85,-87,-88,-200,-91,-86,-85,-84,-200,-200,-200,-90,-85,-200,-89,-200,-200,-90,-200,-82,-91,-90,-200,-200,-90,-89,-90,-200,-91,-91,-200
1526448538913,-49,-54,-41,-36,-55,-55,-73,-68,-56,-76,-44,-61,-66,-76,-70,-86,-72,-90,-62,-83,-80,-82,-85,-91,-86,-200,-88,-86,-83,-83,-90,-90,-200,-81,-71,-85,-83,-87,-83,-200,-90,-89,-84,-90,-200,-200,-200,-88,-85,-200,-88,-200,-200,-90,-200,-82,-94,-90,-200,-200,-90,-89,-90,-200,-91,-91,-200
