,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,whu2011309,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
1526451064917,-36,-55,-49,-48,-52,-55,-58,-67,-64,-50,-62,-63,-61,-59,-61,-64,-80,-71,-71,-70,-74,-70,-60,-66,-74,-70,-74,-65,-80,-64,-85,-78,-82,-80,-83,-200,-75,-76,-90,-77,-73,-79,-84,-92,-79,-86,-85,-85,-78,-81,-79,-98,-89,-78,-200,-200,-86,-88,-91,-74,-94,-200,-81,-92,-91,-92,-88,-86,-200,-92,-200,-94,-200,-90,-94,-200,-200,-200,-85,-200,-200,-200,-200,-200,-89,-95,-200,-200,-96,-200,-200,-200,-200,-93,-200,-76,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526451067969,-36,-54,-52,-49,-52,-50,-53,-64,-64,-50,-61,-66,-69,-57,-61,-64,-77,-69,-71,-68,-77,-70,-61,-63,-75,-70,-74,-65,-83,-70,-88,-78,-82,-80,-81,-200,-74,-77,-92,-77,-72,-78,-86,-92,-79,-86,-86,-86,-77,-78,-79,-98,-88,-79,-75,-200,-86,-88,-92,-74,-200,-200,-82,-92,-91,-92,-87,-86,-200,-200,-200,-93,-200,-90,-92,-200,-200,-200,-85,-200,-200,-200,-200,-200,-89,-93,-200,-200,-96,-200,-200,-200,-200,-93,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526451071015,-36,-54,-52,-49,-51,-50,-56,-64,-64,-49,-57,-64,-64,-56,-61,-64,-78,-72,-71,-68,-76,-69,-61,-70,-75,-74,-74,-68,-78,-69,-86,-81,-200,-80,-81,-200,-73,-78,-92,-76,-75,-78,-83,-91,-79,-88,-86,-86,-81,-83,-79,-90,-88,-79,-75,-200,-86,-88,-92,-75,-200,-200,-82,-93,-93,-200,-86,-200,-200,-200,-200,-93,-200,-90,-89,-200,-200,-200,-88,-200,-96,-200,-200,-200,-200,-92,-200,-200,-93,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200
1526451074063,-37,-55,-51,-48,-54,-57,-53,-68,-63,-49,-58,-64,-67,-56,-59,-63,-82,-74,-200,-68,-76,-69,-65,-71,-73,-75,-75,-68,-80,-70,-86,-75,-200,-80,-83,-90,-75,-77,-90,-77,-72,-78,-87,-91,-81,-88,-86,-86,-79,-79,-79,-90,-90,-79,-75,-200,-200,-88,-91,-75,-90,-200,-76,-92,-89,-93,-88,-92,-200,-200,-200,-93,-200,-200,-89,-200,-200,-96,-88,-200,-94,-97,-200,-200,-200,-92,-200,-200,-93,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98,-94,-200,-200,-200
1526451077114,-37,-57,-52,-48,-51,-51,-57,-63,-65,-50,-64,-63,-66,-64,-59,-65,-78,-79,-66,-66,-76,-69,-60,-71,-74,-75,-75,-64,-81,-70,-85,-78,-200,-80,-83,-90,-75,-77,-90,-74,-72,-78,-86,-94,-81,-88,-84,-200,-79,-86,-79,-90,-90,-78,-200,-200,-200,-88,-93,-74,-90,-200,-82,-93,-91,-93,-88,-92,-200,-200,-200,-93,-200,-200,-89,-200,-200,-96,-89,-200,-94,-97,-200,-200,-200,-93,-200,-200,-94,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98,-94,-200,-200,-200
1526451080166,-39,-56,-53,-49,-53,-51,-54,-68,-66,-51,-65,-63,-64,-55,-55,-64,-78,-72,-66,-66,-74,-70,-62,-62,-74,-71,-75,-68,-83,-68,-88,-79,-82,-79,-83,-90,-73,-77,-90,-77,-77,-78,-83,-91,-78,-91,-88,-200,-79,-81,-79,-95,-88,-80,-200,-200,-88,-87,-90,-76,-90,-200,-84,-93,-91,-92,-88,-92,-200,-200,-200,-94,-200,-200,-200,-200,-200,-96,-88,-94,-94,-97,-200,-200,-200,-94,-200,-200,-95,-200,-200,-80,-200,-200,-200,-200,-200,-200,-95,-200,-200,-94,-200,-200,-200
1526451083215,-33,-56,-49,-50,-53,-56,-55,-64,-65,-50,-61,-63,-69,-64,-63,-63,-83,-74,-73,-66,-77,-70,-61,-60,-74,-71,-73,-68,-83,-69,-87,-75,-82,-79,-81,-200,-75,-77,-92,-77,-74,-78,-85,-93,-79,-88,-84,-200,-77,-79,-80,-95,-88,-81,-200,-200,-88,-93,-90,-76,-200,-200,-82,-92,-94,-92,-88,-80,-200,-200,-200,-93,-200,-91,-92,-96,-200,-200,-89,-94,-200,-200,-200,-200,-200,-93,-200,-200,-93,-200,-200,-80,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200
1526451086266,-35,-57,-52,-48,-50,-52,-53,-64,-65,-48,-59,-63,-65,-58,-59,-64,-78,-75,-74,-65,-74,-71,-60,-70,-74,-71,-74,-67,-80,-69,-87,-75,-82,-80,-81,-86,-73,-77,-91,-76,-75,-79,-86,-93,-82,-85,-89,-200,-77,-81,-79,-91,-87,-84,-200,-200,-88,-87,-90,-76,-200,-200,-80,-92,-94,-92,-87,-94,-200,-92,-200,-94,-200,-94,-90,-96,-200,-200,-90,-94,-200,-200,-200,-96,-200,-93,-97,-200,-96,-96,-95,-80,-95,-95,-200,-77,-200,-200,-93,-200,-200,-200,-200,-200,-200
1526451089290,-33,-53,-50,-47,-55,-54,-52,-65,-63,-49,-59,-66,-62,-66,-62,-63,-78,-68,-69,-62,-75,-73,-67,-62,-73,-72,-77,-65,-78,-71,-86,-77,-200,-77,-83,-86,-73,-78,-88,-76,-76,-76,-96,-200,-82,-87,-87,-200,-85,-80,-77,-91,-91,-68,-200,-200,-200,-87,-92,-75,-93,-200,-80,-92,-200,-71,-91,-94,-200,-92,-200,-93,-200,-95,-92,-200,-200,-95,-91,-200,-95,-98,-200,-97,-94,-95,-97,-200,-90,-96,-95,-80,-95,-95,-200,-77,-91,-200,-200,-200,-200,-200,-98,-200,-200
1526451092344,-36,-55,-54,-49,-52,-52,-53,-67,-67,-50,-61,-66,-67,-65,-63,-63,-78,-82,-69,-65,-75,-72,-64,-69,-73,-72,-75,-66,-78,-69,-88,-77,-84,-78,-80,-86,-73,-79,-88,-80,-80,-76,-90,-200,-84,-87,-87,-200,-85,-80,-81,-91,-87,-81,-200,-200,-200,-89,-90,-74,-93,-200,-80,-93,-91,-71,-91,-94,-200,-93,-200,-94,-200,-95,-92,-200,-200,-95,-92,-94,-95,-98,-200,-97,-92,-95,-97,-200,-90,-96,-95,-80,-95,-94,-200,-77,-88,-200,-200,-200,-200,-200,-98,-94,-95
1526451095400,-34,-55,-52,-49,-50,-51,-56,-64,-64,-50,-60,-69,-75,-57,-61,-65,-200,-72,-69,-64,-72,-72,-64,-69,-73,-72,-74,-64,-80,-70,-88,-77,-87,-78,-80,-200,-73,-85,-94,-79,-73,-77,-83,-94,-78,-88,-84,-200,-78,-80,-80,-90,-87,-79,-200,-200,-88,-88,-91,-75,-89,-200,-82,-92,-91,-71,-87,-93,-200,-93,-200,-94,-200,-90,-92,-200,-200,-94,-92,-94,-95,-98,-200,-97,-92,-93,-200,-95,-90,-200,-200,-72,-200,-92,-96,-200,-88,-200,-200,-95,-200,-200,-98,-94,-95
1526451098452,-32,-54,-49,-49,-59,-57,-60,-64,-72,-51,-59,-70,-62,-58,-57,-64,-81,-75,-71,-53,-76,-72,-64,-71,-76,-200,-79,-66,-81,-70,-82,-74,-87,-78,-84,-200,-72,-77,-93,-77,-73,-77,-83,-94,-78,-90,-89,-200,-76,-80,-79,-91,-91,-79,-200,-200,-88,-90,-91,-79,-96,-200,-82,-92,-91,-200,-89,-93,-200,-93,-200,-93,-200,-90,-90,-200,-200,-97,-88,-94,-95,-95,-200,-200,-90,-93,-200,-95,-94,-200,-200,-72,-97,-92,-94,-68,-88,-200,-200,-95,-200,-200,-200,-94,-95
