,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,NETWORK,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro
1526450939968,-26,-40,-42,-34,-39,-47,-64,-53,-59,-43,-61,-78,-67,-64,-75,-76,-68,-72,-63,-84,-64,-62,-88,-68,-80,-75,-78,-75,-74,-71,-84,-200,-73,-76,-75,-86,-80,-75,-77,-73,-79,-81,-87,-80,-81,-88,-87,-67,-91,-200,-91,-86,-77,-91,-85,-86,-81,-89,-85,-200,-88,-87,-200,-84,-87,-79,-200,-200,-83,-200,-86,-91,-88,-84,-200,-87,-89,-90,-200,-93,-88,-90,-200,-91,-200,-200,-88,-69,-200,-83,-82,-84,-86,-200,-92,-91,-200,-200,-87,-92,-200,-77,-90,-93,-90,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526450942986,-27,-38,-43,-38,-38,-47,-60,-47,-64,-39,-59,-78,-69,-60,-200,-79,-69,-70,-65,-78,-67,-64,-86,-64,-73,-73,-77,-78,-77,-74,-77,-200,-73,-80,-75,-85,-79,-77,-77,-73,-79,-83,-87,-200,-81,-93,-87,-75,-91,-200,-90,-78,-77,-91,-86,-86,-80,-89,-83,-200,-88,-79,-200,-85,-88,-80,-86,-200,-85,-86,-85,-90,-86,-84,-200,-87,-89,-87,-200,-93,-200,-90,-200,-91,-200,-92,-87,-69,-200,-83,-82,-88,-86,-200,-92,-91,-86,-200,-88,-90,-92,-77,-90,-93,-90,-74,-89,-89,-92,-200,-200,-200,-200,-200
1526450946040,-17,-39,-52,-37,-37,-47,-67,-48,-58,-58,-59,-76,-68,-63,-200,-78,-68,-71,-62,-78,-67,-74,-86,-70,-73,-75,-87,-76,-81,-73,-81,-200,-73,-79,-75,-86,-82,-71,-77,-73,-78,-82,-83,-200,-81,-88,-87,-81,-90,-200,-90,-79,-77,-200,-87,-84,-80,-89,-83,-200,-84,-79,-200,-83,-88,-78,-90,-200,-85,-86,-90,-89,-86,-86,-200,-89,-87,-87,-200,-93,-91,-89,-200,-91,-200,-92,-89,-69,-76,-83,-82,-86,-86,-200,-90,-91,-86,-200,-88,-91,-92,-77,-200,-200,-90,-85,-89,-89,-90,-84,-200,-200,-200,-200
1526450949083,-16,-39,-45,-31,-36,-48,-58,-46,-61,-42,-58,-76,-69,-62,-200,-78,-65,-71,-65,-79,-64,-65,-86,-67,-77,-75,-87,-76,-81,-73,-77,-200,-73,-79,-75,-86,-77,-72,-77,-73,-85,-82,-83,-200,-78,-87,-87,-73,-90,-200,-90,-78,-77,-200,-87,-84,-80,-90,-89,-200,-88,-80,-200,-83,-86,-78,-90,-200,-85,-86,-90,-87,-86,-88,-200,-89,-87,-87,-200,-200,-91,-89,-200,-200,-200,-92,-87,-69,-76,-87,-88,-86,-200,-200,-90,-89,-86,-200,-88,-91,-92,-200,-200,-200,-200,-85,-89,-89,-90,-84,-200,-200,-200,-200
1526450952130,-27,-40,-45,-38,-38,-48,-59,-47,-64,-44,-57,-76,-71,-65,-200,-76,-69,-71,-66,-78,-64,-62,-87,-65,-77,-75,-80,-82,-74,-73,-77,-200,-73,-79,-75,-84,-75,-74,-77,-74,-78,-84,-84,-200,-78,-88,-87,-73,-88,-200,-89,-78,-200,-200,-87,-84,-80,-87,-84,-200,-88,-78,-200,-82,-86,-80,-90,-200,-88,-76,-90,-89,-87,-88,-200,-89,-87,-89,-200,-200,-91,-89,-200,-200,-200,-91,-87,-71,-76,-87,-84,-85,-200,-200,-90,-89,-86,-200,-88,-91,-92,-200,-200,-200,-200,-85,-89,-88,-90,-84,-200,-200,-200,-200
1526450955169,-16,-39,-43,-37,-38,-47,-59,-44,-60,-40,-67,-76,-69,-63,-200,-79,-79,-72,-63,-78,-65,-64,-87,-69,-73,-74,-78,-75,-75,-72,-74,-200,-73,-77,-73,-85,-75,-77,-79,-73,-78,-84,-87,-200,-78,-88,-85,-72,-89,-200,-89,-81,-77,-200,-87,-87,-90,-87,-84,-200,-88,-78,-200,-84,-88,-80,-90,-200,-85,-76,-85,-89,-87,-88,-200,-89,-88,-89,-200,-90,-91,-89,-200,-200,-200,-91,-87,-68,-76,-87,-84,-85,-200,-200,-90,-89,-200,-200,-200,-91,-92,-200,-200,-200,-200,-88,-200,-88,-90,-87,-200,-200,-200,-200
1526450958187,-26,-42,-44,-39,-37,-46,-60,-50,-59,-50,-54,-76,-65,-60,-200,-79,-68,-77,-62,-79,-66,-64,-87,-72,-73,-72,-78,-75,-75,-72,-80,-200,-72,-79,-74,-88,-78,-73,-74,-73,-90,-85,-85,-200,-78,-88,-86,-69,-88,-200,-89,-79,-73,-200,-89,-84,-82,-87,-84,-200,-88,-82,-200,-88,-88,-85,-200,-200,-91,-76,-87,-91,-86,-88,-200,-87,-90,-88,-200,-90,-200,-93,-200,-89,-200,-91,-87,-67,-200,-87,-84,-81,-200,-200,-90,-89,-200,-200,-200,-91,-200,-200,-200,-200,-200,-88,-200,-88,-200,-87,-93,-200,-200,-200
1526450961213,-18,-40,-45,-38,-38,-50,-60,-42,-59,-47,-54,-76,-67,-66,-200,-74,-71,-67,-64,-77,-63,-64,-83,-63,-70,-76,-78,-71,-72,-74,-78,-200,-70,-79,-73,-88,-75,-74,-80,-74,-85,-80,-83,-200,-200,-88,-86,-69,-88,-200,-89,-79,-73,-200,-88,-84,-81,-88,-84,-200,-88,-76,-200,-88,-88,-79,-200,-200,-87,-76,-83,-91,-85,-85,-200,-87,-90,-86,-200,-95,-200,-93,-200,-89,-200,-88,-88,-67,-200,-200,-84,-85,-200,-200,-90,-200,-200,-200,-200,-91,-92,-200,-200,-200,-200,-88,-200,-88,-91,-87,-93,-200,-200,-200
1526450964260,-18,-38,-39,-30,-39,-48,-59,-44,-64,-46,-59,-76,-70,-61,-200,-74,-77,-72,-68,-79,-65,-63,-83,-71,-79,-70,-80,-76,-76,-73,-78,-200,-73,-77,-75,-88,-78,-75,-76,-72,-79,-82,-85,-200,-76,-200,-86,-72,-90,-200,-88,-79,-78,-200,-88,-88,-83,-87,-84,-200,-88,-77,-91,-81,-91,-82,-200,-200,-81,-200,-87,-91,-88,-87,-89,-91,-88,-89,-200,-95,-200,-93,-200,-89,-200,-88,-88,-67,-200,-200,-84,-83,-86,-200,-200,-89,-200,-200,-84,-200,-92,-200,-200,-200,-200,-88,-200,-200,-91,-87,-93,-81,-89,-200
1526450967297,-27,-39,-45,-37,-39,-47,-63,-45,-61,-42,-59,-76,-70,-63,-200,-76,-67,-73,-62,-81,-67,-64,-83,-64,-79,-70,-80,-74,-75,-73,-81,-200,-73,-77,-74,-88,-78,-73,-77,-71,-89,-83,-85,-200,-74,-200,-86,-72,-90,-200,-88,-79,-78,-200,-88,-88,-83,-87,-84,-200,-86,-80,-91,-81,-88,-82,-75,-200,-86,-200,-87,-92,-85,-86,-89,-88,-88,-89,-200,-95,-200,-89,-200,-89,-200,-88,-88,-68,-200,-200,-85,-85,-86,-200,-200,-89,-200,-82,-88,-200,-92,-200,-200,-200,-200,-83,-200,-200,-91,-200,-93,-86,-89,-91
1526450970346,-16,-39,-46,-37,-15,-47,-63,-49,-60,-50,-58,-76,-70,-61,-200,-76,-67,-72,-65,-79,-65,-64,-83,-67,-79,-70,-74,-74,-79,-73,-77,-200,-73,-76,-74,-85,-79,-75,-77,-71,-78,-83,-85,-200,-74,-200,-87,-70,-91,-200,-91,-79,-79,-87,-85,-87,-82,-87,-84,-200,-86,-78,-91,-87,-88,-79,-75,-200,-86,-90,-87,-89,-85,-86,-89,-89,-87,-86,-200,-95,-200,-87,-200,-200,-200,-88,-88,-68,-200,-200,-92,-85,-84,-200,-200,-89,-200,-82,-88,-200,-92,-200,-200,-200,-200,-74,-200,-200,-91,-200,-200,-86,-89,-91
1526450973362,-27,-38,-43,-31,-39,-47,-62,-45,-64,-47,-59,-76,-68,-62,-200,-75,-67,-69,-65,-79,-65,-63,-200,-68,-78,-75,-80,-74,-75,-73,-78,-200,-73,-78,-75,-86,-86,-76,-75,-74,-78,-81,-85,-200,-74,-200,-86,-71,-90,-200,-90,-78,-66,-87,-85,-87,-80,-87,-88,-200,-85,-77,-91,-87,-86,-80,-75,-200,-86,-90,-85,-89,-87,-84,-89,-88,-87,-86,-200,-200,-200,-90,-200,-200,-200,-90,-82,-68,-200,-200,-87,-82,-84,-200,-200,-89,-87,-82,-88,-200,-93,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-86,-200,-91
