,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309
1526447556764,-39,-38,-45,-46,-61,-45,-50,-59,-57,-61,-63,-64,-78,-66,-65,-63,-66,-72,-70,-63,-85,-88,-84,-76,-81,-89,-200,-89,-89,-82,-81,-88,-88,-85,-83,-91,-82,-200,-200,-95,-86,-90,-91,-96,-90,-90,-200,-89,-95,-96,-200,-95,-91,-200,-94,-94,-91,-92,-96,-88,-94,-200,-94,-91,-200,-200,-95,-89,-96,-200,-200,-200,-76,-94,-200,-93,-95,-200,-91,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447557461,-39,-38,-45,-46,-61,-45,-50,-59,-57,-61,-63,-64,-78,-66,-65,-63,-66,-72,-70,-63,-85,-88,-84,-76,-81,-89,-200,-89,-89,-82,-81,-88,-88,-85,-83,-91,-82,-200,-200,-95,-86,-90,-91,-96,-90,-90,-200,-89,-95,-96,-200,-95,-91,-200,-94,-94,-91,-92,-96,-88,-94,-200,-94,-91,-200,-200,-95,-89,-96,-200,-200,-200,-76,-94,-200,-93,-95,-200,-91,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447559809,-47,-43,-40,-49,-65,-47,-52,-58,-59,-62,-60,-63,-79,-65,-64,-64,-65,-75,-67,-62,-92,-87,-200,-82,-80,-78,-200,-88,-93,-84,-80,-87,-200,-85,-85,-89,-83,-93,-87,-96,-89,-89,-91,-96,-90,-90,-200,-200,-93,-96,-200,-95,-93,-96,-96,-94,-93,-200,-200,-91,-94,-200,-96,-88,-95,-200,-92,-92,-96,-200,-200,-200,-76,-93,-200,-95,-200,-98,-200,-96,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447560518,-47,-43,-40,-49,-65,-47,-52,-58,-59,-62,-60,-63,-79,-65,-64,-64,-65,-75,-67,-62,-92,-87,-200,-82,-80,-78,-200,-88,-93,-84,-80,-87,-200,-85,-85,-89,-83,-93,-87,-96,-89,-89,-91,-96,-90,-90,-200,-200,-93,-96,-200,-95,-93,-96,-96,-94,-93,-200,-200,-91,-94,-200,-96,-88,-95,-200,-92,-92,-96,-200,-200,-200,-76,-93,-200,-95,-200,-98,-200,-96,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447562859,-53,-49,-42,-48,-61,-54,-48,-62,-55,-60,-65,-69,-75,-67,-69,-66,-77,-79,-67,-71,-87,-88,-200,-82,-80,-83,-200,-91,-88,-80,-89,-87,-200,-83,-91,-88,-88,-91,-87,-95,-89,-95,-92,-95,-93,-90,-200,-91,-96,-96,-92,-200,-94,-96,-96,-94,-93,-200,-200,-93,-94,-200,-96,-88,-95,-200,-92,-93,-200,-200,-90,-200,-76,-93,-200,-95,-200,-98,-200,-96,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447563585,-53,-49,-42,-48,-61,-54,-48,-62,-55,-60,-65,-69,-75,-67,-69,-66,-77,-79,-67,-71,-87,-88,-200,-82,-80,-83,-200,-91,-88,-80,-89,-87,-200,-83,-91,-88,-88,-91,-87,-95,-89,-95,-92,-95,-93,-90,-200,-91,-96,-96,-92,-200,-94,-96,-96,-94,-93,-200,-200,-93,-94,-200,-96,-88,-95,-200,-92,-93,-200,-200,-90,-200,-76,-93,-200,-95,-200,-98,-200,-96,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447565899,-49,-46,-42,-50,-59,-50,-59,-62,-59,-62,-51,-68,-81,-63,-75,-64,-58,-78,-67,-70,-79,-90,-200,-83,-82,-82,-200,-88,-94,-86,-76,-91,-200,-89,-87,-88,-85,-95,-90,-94,-89,-88,-90,-95,-93,-97,-200,-89,-95,-96,-92,-200,-91,-200,-200,-200,-93,-200,-200,-92,-94,-200,-200,-88,-95,-200,-200,-96,-200,-200,-94,-200,-79,-91,-200,-95,-200,-98,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447566636,-49,-46,-42,-50,-59,-50,-59,-62,-59,-62,-51,-68,-81,-63,-75,-64,-58,-78,-67,-70,-79,-90,-200,-83,-82,-82,-200,-88,-94,-86,-76,-91,-200,-89,-87,-88,-85,-95,-90,-94,-89,-88,-90,-95,-93,-97,-200,-89,-95,-96,-92,-200,-91,-200,-200,-200,-93,-200,-200,-92,-94,-200,-200,-88,-95,-200,-200,-96,-200,-200,-94,-200,-79,-91,-200,-95,-200,-98,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447568944,-47,-39,-42,-51,-58,-50,-50,-58,-56,-66,-60,-60,-77,-72,-73,-61,-67,-79,-72,-70,-82,-85,-200,-76,-79,-72,-200,-89,-94,-91,-80,-91,-200,-85,-88,-93,-83,-95,-92,-94,-88,-91,-92,-200,-91,-93,-200,-89,-94,-96,-92,-200,-91,-93,-200,-200,-95,-200,-96,-88,-90,-200,-200,-95,-200,-200,-94,-94,-200,-200,-94,-200,-80,-93,-200,-200,-200,-200,-200,-200,-200,-97,-96,-98,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447569669,-47,-39,-42,-51,-58,-50,-50,-58,-56,-66,-60,-60,-77,-72,-73,-61,-67,-79,-72,-70,-82,-85,-200,-76,-79,-72,-200,-89,-94,-91,-80,-91,-200,-85,-88,-93,-83,-95,-92,-94,-88,-91,-92,-200,-91,-93,-200,-89,-94,-96,-92,-200,-91,-93,-200,-200,-95,-200,-96,-88,-90,-200,-200,-95,-200,-200,-94,-94,-200,-200,-94,-200,-80,-93,-200,-200,-200,-200,-200,-200,-200,-97,-96,-98,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447571991,-42,-50,-38,-50,-61,-45,-51,-63,-59,-63,-62,-59,-71,-70,-65,-58,-67,-77,-70,-67,-83,-84,-85,-83,-76,-82,-200,-87,-200,-87,-80,-88,-200,-86,-83,-95,-83,-95,-92,-200,-88,-89,-92,-200,-96,-88,-200,-89,-93,-200,-92,-94,-88,-94,-200,-200,-95,-200,-96,-89,-83,-200,-200,-93,-200,-200,-94,-92,-200,-200,-91,-200,-80,-95,-96,-97,-200,-200,-200,-200,-97,-97,-96,-98,-97,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447572697,-42,-50,-38,-50,-61,-45,-51,-63,-59,-63,-62,-59,-71,-70,-65,-58,-67,-77,-70,-67,-83,-84,-85,-83,-76,-82,-200,-87,-200,-87,-80,-88,-200,-86,-83,-95,-83,-95,-92,-200,-88,-89,-92,-200,-96,-88,-200,-89,-93,-200,-92,-94,-88,-94,-200,-200,-95,-200,-96,-89,-83,-200,-200,-93,-200,-200,-94,-92,-200,-200,-91,-200,-80,-95,-96,-97,-200,-200,-200,-200,-97,-97,-96,-98,-97,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447575044,-41,-41,-40,-53,-60,-49,-50,-62,-59,-64,-66,-58,-74,-59,-66,-58,-69,-79,-69,-70,-82,-83,-85,-83,-77,-81,-200,-89,-91,-87,-79,-88,-200,-84,-85,-93,-84,-91,-90,-95,-91,-89,-95,-92,-92,-88,-200,-91,-93,-96,-95,-94,-94,-94,-200,-93,-96,-200,-200,-89,-91,-200,-95,-93,-96,-200,-94,-95,-200,-200,-91,-200,-79,-95,-82,-97,-95,-200,-200,-200,-97,-97,-96,-98,-97,-95,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447575760,-41,-41,-40,-53,-60,-49,-50,-62,-59,-64,-66,-58,-74,-59,-66,-58,-69,-79,-69,-70,-82,-83,-85,-83,-77,-81,-200,-89,-91,-87,-79,-88,-200,-84,-85,-93,-84,-91,-90,-95,-91,-89,-95,-92,-92,-88,-200,-91,-93,-96,-95,-94,-94,-94,-200,-93,-96,-200,-200,-89,-91,-200,-95,-93,-96,-200,-94,-95,-200,-200,-91,-200,-79,-95,-82,-97,-95,-200,-200,-200,-97,-97,-96,-98,-97,-95,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447578092,-42,-50,-38,-52,-61,-47,-49,-59,-60,-61,-62,-58,-71,-69,-65,-61,-67,-72,-71,-68,-83,-85,-85,-84,-80,-80,-200,-90,-91,-85,-80,-91,-200,-82,-86,-93,-83,-91,-94,-93,-90,-88,-95,-95,-90,-90,-200,-91,-93,-96,-95,-90,-91,-95,-200,-96,-94,-200,-200,-87,-91,-200,-94,-93,-96,-200,-94,-92,-200,-200,-93,-200,-82,-93,-82,-95,-95,-200,-200,-200,-97,-97,-200,-98,-97,-95,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447578815,-42,-50,-38,-52,-61,-47,-49,-59,-60,-61,-62,-58,-71,-69,-65,-61,-67,-72,-71,-68,-83,-85,-85,-84,-80,-80,-200,-90,-91,-85,-80,-91,-200,-82,-86,-93,-83,-91,-94,-93,-90,-88,-95,-95,-90,-90,-200,-91,-93,-96,-95,-90,-91,-95,-200,-96,-94,-200,-200,-87,-91,-200,-94,-93,-96,-200,-94,-92,-200,-200,-93,-200,-82,-93,-82,-95,-95,-200,-200,-200,-97,-97,-200,-98,-97,-95,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447581134,-46,-40,-41,-50,-58,-48,-53,-59,-58,-64,-66,-59,-76,-55,-67,-61,-68,-74,-63,-68,-83,-84,-200,-84,-75,-80,-200,-91,-96,-82,-79,-87,-89,-88,-87,-91,-82,-97,-97,-95,-89,-87,-93,-93,-89,-91,-90,-91,-94,-200,-200,-90,-93,-95,-94,-93,-94,-200,-200,-87,-88,-200,-94,-88,-91,-200,-91,-93,-200,-200,-93,-200,-77,-93,-200,-98,-200,-200,-200,-97,-200,-200,-200,-96,-97,-92,-99,-94,-95,-96,-200,-200,-200,-200,-200,-200
1526447581858,-46,-40,-41,-50,-58,-48,-53,-59,-58,-64,-66,-59,-76,-55,-67,-61,-68,-74,-63,-68,-83,-84,-200,-84,-75,-80,-200,-91,-96,-82,-79,-87,-89,-88,-87,-91,-82,-97,-97,-95,-89,-87,-93,-93,-89,-91,-90,-91,-94,-200,-200,-90,-93,-95,-94,-93,-94,-200,-200,-87,-88,-200,-94,-88,-91,-200,-91,-93,-200,-200,-93,-200,-77,-93,-200,-98,-200,-200,-200,-97,-200,-200,-200,-96,-97,-92,-99,-94,-95,-96,-200,-200,-200,-200,-200,-200
1526447584180,-41,-43,-40,-51,-59,-50,-51,-60,-58,-62,-66,-59,-77,-65,-65,-59,-68,-76,-71,-66,-83,-85,-200,-83,-79,-81,-200,-88,-96,-83,-78,-89,-88,-85,-86,-91,-82,-95,-91,-94,-89,-87,-92,-93,-89,-91,-90,-91,-91,-200,-91,-95,-92,-200,-94,-92,-95,-200,-200,-89,-91,-96,-94,-92,-94,-200,-93,-93,-200,-200,-93,-200,-77,-95,-200,-95,-200,-96,-200,-97,-200,-97,-200,-96,-97,-94,-200,-94,-95,-96,-200,-200,-200,-200,-200,-200
1526447584909,-41,-43,-40,-51,-59,-50,-51,-60,-58,-62,-66,-59,-77,-65,-65,-59,-68,-76,-71,-66,-83,-85,-200,-83,-79,-81,-200,-88,-96,-83,-78,-89,-88,-85,-86,-91,-82,-95,-91,-94,-89,-87,-92,-93,-89,-91,-90,-91,-91,-200,-91,-95,-92,-200,-94,-92,-95,-200,-200,-89,-91,-96,-94,-92,-94,-200,-93,-93,-200,-200,-93,-200,-77,-95,-200,-95,-200,-96,-200,-97,-200,-97,-200,-96,-97,-94,-200,-94,-95,-96,-200,-200,-200,-200,-200,-200
1526447587237,-40,-41,-38,-53,-60,-46,-50,-59,-58,-58,-62,-59,-76,-68,-64,-63,-66,-81,-71,-69,-84,-85,-84,-74,-80,-82,-200,-88,-93,-81,-80,-89,-88,-88,-91,-93,-84,-95,-92,-94,-88,-90,-97,-92,-89,-91,-92,-200,-93,-200,-91,-96,-94,-200,-94,-92,-95,-200,-200,-84,-92,-96,-98,-92,-95,-200,-81,-96,-200,-200,-200,-200,-77,-95,-200,-95,-200,-96,-200,-97,-200,-97,-200,-96,-97,-94,-200,-94,-95,-96,-96,-200,-200,-200,-200,-200
1526447587969,-40,-41,-38,-53,-60,-46,-50,-59,-58,-58,-62,-59,-76,-68,-64,-63,-66,-81,-71,-69,-84,-85,-84,-74,-80,-82,-200,-88,-93,-81,-80,-89,-88,-88,-91,-93,-84,-95,-92,-94,-88,-90,-97,-92,-89,-91,-92,-200,-93,-200,-91,-96,-94,-200,-94,-92,-95,-200,-200,-84,-92,-96,-98,-92,-95,-200,-81,-96,-200,-200,-200,-200,-77,-95,-200,-95,-200,-96,-200,-97,-200,-97,-200,-96,-97,-94,-200,-94,-95,-96,-96,-200,-200,-200,-200,-200
1526447590283,-41,-47,-40,-51,-60,-44,-48,-59,-60,-58,-65,-59,-74,-61,-65,-58,-66,-73,-70,-66,-82,-93,-84,-79,-81,-81,-200,-89,-93,-83,-79,-88,-200,-86,-89,-90,-84,-91,-92,-78,-90,-87,-95,-93,-92,-93,-92,-91,-94,-200,-93,-96,-93,-96,-200,-92,-95,-200,-200,-90,-90,-200,-96,-200,-94,-200,-81,-96,-200,-200,-90,-200,-77,-93,-94,-95,-200,-96,-200,-200,-200,-97,-200,-200,-200,-94,-200,-200,-95,-200,-96,-96,-200,-200,-200,-200
1526447591039,-41,-47,-40,-51,-60,-44,-48,-59,-60,-58,-65,-59,-74,-61,-65,-58,-66,-73,-70,-66,-82,-93,-84,-79,-81,-81,-200,-89,-93,-83,-79,-88,-200,-86,-89,-90,-84,-91,-92,-78,-90,-87,-95,-93,-92,-93,-92,-91,-94,-200,-93,-96,-93,-96,-200,-92,-95,-200,-200,-90,-90,-200,-96,-200,-94,-200,-81,-96,-200,-200,-90,-200,-77,-93,-94,-95,-200,-96,-200,-200,-200,-97,-200,-200,-200,-94,-200,-200,-95,-200,-96,-96,-200,-200,-200,-200
1526447593327,-46,-42,-42,-51,-58,-51,-52,-59,-59,-65,-66,-59,-77,-65,-66,-58,-67,-72,-73,-67,-90,-87,-84,-79,-79,-80,-200,-88,-94,-82,-78,-89,-200,-84,-84,-92,-83,-91,-92,-94,-87,-89,-91,-93,-91,-94,-92,-92,-93,-200,-93,-93,-92,-94,-200,-97,-92,-200,-200,-88,-89,-200,-96,-200,-94,-200,-200,-96,-200,-200,-90,-200,-77,-96,-94,-94,-200,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-96,-96,-96,-97,-200,-200
