,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526454333924,-53,-49,-51,-46,-54,-48,-59,-58,-59,-54,-66,-61,-72,-64,-63,-68,-62,-71,-68,-70,-51,-73,-50,-69,-66,-71,-65,-68,-54,-72,-81,-71,-81,-72,-79,-86,-80,-87,-84,-79,-75,-79,-78,-83,-87,-82,-81,-81,-90,-75,-86,-200,-86,-200,-81,-200,-85,-93,-87,-86,-200,-200,-200,-200,-85,-80,-200,-200,-89,-200,-86,-89,-90,-89,-90,-89,-200,-200,-200
1526454336967,-51,-47,-51,-52,-54,-47,-52,-57,-62,-54,-68,-61,-68,-64,-68,-70,-70,-71,-69,-67,-57,-74,-53,-73,-66,-71,-72,-68,-54,-72,-78,-85,-81,-72,-77,-86,-77,-87,-84,-79,-78,-84,-77,-83,-88,-82,-81,-81,-200,-73,-86,-200,-84,-200,-81,-88,-200,-93,-87,-200,-200,-200,-200,-71,-85,-200,-200,-200,-88,-200,-200,-200,-90,-200,-90,-89,-88,-200,-200
1526454339994,-52,-49,-50,-45,-54,-51,-53,-57,-62,-53,-70,-61,-75,-64,-63,-64,-66,-67,-69,-70,-54,-72,-53,-66,-65,-71,-67,-68,-54,-76,-80,-85,-80,-70,-76,-200,-79,-87,-200,-79,-79,-84,-77,-83,-88,-82,-79,-200,-200,-73,-85,-200,-84,-200,-81,-88,-200,-93,-93,-200,-200,-200,-200,-69,-85,-83,-200,-200,-87,-200,-200,-200,-89,-200,-90,-89,-88,-200,-200
1526454343029,-49,-51,-48,-48,-54,-48,-60,-58,-62,-58,-63,-61,-75,-63,-62,-74,-69,-70,-76,-71,-48,-73,-52,-71,-67,-70,-70,-75,-57,-76,-80,-73,-80,-70,-76,-81,-78,-87,-200,-79,-80,-84,-77,-83,-88,-81,-79,-82,-200,-74,-85,-200,-84,-200,-81,-88,-80,-93,-93,-200,-200,-200,-200,-70,-81,-84,-200,-200,-87,-200,-200,-200,-89,-200,-90,-88,-88,-200,-200
1526454346042,-53,-46,-51,-47,-55,-50,-57,-56,-60,-54,-69,-63,-73,-66,-64,-66,-67,-68,-76,-70,-52,-72,-55,-71,-67,-70,-64,-67,-56,-76,-79,-85,-89,-70,-80,-86,-81,-85,-200,-79,-80,-85,-76,-200,-88,-81,-78,-82,-200,-76,-85,-200,-88,-200,-200,-88,-80,-200,-93,-200,-200,-200,-200,-70,-83,-84,-200,-200,-87,-200,-200,-200,-89,-200,-200,-88,-88,-84,-200
1526454349077,-53,-47,-47,-47,-55,-49,-53,-60,-60,-51,-65,-60,-73,-61,-67,-69,-65,-68,-77,-70,-50,-71,-51,-72,-65,-69,-68,-67,-54,-69,-81,-74,-89,-70,-81,-86,-80,-85,-200,-78,-81,-85,-75,-200,-200,-81,-78,-82,-200,-75,-86,-200,-88,-200,-200,-200,-80,-200,-89,-200,-200,-200,-200,-70,-83,-85,-200,-200,-87,-200,-200,-200,-87,-200,-200,-85,-200,-84,-200
1526454352114,-53,-51,-53,-47,-54,-47,-53,-60,-59,-51,-66,-61,-76,-61,-64,-68,-64,-70,-76,-69,-55,-78,-49,-74,-65,-69,-70,-76,-59,-74,-80,-74,-83,-70,-79,-86,-79,-85,-200,-78,-81,-85,-75,-200,-87,-81,-78,-82,-89,-75,-86,-200,-88,-200,-200,-200,-80,-200,-89,-200,-200,-200,-200,-68,-83,-81,-200,-200,-200,-200,-200,-200,-87,-200,-200,-81,-88,-84,-200
1526454355149,-56,-48,-49,-43,-54,-49,-54,-58,-59,-59,-67,-60,-75,-61,-63,-65,-67,-70,-76,-69,-51,-73,-51,-74,-67,-69,-66,-68,-52,-74,-78,-75,-83,-70,-79,-86,-79,-91,-200,-80,-85,-85,-73,-84,-88,-82,-79,-200,-89,-77,-86,-200,-88,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-68,-83,-81,-200,-200,-85,-200,-200,-200,-87,-93,-200,-81,-88,-84,-200
1526454358159,-55,-51,-54,-45,-55,-50,-53,-63,-62,-52,-66,-63,-74,-61,-67,-68,-63,-70,-77,-69,-54,-69,-52,-71,-70,-75,-66,-73,-52,-71,-78,-71,-84,-67,-79,-200,-79,-91,-200,-80,-80,-200,-74,-84,-88,-84,-79,-80,-89,-77,-86,-200,-200,-200,-81,-200,-200,-200,-89,-89,-200,-200,-200,-68,-200,-80,-200,-200,-85,-200,-200,-200,-87,-93,-200,-81,-88,-200,-200
1526454361198,-53,-53,-54,-45,-54,-51,-54,-67,-59,-60,-63,-59,-65,-67,-67,-68,-61,-68,-75,-69,-47,-72,-52,-69,-69,-75,-68,-70,-53,-71,-80,-71,-87,-71,-75,-200,-79,-88,-200,-79,-80,-200,-75,-85,-88,-83,-77,-80,-89,-76,-86,-200,-87,-200,-81,-200,-200,-200,-89,-89,-200,-200,-200,-68,-200,-80,-200,-200,-85,-200,-200,-200,-88,-93,-200,-81,-88,-86,-200
1526454364233,-53,-47,-47,-45,-59,-51,-53,-68,-61,-59,-66,-60,-74,-67,-67,-68,-59,-68,-77,-69,-48,-73,-53,-72,-67,-70,-67,-76,-53,-71,-79,-72,-87,-71,-75,-85,-78,-88,-84,-79,-80,-200,-75,-85,-88,-83,-76,-80,-89,-78,-86,-200,-87,-200,-81,-200,-200,-200,-89,-87,-200,-200,-200,-200,-200,-79,-200,-200,-85,-200,-200,-200,-88,-93,-200,-200,-200,-86,-90
1526454367273,-54,-47,-52,-46,-58,-50,-54,-62,-60,-56,-67,-61,-75,-67,-63,-67,-60,-68,-75,-69,-52,-74,-53,-71,-67,-70,-67,-76,-55,-71,-80,-72,-83,-71,-76,-79,-80,-88,-84,-79,-80,-200,-73,-85,-200,-83,-77,-85,-89,-79,-200,-200,-88,-200,-81,-200,-200,-200,-89,-90,-200,-200,-200,-70,-86,-79,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-88,-90
