,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526455512669,-91,-200,-88,-84,-200,-74,-200,-200,-68,-92,-73,-96,-200,-200,-200,-200,-93,-200,-200,-93,-94,-92,-94,-200,-200,-200
1526455512772,-91,-200,-89,-200,-69,-74,-200,-200,-68,-200,-200,-200,-83,-86,-93,-200,-92,-200,-200,-92,-200,-93,-200,-200,-200,-200
1526455512889,-90,-200,-88,-200,-200,-200,-200,-200,-68,-92,-73,-200,-83,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455513012,-90,-200,-89,-200,-69,-74,-200,-200,-69,-93,-200,-200,-82,-85,-200,-200,-200,-200,-200,-93,-200,-92,-200,-200,-200,-200
1526455513133,-84,-200,-200,-200,-72,-73,-91,-200,-69,-200,-72,-90,-72,-200,-89,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455517541,-83,-89,-200,-83,-72,-72,-200,-200,-69,-200,-73,-89,-72,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455517637,-83,-200,-71,-200,-72,-200,-200,-200,-70,-200,-200,-200,-72,-81,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455517749,-200,-200,-71,-200,-72,-200,-200,-200,-70,-200,-200,-90,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455517849,-200,-200,-71,-82,-72,-73,-200,-93,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455517980,-200,-200,-200,-82,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455522435,-81,-200,-69,-77,-69,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200
1526455522595,-200,-200,-67,-78,-69,-74,-200,-200,-66,-92,-71,-200,-79,-200,-86,-92,-200,-200,-94,-200,-200,-92,-200,-98,-200,-200
1526455522742,-200,-94,-69,-76,-69,-73,-200,-200,-66,-200,-200,-200,-80,-200,-86,-93,-82,-200,-200,-200,-200,-200,-200,-200,-91,-200
1526455522841,-200,-91,-68,-76,-69,-200,-200,-200,-67,-200,-71,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-92,-200,-200,-200,-200
1526455522947,-82,-93,-68,-77,-200,-73,-200,-200,-67,-200,-71,-200,-78,-83,-85,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455523079,-81,-200,-85,-200,-71,-73,-200,-200,-70,-200,-73,-200,-89,-87,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-90,-200
1526455527502,-94,-95,-86,-200,-71,-73,-90,-200,-69,-93,-74,-98,-90,-86,-92,-200,-92,-200,-200,-93,-200,-94,-200,-200,-200,-200
1526455527586,-94,-96,-86,-200,-200,-73,-200,-200,-200,-92,-73,-200,-200,-200,-91,-200,-200,-200,-200,-200,-99,-200,-95,-200,-200,-200
1526455527701,-93,-96,-200,-200,-71,-72,-92,-200,-200,-200,-200,-200,-200,-86,-93,-200,-200,-200,-200,-95,-98,-95,-200,-200,-200,-200
1526455527818,-200,-94,-86,-200,-71,-73,-200,-200,-69,-200,-73,-200,-91,-85,-93,-200,-200,-200,-200,-95,-200,-94,-200,-200,-200,-200
1526455527923,-200,-96,-86,-200,-70,-73,-94,-200,-69,-200,-73,-200,-90,-200,-92,-200,-91,-200,-200,-94,-200,-94,-200,-200,-200,-200
1526455528029,-97,-94,-200,-200,-71,-73,-200,-200,-200,-200,-74,-98,-200,-87,-93,-200,-91,-200,-200,-93,-200,-93,-200,-200,-200,-200
1526455528148,-200,-87,-70,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-94,-200,-200,-200,-200,-93,-200
1526455532522,-200,-200,-70,-82,-72,-72,-200,-200,-69,-200,-72,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455532626,-200,-200,-69,-200,-69,-200,-200,-200,-69,-200,-200,-91,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455532743,-200,-88,-71,-200,-200,-200,-200,-200,-70,-200,-72,-200,-71,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455532849,-85,-87,-200,-83,-70,-71,-94,-91,-200,-200,-71,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455532979,-200,-200,-69,-83,-72,-71,-200,-92,-69,-200,-200,-90,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455537442,-200,-200,-68,-200,-69,-72,-200,-200,-66,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200
1526455537541,-200,-200,-68,-78,-69,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200
1526455537644,-82,-200,-66,-200,-69,-72,-200,-200,-200,-92,-200,-200,-200,-200,-200,-91,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455537777,-82,-93,-69,-200,-69,-200,-200,-200,-200,-91,-200,-200,-77,-83,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200
1526455537870,-82,-200,-200,-78,-69,-73,-200,-200,-200,-200,-71,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-91,-200,-200,-91,-200
1526455538012,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-94
1526455542435,-200,-200,-84,-200,-200,-73,-200,-200,-200,-200,-200,-200,-98,-85,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455542545,-200,-200,-83,-200,-71,-73,-92,-200,-71,-91,-73,-200,-200,-85,-93,-200,-200,-200,-200,-95,-200,-93,-200,-200,-200,-200
1526455542629,-92,-91,-200,-83,-70,-72,-200,-200,-70,-200,-73,-200,-200,-86,-91,-200,-200,-200,-200,-93,-100,-200,-200,-200,-200,-200
1526455542730,-95,-92,-81,-86,-200,-72,-200,-200,-200,-93,-200,-98,-200,-85,-96,-200,-90,-200,-200,-94,-200,-93,-94,-200,-200,-200
1526455542836,-200,-91,-83,-200,-71,-73,-93,-200,-70,-200,-73,-99,-200,-200,-92,-200,-90,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526455542947,-200,-200,-83,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-91,-200,-200,-93,-200,-200,-200,-200,-200,-200
1526455543047,-85,-200,-81,-86,-200,-73,-92,-200,-200,-200,-73,-98,-200,-82,-92,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200
1526455547451,-86,-200,-71,-81,-200,-73,-200,-200,-69,-200,-71,-90,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455547556,-200,-200,-71,-81,-71,-200,-200,-200,-69,-200,-72,-89,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455547661,-90,-87,-200,-83,-71,-71,-200,-200,-67,-200,-72,-91,-71,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455547857,-85,-200,-71,-87,-70,-72,-200,-200,-69,-200,-71,-90,-200,-82,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455547970,-200,-200,-72,-200,-72,-200,-200,-200,-70,-200,-200,-200,-200,-82,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455552444,-200,-200,-68,-200,-200,-200,-200,-200,-66,-91,-71,-200,-200,-82,-200,-200,-200,-97,-95,-95,-200,-90,-200,-200,-200,-200
1526455552547,-80,-200,-200,-200,-69,-200,-200,-200,-66,-200,-70,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526455552651,-200,-200,-68,-200,-200,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455552754,-200,-200,-68,-77,-69,-75,-200,-200,-66,-200,-71,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455552859,-200,-200,-68,-200,-69,-73,-200,-200,-66,-200,-71,-200,-200,-200,-200,-92,-200,-200,-97,-200,-200,-200,-200,-200,-89,-200
1526455552961,-200,-94,-66,-75,-200,-200,-200,-200,-64,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455557436,-200,-200,-83,-85,-72,-200,-200,-200,-70,-94,-74,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526455557526,-93,-200,-82,-85,-72,-200,-200,-200,-70,-200,-74,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526455557632,-94,-200,-82,-86,-71,-74,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455557743,-200,-200,-82,-200,-71,-73,-200,-200,-71,-94,-74,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526455557850,-96,-200,-82,-200,-70,-73,-200,-200,-70,-200,-73,-200,-94,-200,-94,-200,-90,-200,-200,-94,-200,-92,-200,-200,-200,-200
1526455557953,-200,-200,-82,-200,-71,-73,-200,-200,-70,-92,-73,-200,-94,-84,-93,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455558057,-81,-200,-81,-200,-200,-72,-200,-200,-200,-200,-74,-89,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455562453,-82,-200,-71,-200,-72,-71,-200,-94,-68,-200,-200,-88,-72,-81,-89,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455562570,-200,-200,-69,-200,-73,-200,-92,-200,-69,-200,-71,-89,-72,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455562659,-82,-200,-71,-84,-70,-72,-200,-200,-69,-93,-71,-200,-72,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455562801,-200,-200,-71,-200,-200,-73,-200,-200,-68,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455562881,-200,-200,-200,-86,-72,-200,-200,-200,-69,-200,-72,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455562979,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-72,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
