,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro
1526451558410,-43,-40,-43,-53,-53,-61,-62,-57,-66,-66,-67,-62,-65,-70,-69,-67,-76,-77,-74,-75,-74,-75,-200,-80,-82,-200,-80,-80,-86,-73,-200,-71,-82,-80,-79,-85,-85,-82,-200,-87,-86,-200,-84,-91,-83,-86,-200,-80,-200,-200,-200,-90,-200,-200,-90,-89,-200,-200,-200,-200,-200,-200,-74,-200,-200,-90,-91,-200,-200,-200,-85,-86,-91,-88,-200
1526451561440,-43,-40,-43,-59,-54,-59,-62,-59,-66,-69,-67,-60,-65,-66,-69,-70,-74,-78,-72,-76,-74,-75,-200,-76,-82,-200,-80,-80,-84,-73,-200,-84,-81,-77,-80,-85,-200,-82,-200,-87,-86,-84,-200,-90,-84,-86,-200,-80,-200,-200,-200,-91,-200,-200,-93,-200,-89,-200,-200,-200,-200,-200,-74,-200,-200,-91,-91,-200,-200,-200,-85,-87,-91,-88,-200
1526451564472,-43,-41,-44,-53,-54,-61,-61,-57,-66,-63,-66,-63,-64,-68,-72,-68,-74,-78,-75,-76,-74,-75,-200,-76,-82,-81,-78,-80,-84,-74,-200,-84,-81,-79,-80,-200,-200,-82,-200,-87,-82,-84,-200,-90,-82,-86,-200,-83,-200,-200,-200,-91,-200,-92,-93,-200,-89,-200,-200,-200,-91,-200,-74,-200,-89,-91,-91,-200,-200,-200,-85,-87,-91,-88,-200
1526451567512,-43,-39,-43,-54,-60,-61,-67,-57,-67,-66,-71,-63,-65,-70,-67,-67,-76,-78,-72,-74,-72,-75,-75,-76,-200,-76,-80,-75,-83,-77,-200,-72,-82,-79,-80,-68,-200,-79,-200,-88,-81,-89,-85,-86,-85,-85,-200,-84,-81,-91,-200,-90,-200,-92,-92,-91,-89,-200,-200,-90,-91,-200,-77,-200,-89,-90,-88,-200,-200,-200,-88,-87,-200,-200,-200
1526451570521,-43,-40,-45,-54,-56,-67,-64,-57,-66,-67,-67,-63,-68,-71,-67,-67,-76,-78,-72,-75,-73,-75,-76,-77,-200,-81,-79,-78,-83,-77,-200,-83,-88,-78,-81,-68,-200,-79,-200,-88,-81,-89,-85,-89,-83,-85,-200,-83,-81,-91,-200,-90,-89,-92,-90,-88,-91,-81,-200,-86,-91,-200,-69,-200,-89,-90,-88,-200,-200,-200,-88,-87,-200,-200,-200
1526451573556,-42,-42,-45,-60,-53,-59,-66,-58,-63,-64,-66,-65,-68,-66,-71,-67,-75,-200,-72,-74,-76,-75,-76,-74,-200,-81,-79,-76,-83,-76,-200,-82,-85,-79,-81,-68,-84,-81,-200,-87,-81,-89,-85,-89,-83,-83,-200,-83,-81,-91,-88,-90,-89,-200,-90,-91,-91,-81,-88,-86,-91,-200,-69,-200,-200,-90,-88,-200,-200,-200,-88,-200,-200,-200,-200
1526451576579,-41,-47,-44,-58,-54,-61,-59,-57,-66,-65,-62,-67,-66,-71,-68,-68,-60,-77,-74,-76,-76,-200,-80,-72,-200,-81,-79,-77,-83,-76,-200,-78,-85,-79,-80,-85,-84,-81,-200,-87,-81,-89,-85,-87,-83,-83,-200,-83,-81,-91,-88,-89,-89,-200,-90,-91,-91,-76,-88,-86,-91,-200,-69,-200,-200,-200,-88,-200,-200,-90,-88,-88,-200,-200,-200
1526451579619,-42,-44,-45,-58,-57,-60,-52,-59,-62,-67,-70,-67,-68,-71,-67,-63,-76,-72,-76,-76,-71,-76,-76,-75,-200,-81,-77,-77,-88,-78,-83,-81,-87,-79,-80,-85,-83,-82,-200,-87,-82,-87,-89,-87,-83,-85,-200,-82,-200,-91,-88,-89,-89,-200,-90,-91,-91,-76,-90,-86,-91,-200,-77,-200,-200,-200,-87,-200,-200,-90,-200,-87,-200,-200,-200
1526451582648,-40,-44,-43,-53,-52,-59,-61,-58,-61,-62,-68,-63,-67,-68,-70,-62,-73,-72,-74,-76,-71,-76,-78,-77,-200,-200,-77,-77,-88,-73,-83,-80,-82,-77,-81,-84,-83,-80,-200,-87,-81,-87,-89,-88,-200,-85,-200,-85,-200,-91,-88,-89,-200,-200,-200,-91,-200,-76,-90,-200,-200,-91,-74,-200,-200,-200,-87,-200,-200,-90,-200,-87,-200,-200,-87
1526451585681,-44,-42,-44,-53,-53,-56,-65,-58,-65,-61,-62,-67,-66,-67,-66,-62,-73,-79,-76,-75,-68,-76,-78,-75,-200,-200,-75,-78,-88,-75,-83,-79,-83,-78,-81,-84,-83,-80,-200,-87,-80,-87,-88,-88,-88,-84,-200,-80,-200,-91,-200,-89,-200,-200,-90,-200,-200,-73,-90,-200,-200,-91,-68,-200,-200,-200,-88,-200,-85,-90,-200,-88,-200,-200,-87
1526451588719,-43,-41,-44,-50,-54,-57,-63,-59,-63,-70,-67,-70,-65,-70,-68,-62,-75,-73,-76,-74,-71,-76,-78,-76,-200,-200,-75,-81,-88,-80,-83,-79,-83,-72,-79,-84,-85,-81,-87,-88,-80,-87,-88,-88,-88,-82,-200,-80,-80,-90,-200,-200,-200,-200,-90,-90,-200,-82,-90,-200,-200,-90,-68,-200,-200,-200,-88,-200,-85,-200,-87,-88,-200,-90,-87
1526451591728,-41,-41,-46,-57,-52,-58,-62,-56,-63,-61,-70,-67,-68,-70,-66,-69,-75,-78,-74,-75,-71,-200,-78,-73,-86,-200,-75,-81,-87,-78,-200,-78,-83,-77,-80,-84,-85,-81,-87,-88,-80,-200,-88,-90,-88,-81,-200,-86,-80,-90,-90,-200,-200,-200,-90,-90,-200,-84,-200,-200,-200,-90,-68,-200,-200,-200,-88,-200,-85,-200,-84,-87,-200,-90,-87
