,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526450887148,-59,-79,-86,-200,-200,-80,-61,-200,-200,-81,-75,-77,-200,-75,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450888303,-200,-200,-92,-79,-200,-200,-200,-200,-200,-83,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526450889362,-62,-200,-200,-200,-200,-200,-62,-200,-200,-86,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-93,-200,-93,-89,-200,-200,-200,-200,-200,-200
1526450890435,-200,-200,-200,-200,-88,-200,-65,-84,-85,-81,-200,-74,-200,-200,-200,-200,-200,-68,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450890542,-200,-78,-200,-78,-200,-78,-64,-77,-200,-200,-200,-200,-200,-79,-200,-90,-200,-70,-74,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450891641,-62,-79,-200,-200,-200,-84,-200,-200,-200,-200,-200,-72,-74,-200,-95,-200,-84,-200,-200,-200,-94,-200,-95,-200,-94,-92,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526450893870,-200,-74,-79,-200,-200,-200,-58,-200,-200,-200,-200,-70,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450894952,-68,-74,-200,-80,-200,-200,-62,-200,-85,-200,-200,-78,-200,-200,-200,-200,-89,-70,-200,-200,-200,-200,-200,-200,-92,-200,-200,-91,-200,-94,-87,-200,-200,-200,-200
1526450897161,-200,-75,-84,-75,-91,-79,-66,-77,-200,-200,-200,-200,-83,-200,-200,-84,-87,-200,-78,-200,-200,-87,-200,-200,-92,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526450899352,-200,-200,-200,-200,-200,-200,-62,-75,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450900476,-200,-200,-90,-200,-200,-78,-62,-200,-200,-200,-200,-70,-200,-200,-200,-200,-84,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450901572,-68,-81,-80,-200,-200,-76,-200,-82,-200,-88,-200,-76,-200,-200,-200,-200,-89,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-88,-91,-200,-200
1526450901670,-63,-200,-200,-200,-200,-200,-200,-86,-200,-87,-200,-78,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526450902737,-64,-78,-200,-86,-200,-200,-61,-200,-85,-200,-75,-71,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200,-200,-83,-200,-200,-91,-200
1526450904966,-200,-78,-200,-94,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-87,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-94,-87,-200,-200,-93,-200
1526450907146,-66,-200,-200,-200,-200,-72,-62,-90,-200,-200,-72,-200,-200,-200,-200,-200,-200,-72,-74,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200
1526450907247,-61,-200,-200,-77,-91,-200,-200,-200,-200,-200,-70,-200,-85,-80,-95,-200,-200,-72,-200,-200,-200,-84,-200,-86,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200
1526450908312,-200,-78,-83,-200,-200,-200,-200,-200,-200,-200,-69,-200,-84,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-89,-200,-200,-200,-200,-200
1526450909373,-200,-79,-200,-200,-200,-200,-62,-78,-200,-200,-200,-68,-200,-77,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450910444,-64,-77,-80,-82,-200,-200,-62,-200,-200,-87,-72,-72,-87,-200,-88,-200,-87,-74,-200,-200,-200,-200,-200,-200,-92,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450911598,-200,-78,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-86,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200
1526450912779,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-72,-84,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-92,-200
1526450913852,-200,-200,-79,-200,-200,-76,-62,-81,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-88,-200,-200,-200,-200
1526450914946,-200,-75,-200,-76,-200,-200,-61,-80,-200,-200,-200,-200,-80,-83,-200,-200,-200,-200,-200,-200,-200,-82,-90,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526450916059,-67,-200,-86,-200,-88,-77,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-87,-88,-94,-200,-200,-200,-200,-200,-92,-200,-200,-89,-200,-200,-200,-200,-200
1526450917159,-200,-78,-200,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-87,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450918256,-61,-200,-94,-87,-91,-75,-200,-200,-200,-200,-70,-200,-81,-200,-200,-200,-200,-78,-84,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450919348,-200,-75,-82,-88,-200,-200,-59,-200,-90,-81,-200,-200,-70,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-97,-200
1526450920457,-59,-200,-81,-200,-200,-88,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200
1526450921560,-65,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-94,-200,-200,-200,-89,-83,-200,-200,-200,-200
1526450922644,-60,-76,-200,-200,-200,-200,-200,-77,-200,-80,-74,-72,-200,-200,-200,-200,-200,-70,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92
1526450923761,-59,-200,-200,-200,-200,-200,-62,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526450924860,-63,-200,-79,-200,-200,-200,-62,-200,-200,-200,-76,-200,-73,-200,-95,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450925950,-200,-76,-200,-86,-200,-200,-200,-78,-200,-80,-200,-71,-75,-200,-200,-84,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450927047,-200,-200,-92,-90,-90,-77,-62,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-93,-200,-200
1526450928160,-200,-72,-83,-83,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-94,-200,-200,-92,-84,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450929260,-73,-200,-200,-78,-86,-200,-66,-76,-200,-200,-200,-76,-200,-200,-200,-92,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-94,-200,-200,-200,-91,-200
1526450930397,-200,-200,-200,-200,-200,-200,-67,-200,-86,-200,-200,-84,-200,-200,-200,-91,-200,-200,-200,-200,-200,-85,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450931467,-200,-200,-200,-200,-200,-200,-66,-200,-200,-200,-200,-72,-200,-84,-200,-200,-200,-70,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-94,-86,-200,-200,-88,-200
1526450932544,-69,-200,-84,-81,-200,-72,-200,-200,-200,-200,-200,-73,-200,-95,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200
1526450932643,-70,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200,-200,-81,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-89,-81,-94,-200,-200,-200,-200,-200
1526450933760,-70,-75,-200,-79,-200,-72,-64,-200,-200,-200,-200,-75,-200,-200,-200,-200,-91,-70,-200,-200,-95,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526450934857,-75,-73,-81,-200,-200,-84,-64,-73,-200,-88,-78,-200,-77,-200,-89,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-85,-200,-200,-88,-200
1526450937054,-74,-75,-200,-83,-200,-200,-200,-200,-200,-200,-200,-75,-200,-84,-88,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-94,-200,-200,-200,-91,-200,-200,-200,-200,-200
1526450938156,-75,-76,-200,-75,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200
1526450939251,-73,-200,-200,-88,-200,-69,-64,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200
1526450940353,-200,-200,-87,-200,-200,-83,-200,-200,-200,-200,-200,-72,-77,-200,-200,-200,-90,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200
