,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526450447872,-84,-86,-200,-200,-95,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-91,-200,-86,-200,-200,-200,-88,-75,-200,-200,-200,-73,-200,-200,-200,-85,-200,-200,-200,-200
1526450448934,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-88,-200,-93,-200,-200,-200,-92,-200,-200,-200,-200,-200,-74,-91,-200,-200,-88,-92,-200,-200,-200
1526450450045,-90,-83,-200,-200,-200,-84,-200,-86,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-92,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450451148,-84,-200,-200,-87,-200,-77,-77,-200,-200,-200,-78,-78,-92,-200,-200,-74,-200,-200,-90,-200,-200,-200,-67,-200,-200,-73,-200,-87,-200,-200,-200,-200,-200,-84,-88,-200,-200,-200
1526450452279,-80,-83,-200,-200,-98,-74,-200,-200,-81,-71,-74,-200,-94,-200,-200,-200,-200,-200,-200,-91,-84,-200,-67,-86,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200
1526450455548,-200,-81,-200,-200,-88,-200,-200,-200,-84,-73,-200,-78,-200,-200,-88,-75,-200,-88,-86,-200,-86,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-94,-200,-200
1526450455671,-90,-77,-82,-200,-200,-73,-200,-84,-82,-200,-200,-83,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-68,-200,-87,-79,-200,-200,-200,-73,-200,-200,-200,-89,-200,-200,-200,-200
1526450457865,-200,-84,-76,-200,-95,-200,-200,-200,-79,-200,-200,-77,-200,-200,-89,-200,-200,-200,-200,-200,-84,-91,-200,-200,-80,-75,-200,-200,-200,-200,-90,-200,-200,-200,-83,-200,-200,-200
1526450458956,-200,-82,-72,-200,-200,-73,-200,-200,-200,-68,-200,-81,-85,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-81,-200,-200,-200,-200,-200,-200,-83,-90,-87,-84,-200,-200,-200
1526450461203,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526450463345,-200,-200,-200,-200,-97,-72,-200,-200,-83,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-88,-81,-87,-200,-200,-83,-93,-200,-200,-200
1526450464449,-200,-80,-200,-200,-200,-72,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-83,-85,-200,-200,-200,-70,-200,-85,-200,-200,-200,-200,-200,-200
1526450465560,-200,-200,-200,-200,-200,-76,-82,-200,-200,-200,-200,-200,-200,-200,-89,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450465653,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-81,-200,-90,-200,-75,-200,-90,-200,-200,-92,-200,-70,-200,-86,-94,-200,-200,-95,-79,-200,-200,-200,-85,-200,-200,-200,-200
1526450466753,-200,-200,-200,-200,-87,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-74,-200,-200,-200,-89,-200,-200,-200,-200,-85,-87,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200
1526450467867,-200,-75,-77,-200,-93,-200,-200,-200,-84,-72,-200,-81,-200,-200,-200,-75,-200,-200,-200,-200,-200,-90,-200,-94,-200,-84,-200,-200,-93,-200,-200,-200,-200,-85,-200,-200,-200,-200
1526450470032,-82,-200,-76,-200,-84,-73,-200,-200,-200,-70,-72,-77,-200,-200,-90,-200,-200,-200,-200,-200,-92,-92,-69,-200,-200,-86,-200,-200,-200,-200,-88,-86,-200,-200,-200,-200,-200,-200
1526450471149,-200,-200,-200,-200,-200,-79,-200,-86,-200,-74,-72,-78,-200,-85,-88,-76,-200,-89,-200,-200,-89,-200,-68,-200,-200,-79,-200,-200,-87,-68,-90,-200,-200,-87,-85,-200,-200,-200
1526450473415,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526450474461,-200,-200,-200,-88,-200,-200,-200,-200,-200,-70,-81,-200,-200,-200,-91,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200
1526450475561,-87,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-88,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-88,-200,-200,-86,-200,-94,-200
1526450475664,-200,-200,-81,-200,-200,-200,-200,-200,-82,-200,-200,-83,-200,-90,-97,-74,-200,-200,-94,-91,-200,-200,-72,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450476764,-200,-92,-200,-89,-94,-87,-200,-200,-84,-200,-200,-76,-200,-200,-84,-200,-200,-200,-85,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526450477921,-200,-75,-79,-200,-92,-200,-200,-90,-200,-72,-78,-85,-200,-200,-92,-74,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450480072,-200,-86,-200,-200,-90,-200,-84,-85,-88,-200,-200,-76,-86,-200,-86,-74,-200,-200,-200,-200,-200,-200,-71,-200,-200,-76,-200,-200,-200,-200,-200,-87,-89,-90,-200,-200,-200,-200
1526450481192,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-73,-200,-200,-200,-88,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450482259,-200,-200,-75,-200,-200,-74,-200,-200,-82,-72,-75,-200,-200,-90,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-81,-200,-200,-200,-200
1526450483357,-200,-77,-76,-200,-200,-200,-79,-200,-200,-70,-72,-77,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-75,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200
1526450484458,-200,-200,-79,-200,-200,-76,-200,-200,-89,-200,-200,-76,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200
1526450485549,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-78,-200,-94,-200,-92,-200,-200,-94,-200,-200,-86,-94,-200,-88,-87,-76,-200,-200,-200,-72,-200,-200,-92,-200,-89,-200,-200,-200
1526450485643,-83,-200,-75,-200,-200,-200,-200,-200,-200,-200,-85,-200,-86,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-90,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200
1526450486751,-200,-200,-200,-200,-94,-200,-200,-200,-200,-73,-200,-200,-200,-90,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-86,-76,-200,-200,-200,-70,-88,-200,-200,-200,-200,-200,-200,-200
1526450487929,-80,-200,-79,-200,-200,-72,-200,-86,-200,-200,-74,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450488973,-80,-200,-80,-83,-88,-72,-200,-200,-200,-70,-200,-200,-200,-200,-86,-73,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-83,-70,-200,-200,-89,-200,-200,-200,-200,-200
1526450490171,-200,-77,-74,-200,-93,-79,-92,-86,-79,-72,-75,-79,-92,-80,-200,-200,-200,-88,-200,-200,-200,-200,-200,-86,-81,-75,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-91,-200
1526450492255,-85,-77,-200,-200,-200,-71,-200,-200,-200,-69,-78,-82,-200,-200,-86,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450494452,-200,-200,-200,-200,-200,-77,-72,-200,-200,-200,-76,-78,-200,-200,-92,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-65,-200,-92,-200,-75,-200,-88,-200,-200,-200,-200,-200,-200
1526450495569,-200,-73,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-82,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96
1526450496755,-200,-78,-81,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-90,-200,-87,-88,-200,-92,-200,-200,-77,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-87,-200,-200,-200
1526450497850,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-68,-200,-200,-200,-200,-200,-200,-72,-90,-200,-65,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450498971,-200,-84,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-75,-83,-200,-200,-200,-200,-200,-73,-200,-90,-68,-200,-200,-200,-200,-90,-200,-200,-88,-86,-200,-200,-200
1526450500068,-200,-200,-200,-87,-200,-200,-200,-200,-200,-69,-200,-85,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200
