,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526457307555,-29,-33,-50,-51,-46,-52,-42,-51,-57,-87,-82,-63,-57,-61,-67,-63,-52,-62,-50,-62,-74,-67,-200,-81,-200,-72,-200,-200,-72,-200,-74,-80,-200,-200,-200,-200,-74,-81,-200,-200,-200,-200,-86,-200,-200,-200,-200,-65,-87,-200,-200,-200,-77,-57,-200,-200,-76,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-80,-75,-82,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457310590,-27,-33,-51,-52,-48,-53,-52,-52,-57,-87,-82,-64,-60,-61,-68,-61,-65,-62,-47,-72,-74,-67,-200,-81,-200,-74,-200,-200,-73,-200,-73,-79,-200,-200,-200,-200,-76,-80,-200,-69,-200,-200,-86,-200,-200,-200,-200,-82,-77,-200,-200,-200,-77,-56,-70,-200,-76,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-82,-200,-80,-85,-82,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457313656,-29,-31,-58,-53,-47,-54,-49,-52,-57,-200,-200,-63,-58,-58,-66,-67,-69,-67,-52,-63,-74,-81,-67,-84,-200,-72,-200,-200,-79,-87,-78,-79,-90,-200,-200,-200,-73,-54,-200,-69,-200,-200,-85,-200,-200,-200,-200,-82,-77,-90,-84,-200,-200,-56,-70,-87,-76,-200,-200,-87,-200,-200,-92,-69,-200,-200,-80,-200,-82,-88,-200,-85,-82,-90,-90,-89,-91,-200,-200,-200,-200,-200,-200,-200
1526457316711,-28,-34,-53,-50,-46,-75,-43,-52,-61,-200,-200,-59,-65,-54,-66,-67,-65,-71,-51,-67,-70,-66,-81,-84,-200,-72,-200,-75,-72,-87,-74,-81,-90,-200,-73,-78,-73,-78,-200,-87,-200,-200,-84,-200,-200,-200,-200,-64,-78,-90,-87,-200,-200,-57,-200,-87,-200,-200,-200,-87,-200,-200,-92,-200,-200,-200,-76,-200,-200,-88,-200,-200,-200,-89,-200,-89,-91,-200,-200,-200,-200,-200,-200,-200
1526457319770,-27,-33,-51,-50,-47,-54,-41,-52,-62,-87,-86,-67,-59,-60,-66,-62,-52,-61,-53,-64,-70,-66,-66,-84,-200,-76,-200,-75,-71,-87,-73,-81,-90,-200,-73,-78,-73,-65,-200,-69,-200,-200,-86,-200,-85,-200,-200,-67,-78,-90,-87,-200,-76,-54,-200,-87,-200,-200,-200,-87,-88,-200,-92,-200,-200,-200,-76,-200,-200,-88,-200,-200,-200,-89,-200,-89,-91,-200,-200,-200,-200,-200,-200,-200
1526457322814,-27,-32,-50,-51,-46,-54,-52,-52,-58,-87,-82,-58,-62,-61,-70,-63,-65,-62,-54,-64,-200,-66,-66,-72,-72,-76,-78,-200,-71,-200,-73,-78,-83,-200,-200,-200,-72,-82,-200,-69,-200,-200,-87,-200,-52,-200,-200,-67,-200,-200,-200,-200,-76,-57,-70,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-93,-200,-200,-200,-200,-200
1526457325850,-27,-32,-46,-50,-48,-54,-41,-51,-63,-200,-82,-57,-56,-62,-70,-63,-62,-63,-50,-65,-200,-67,-72,-72,-72,-200,-78,-200,-71,-75,-74,-78,-83,-200,-200,-200,-73,-81,-200,-70,-200,-200,-86,-200,-86,-200,-88,-200,-200,-200,-200,-200,-200,-56,-70,-200,-72,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-86,-82,-200,-200,-200,-200,-200
1526457328890,-27,-32,-51,-51,-47,-54,-43,-51,-59,-200,-82,-58,-60,-63,-70,-67,-65,-62,-48,-68,-200,-67,-73,-72,-72,-200,-78,-200,-71,-73,-74,-78,-94,-200,-200,-200,-73,-79,-200,-67,-200,-200,-86,-200,-85,-200,-88,-66,-200,-200,-200,-200,-200,-56,-70,-86,-72,-92,-200,-200,-200,-86,-200,-200,-91,-200,-200,-200,-83,-88,-200,-200,-200,-200,-200,-200,-200,-86,-82,-82,-85,-87,-89,-200
1526457331957,-29,-31,-50,-50,-45,-52,-51,-51,-57,-200,-200,-58,-58,-59,-69,-61,-59,-62,-54,-64,-74,-66,-73,-200,-62,-69,-200,-200,-64,-73,-76,-78,-94,-200,-200,-200,-200,-79,-83,-67,-200,-200,-84,-200,-85,-200,-200,-57,-200,-200,-200,-200,-73,-57,-71,-86,-75,-92,-200,-200,-200,-86,-200,-200,-91,-200,-200,-200,-83,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-82,-85,-87,-89,-87
1526457334971,-27,-33,-49,-50,-48,-51,-50,-51,-57,-84,-200,-55,-63,-62,-69,-63,-63,-63,-50,-64,-74,-66,-73,-200,-62,-69,-200,-200,-64,-73,-72,-78,-94,-200,-200,-77,-72,-79,-83,-67,-200,-200,-85,-200,-85,-200,-200,-63,-200,-200,-200,-200,-73,-60,-70,-76,-76,-82,-200,-200,-200,-87,-200,-72,-91,-200,-79,-200,-81,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-82,-85,-87,-89,-89
1526457338013,-28,-34,-50,-50,-47,-51,-43,-51,-57,-84,-200,-55,-58,-68,-200,-62,-65,-65,-50,-63,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-72,-200,-200,-200,-200,-77,-71,-53,-200,-200,-200,-200,-86,-200,-85,-200,-200,-70,-200,-200,-200,-200,-200,-58,-71,-76,-76,-79,-200,-85,-85,-87,-200,-72,-200,-200,-79,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89
1526457341068,-27,-34,-51,-50,-46,-200,-42,-52,-66,-86,-200,-59,-58,-71,-200,-63,-64,-62,-51,-71,-90,-200,-200,-200,-200,-73,-200,-200,-67,-200,-73,-200,-200,-73,-72,-200,-63,-81,-200,-67,-200,-200,-73,-200,-84,-200,-200,-70,-200,-200,-200,-200,-200,-57,-64,-200,-200,-82,-85,-85,-85,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
