,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526443532908,-80,-92,-200,-90,-200,-67,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526443533020,-79,-200,-200,-200,-71,-200,-77,-95,-200,-200,-200,-93,-200,-200,-200
1526443537569,-200,-100,-95,-99,-78,-73,-78,-97,-92,-200,-200,-200,-200,-200,-200
1526443537657,-89,-200,-91,-200,-78,-200,-200,-95,-93,-200,-200,-200,-200,-200,-200
1526443537761,-87,-200,-200,-200,-79,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443537888,-88,-200,-200,-200,-79,-74,-78,-200,-200,-200,-200,-200,-200,-200,-200
1526443537993,-200,-200,-94,-200,-78,-72,-78,-96,-93,-200,-200,-200,-200,-200,-200
1526443542494,-78,-200,-200,-200,-72,-74,-77,-200,-200,-200,-200,-200,-94,-200,-200
1526443542630,-78,-200,-200,-200,-71,-74,-77,-200,-80,-200,-200,-94,-200,-200,-200
1526443542796,-79,-200,-200,-200,-71,-200,-77,-200,-80,-200,-200,-200,-200,-200,-200
1526443542901,-78,-200,-200,-200,-73,-74,-77,-200,-81,-200,-200,-200,-200,-200,-200
1526443542999,-200,-200,-200,-200,-200,-200,-76,-200,-80,-200,-200,-200,-200,-200,-200
1526443547553,-80,-92,-84,-200,-200,-200,-200,-200,-85,-200,-200,-96,-200,-200,-200
1526443547658,-80,-200,-85,-200,-71,-67,-200,-200,-84,-200,-200,-97,-200,-200,-200
1526443547762,-79,-92,-85,-200,-200,-67,-200,-200,-84,-200,-200,-200,-200,-200,-200
1526443547882,-79,-92,-84,-88,-200,-69,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526443548001,-88,-200,-85,-200,-200,-200,-76,-91,-200,-200,-200,-200,-200,-200,-200
1526443552515,-89,-200,-90,-97,-79,-75,-75,-97,-200,-200,-200,-200,-200,-200,-200
1526443552637,-89,-200,-89,-200,-79,-200,-75,-96,-200,-200,-200,-200,-200,-200,-200
1526443552748,-88,-200,-200,-200,-79,-75,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526443552855,-88,-200,-200,-99,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443552963,-200,-200,-200,-200,-79,-74,-77,-94,-80,-200,-200,-200,-200,-200,-200
1526443557522,-79,-200,-200,-200,-200,-75,-76,-200,-81,-200,-200,-200,-200,-200,-200
1526443557624,-80,-200,-200,-200,-73,-74,-200,-200,-81,-200,-200,-200,-200,-200,-200
1526443557727,-80,-200,-200,-200,-71,-75,-76,-200,-80,-200,-200,-200,-200,-200,-200
1526443557840,-79,-200,-200,-200,-200,-75,-77,-200,-80,-200,-200,-96,-200,-200,-200
1526443557959,-77,-200,-84,-90,-72,-74,-72,-90,-85,-200,-200,-94,-93,-200,-200
1526443562649,-77,-91,-84,-91,-200,-200,-200,-89,-86,-200,-97,-200,-200,-200,-98
1526443562722,-78,-200,-85,-91,-200,-67,-73,-200,-200,-200,-94,-93,-200,-200,-200
1526443562845,-78,-200,-200,-89,-71,-67,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526443562988,-77,-91,-82,-200,-73,-67,-72,-94,-85,-200,-200,-93,-200,-200,-200
1526443567503,-200,-200,-93,-200,-200,-73,-80,-200,-95,-200,-200,-200,-200,-200,-200
1526443567658,-85,-200,-200,-200,-200,-73,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526443567723,-200,-200,-94,-200,-77,-73,-80,-92,-200,-200,-200,-200,-200,-200,-200
1526443567840,-85,-200,-95,-200,-78,-73,-80,-94,-94,-200,-200,-200,-200,-200,-200
1526443567946,-200,-200,-96,-200,-77,-73,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526443568052,-200,-200,-200,-200,-200,-73,-77,-200,-200,-200,-200,-200,-200,-200,-200
1526443572590,-79,-200,-200,-200,-200,-77,-200,-200,-80,-200,-200,-200,-200,-200,-200
