,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,DLINK_D02A48,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526460861932,-27,-22,-36,-38,-35,-39,-200,-49,-37,-49,-46,-51,-49,-62,-60,-47,-61,-48,-67,-59,-57,-62,-65,-69,-62,-63,-58,-72,-68,-67,-76,-68,-71,-80,-81,-200,-79,-72,-71,-71,-84,-84,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-83,-200,-84,-89,-63,-86,-82,-84,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526460865000,-29,-24,-36,-40,-38,-39,-200,-49,-40,-51,-46,-52,-49,-63,-58,-47,-61,-51,-68,-59,-56,-61,-65,-67,-61,-62,-56,-70,-70,-69,-76,-70,-71,-80,-81,-200,-79,-72,-72,-77,-200,-84,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-83,-200,-84,-200,-63,-86,-82,-84,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526460868050,-28,-27,-38,-36,-37,-41,-55,-45,-40,-51,-45,-51,-51,-61,-58,-47,-70,-51,-62,-59,-54,-64,-65,-67,-64,-60,-60,-72,-70,-69,-69,-66,-71,-82,-81,-200,-78,-72,-74,-73,-200,-84,-200,-200,-200,-73,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-83,-200,-84,-200,-200,-200,-82,-84,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526460871096,-29,-23,-35,-53,-37,-49,-54,-45,-36,-50,-41,-53,-52,-62,-58,-47,-65,-48,-62,-57,-55,-64,-64,-71,-62,-60,-58,-72,-70,-69,-74,-66,-71,-82,-79,-200,-78,-72,-74,-73,-200,-84,-200,-200,-200,-69,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-83,-83,-200,-200,-200,-200,-82,-84,-95,-77,-200,-200,-200,-200,-200,-200,-200
1526460874160,-33,-26,-36,-45,-37,-38,-54,-48,-38,-53,-41,-52,-52,-62,-55,-47,-63,-45,-65,-56,-54,-61,-64,-67,-59,-68,-69,-72,-70,-69,-74,-68,-74,-82,-79,-200,-78,-67,-74,-73,-200,-84,-200,-200,-200,-69,-86,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-83,-74,-200,-200,-200,-82,-84,-95,-77,-200,-200,-200,-200,-200,-200,-200
1526460877225,-35,-22,-36,-45,-33,-37,-68,-50,-35,-50,-45,-51,-48,-61,-55,-47,-62,-47,-65,-58,-58,-61,-66,-71,-59,-64,-60,-69,-70,-68,-74,-68,-74,-83,-81,-200,-75,-72,-75,-73,-200,-200,-80,-84,-84,-69,-86,-200,-200,-82,-87,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-83,-74,-200,-65,-200,-200,-200,-200,-77,-75,-82,-92,-200,-200,-200,-200
1526460880287,-31,-22,-36,-45,-33,-39,-68,-47,-39,-50,-47,-51,-48,-60,-55,-46,-64,-50,-65,-58,-58,-62,-66,-76,-63,-61,-57,-70,-70,-67,-74,-69,-74,-83,-83,-200,-75,-73,-74,-74,-200,-200,-80,-84,-84,-69,-86,-200,-200,-85,-87,-86,-200,-200,-200,-200,-200,-200,-200,-75,-200,-83,-80,-200,-65,-200,-200,-200,-200,-77,-75,-82,-92,-94,-200,-200,-200
1526460883347,-28,-26,-36,-43,-36,-50,-68,-52,-39,-50,-46,-53,-48,-62,-55,-46,-69,-48,-71,-59,-64,-62,-61,-69,-65,-63,-59,-72,-65,-69,-74,-62,-74,-83,-82,-200,-74,-71,-72,-74,-200,-200,-80,-84,-85,-80,-84,-200,-200,-85,-86,-86,-200,-200,-200,-200,-200,-200,-200,-75,-200,-83,-80,-200,-65,-200,-200,-200,-200,-77,-75,-82,-92,-94,-82,-86,-200
1526460886407,-29,-27,-36,-41,-39,-51,-68,-48,-35,-50,-44,-54,-48,-57,-56,-46,-61,-49,-67,-59,-60,-64,-62,-69,-61,-65,-58,-68,-65,-69,-74,-66,-74,-78,-81,-200,-78,-71,-72,-74,-200,-200,-80,-84,-81,-75,-84,-200,-200,-85,-84,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-65,-200,-200,-200,-200,-200,-75,-82,-92,-94,-82,-86,-200
1526460889482,-27,-23,-36,-37,-39,-48,-54,-48,-34,-50,-48,-52,-48,-57,-56,-48,-61,-50,-65,-59,-60,-64,-65,-69,-61,-67,-58,-72,-70,-70,-74,-67,-200,-78,-81,-200,-78,-80,-75,-74,-200,-200,-80,-86,-81,-77,-84,-200,-200,-80,-84,-86,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-81,-200,-65,-200,-200,-200,-200,-200,-75,-82,-92,-94,-82,-86,-85
1526460892525,-35,-25,-35,-41,-39,-42,-54,-43,-38,-54,-44,-55,-200,-60,-56,-46,-64,-50,-69,-56,-55,-59,-63,-69,-64,-65,-57,-74,-75,-70,-76,-67,-200,-78,-84,-200,-78,-80,-74,-77,-200,-200,-200,-86,-81,-77,-84,-200,-200,-80,-84,-86,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-94,-82,-86,-85
1526460895577,-27,-29,-35,-45,-36,-43,-54,-43,-34,-52,-42,-57,-200,-59,-56,-46,-60,-50,-64,-59,-54,-59,-64,-74,-63,-61,-57,-75,-67,-66,-80,-66,-200,-78,-85,-200,-76,-72,-74,-73,-200,-200,-200,-86,-81,-77,-84,-200,-200,-80,-84,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-89,-81,-86,-85
