,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,0120.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011a.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0
1526452250512,-87,-86,-62,-200,-200,-200,-78,-200,-200,-200,-200,-82,-200,-88,-75,-98,-200,-85,-200,-90,-87,-200,-200,-200
1526452251634,-80,-90,-59,-81,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200
1526452251751,-200,-200,-67,-85,-200,-82,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526452252817,-200,-200,-66,-200,-200,-200,-79,-200,-200,-200,-200,-84,-200,-87,-74,-88,-200,-86,-200,-88,-200,-200,-92,-200
1526452253926,-83,-92,-200,-89,-72,-200,-82,-200,-200,-97,-200,-80,-92,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200
1526452255014,-200,-200,-200,-90,-200,-200,-87,-92,-96,-200,-200,-79,-200,-200,-83,-200,-200,-88,-87,-200,-80,-200,-200,-200
1526452256120,-200,-91,-200,-200,-74,-200,-200,-200,-92,-200,-200,-200,-200,-200,-67,-200,-200,-200,-87,-87,-200,-200,-200,-200
1526452257200,-200,-89,-61,-200,-200,-81,-200,-92,-200,-90,-200,-200,-200,-200,-67,-200,-200,-90,-200,-200,-78,-200,-86,-200
1526452258368,-90,-87,-200,-88,-75,-200,-200,-200,-200,-200,-200,-82,-91,-200,-70,-200,-200,-86,-200,-87,-82,-200,-94,-200
1526452259428,-200,-89,-60,-82,-200,-200,-200,-200,-94,-92,-90,-200,-200,-200,-66,-200,-200,-200,-200,-87,-200,-200,-200,-200
1526452261632,-200,-81,-200,-93,-200,-200,-200,-200,-94,-200,-200,-200,-200,-87,-63,-96,-95,-200,-200,-200,-200,-200,-200,-200
1526452261748,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200
1526452262828,-87,-200,-60,-200,-78,-200,-200,-200,-90,-200,-200,-89,-200,-200,-61,-200,-200,-200,-200,-200,-79,-200,-200,-200
1526452263915,-90,-200,-62,-200,-200,-200,-86,-200,-89,-200,-90,-89,-92,-87,-63,-200,-200,-200,-200,-90,-88,-200,-95,-200
1526452265070,-200,-200,-67,-90,-77,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-90,-200,-200
1526452266217,-200,-200,-74,-200,-200,-200,-86,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200
1526452267223,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-200,-200,-200,-200,-86,-81,-200,-200,-200
1526452267324,-200,-200,-200,-200,-200,-80,-91,-200,-200,-95,-200,-200,-200,-200,-200,-91,-200,-200,-200,-93,-81,-200,-90,-200
1526452268378,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-88,-63,-200,-200,-200,-79,-200,-80,-200,-200,-200
1526452269451,-200,-200,-200,-89,-85,-79,-200,-200,-200,-97,-200,-92,-94,-85,-63,-200,-200,-200,-200,-92,-200,-92,-91,-90
1526452270597,-200,-200,-66,-200,-200,-200,-200,-93,-200,-200,-200,-200,-95,-200,-64,-200,-200,-200,-81,-200,-78,-94,-200,-200
1526452271655,-200,-200,-74,-200,-200,-200,-200,-95,-96,-200,-200,-200,-89,-200,-61,-96,-200,-200,-84,-200,-82,-91,-90,-200
1526452271752,-200,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452272819,-200,-96,-200,-86,-200,-80,-200,-200,-200,-98,-200,-200,-200,-200,-63,-200,-200,-200,-92,-200,-83,-95,-88,-92
1526452273935,-200,-87,-60,-87,-83,-79,-200,-200,-94,-200,-200,-200,-92,-200,-70,-200,-200,-200,-83,-200,-200,-200,-92,-200
1526452275110,-200,-200,-200,-200,-80,-200,-200,-200,-91,-200,-200,-200,-93,-200,-200,-92,-200,-200,-92,-200,-200,-200,-200,-200
1526452276176,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-85,-67,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526452277255,-200,-90,-76,-200,-200,-83,-92,-94,-200,-200,-91,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200
1526452278327,-200,-87,-59,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-95,-200,-200,-85,-87,-81,-200,-200,-200
1526452279410,-200,-200,-66,-85,-81,-200,-200,-200,-92,-200,-200,-200,-200,-200,-67,-92,-200,-88,-200,-200,-82,-200,-93,-200
1526452280626,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-70,-93,-200,-200,-200,-200,-81,-92,-200,-200
1526452281625,-200,-93,-67,-86,-84,-200,-200,-93,-94,-200,-200,-92,-91,-200,-68,-200,-200,-200,-84,-200,-200,-91,-200,-200
1526452281723,-88,-200,-200,-200,-200,-86,-89,-100,-200,-200,-90,-200,-90,-200,-200,-100,-200,-200,-83,-88,-78,-200,-200,-200
1526452282814,-93,-92,-200,-83,-78,-200,-81,-200,-90,-200,-200,-90,-92,-200,-73,-200,-95,-200,-200,-86,-81,-90,-200,-200
1526452285023,-200,-200,-66,-200,-200,-200,-81,-97,-89,-200,-200,-84,-200,-200,-66,-92,-200,-88,-82,-200,-200,-200,-200,-200
1526452286129,-200,-84,-61,-200,-200,-200,-200,-200,-200,-95,-200,-94,-200,-200,-72,-200,-91,-200,-200,-86,-200,-200,-92,-200
1526452287234,-200,-200,-73,-200,-79,-86,-200,-200,-200,-200,-200,-200,-200,-85,-200,-88,-200,-200,-200,-200,-88,-200,-200,-200
1526452288332,-200,-86,-78,-200,-200,-200,-80,-200,-200,-200,-200,-93,-200,-200,-65,-99,-200,-200,-83,-87,-200,-200,-200,-200
1526452288434,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-65,-200,-200,-90,-200,-87,-200,-200,-200,-200
1526452289482,-200,-200,-200,-200,-78,-85,-82,-200,-90,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-87,-86,-200,-200,-200
1526452290539,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200
