,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,DLINK_D013A8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DQKJ,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011314,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526447725189,-38,-37,-47,-41,-49,-44,-43,-53,-39,-43,-61,-45,-43,-47,-56,-47,-48,-52,-57,-55,-55,-200,-200,-200,-58,-58,-200,-58,-58,-58,-63,-63,-200,-63,-200,-60,-200,-67,-200,-69,-72,-74,-72,-69,-76,-82,-200,-82,-84,-85,-87,-81,-86,-89,-89,-200,-200,-200,-59,-67,-65,-200,-200,-200,-200,-200,-200,-200
1526447728208,-40,-37,-41,-46,-48,-40,-42,-53,-42,-46,-62,-45,-45,-46,-56,-49,-48,-48,-58,-56,-53,-200,-200,-200,-54,-58,-200,-58,-54,-57,-60,-63,-200,-60,-200,-62,-200,-61,-200,-69,-69,-74,-68,-70,-76,-78,-200,-80,-80,-85,-86,-81,-82,-89,-89,-200,-70,-200,-59,-67,-65,-200,-200,-200,-200,-200,-200,-200
1526447731235,-40,-39,-38,-44,-48,-40,-46,-57,-42,-42,-62,-42,-42,-46,-54,-52,-48,-51,-56,-55,-56,-200,-69,-200,-58,-57,-200,-58,-54,-63,-63,-63,-200,-60,-200,-63,-200,-61,-200,-69,-70,-74,-69,-70,-79,-80,-200,-82,-84,-85,-88,-200,-86,-89,-89,-200,-69,-200,-59,-68,-65,-80,-200,-200,-200,-200,-200,-200
1526447734264,-38,-38,-38,-43,-51,-40,-48,-55,-44,-39,-62,-42,-42,-50,-54,-53,-47,-53,-56,-55,-56,-56,-69,-66,-58,-57,-200,-54,-56,-63,-63,-63,-67,-60,-200,-66,-200,-63,-200,-67,-70,-74,-71,-70,-80,-80,-200,-84,-86,-83,-87,-200,-86,-89,-89,-200,-69,-200,-59,-68,-66,-80,-200,-200,-200,-200,-200,-200
1526447737294,-43,-37,-38,-43,-44,-40,-46,-55,-48,-42,-62,-44,-45,-52,-58,-50,-47,-53,-55,-52,-56,-56,-65,-66,-60,-57,-200,-56,-57,-63,-63,-63,-67,-59,-64,-66,-200,-60,-200,-67,-71,-74,-70,-70,-76,-77,-200,-80,-81,-86,-85,-200,-84,-200,-88,-200,-69,-200,-59,-68,-66,-80,-200,-200,-200,-200,-200,-200
1526447740328,-41,-38,-38,-43,-44,-39,-43,-53,-52,-46,-58,-47,-49,-52,-58,-48,-49,-54,-57,-56,-56,-56,-68,-66,-58,-57,-200,-55,-57,-57,-63,-63,-67,-58,-64,-68,-200,-60,-73,-67,-71,-74,-70,-71,-75,-80,-200,-80,-79,-86,-87,-200,-82,-200,-90,-200,-69,-200,-59,-68,-66,-80,-62,-200,-200,-200,-200,-200
1526447743359,-41,-37,-38,-43,-44,-39,-44,-54,-44,-45,-55,-43,-59,-51,-58,-48,-49,-54,-57,-53,-56,-66,-68,-66,-58,-57,-200,-54,-57,-57,-63,-63,-67,-59,-64,-65,-200,-64,-73,-67,-72,-200,-71,-71,-80,-78,-200,-82,-82,-83,-87,-200,-85,-200,-90,-200,-69,-200,-59,-68,-66,-80,-62,-200,-200,-200,-200,-200
1526447746388,-49,-37,-38,-43,-44,-39,-40,-54,-42,-41,-59,-43,-49,-51,-58,-49,-51,-54,-57,-53,-56,-66,-68,-66,-58,-55,-200,-55,-57,-57,-63,-64,-67,-58,-64,-67,-200,-63,-77,-67,-71,-200,-71,-68,-76,-83,-200,-84,-81,-83,-87,-200,-87,-200,-88,-200,-69,-200,-59,-68,-66,-80,-62,-86,-200,-200,-200,-200
1526447749417,-41,-37,-38,-43,-47,-39,-43,-54,-54,-41,-56,-43,-46,-52,-58,-49,-49,-52,-56,-53,-56,-66,-68,-66,-59,-54,-200,-53,-57,-57,-63,-64,-67,-58,-64,-67,-200,-60,-77,-67,-71,-72,-69,-69,-74,-81,-200,-83,-80,-83,-87,-200,-83,-200,-89,-200,-69,-200,-200,-68,-66,-80,-62,-86,-66,-80,-200,-200
1526447752451,-38,-38,-38,-43,-48,-39,-47,-50,-47,-41,-56,-49,-46,-52,-58,-53,-47,-53,-59,-54,-56,-66,-63,-61,-57,-54,-200,-53,-56,-57,-63,-64,-67,-58,-64,-71,-200,-60,-77,-68,-73,-72,-69,-70,-74,-81,-200,-81,-79,-85,-89,-200,-83,-200,-89,-200,-200,-200,-200,-67,-69,-80,-62,-86,-66,-80,-200,-200
1526447755478,-40,-36,-36,-43,-50,-38,-47,-50,-46,-41,-57,-47,-46,-52,-59,-50,-47,-54,-59,-58,-58,-66,-63,-61,-57,-57,-200,-54,-56,-57,-62,-64,-64,-58,-64,-64,-200,-64,-77,-68,-74,-72,-69,-70,-78,-80,-200,-83,-84,-84,-89,-200,-83,-200,-89,-200,-200,-200,-200,-67,-69,-80,-62,-86,-66,-80,-68,-69
1526447758505,-40,-36,-36,-43,-50,-38,-44,-50,-46,-41,-60,-47,-46,-47,-59,-49,-47,-54,-59,-58,-58,-66,-63,-61,-61,-57,-200,-54,-56,-57,-62,-64,-64,-56,-200,-67,-200,-62,-77,-68,-73,-72,-72,-70,-77,-82,-200,-83,-83,-82,-88,-200,-83,-200,-89,-200,-200,-200,-200,-67,-65,-80,-62,-86,-66,-80,-68,-69
