,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011309,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,TP-LINK_1398
1526448890023,-33,-31,-36,-29,-41,-47,-48,-44,-43,-37,-39,-47,-48,-52,-40,-47,-42,-46,-41,-56,-46,-55,-61,-61,-56,-52,-56,-200,-69,-53,-200,-63,-63,-62,-59,-64,-67,-54,-54,-58,-63,-66,-70,-61,-67,-200,-65,-200,-69,-73,-200,-77,-82,-82,-87,-87,-81,-86,-87,-200,-200,-200,-88,-69,-60,-89,-67,-200,-200,-200,-200,-200,-200,-200
1526448893038,-33,-31,-36,-30,-44,-48,-48,-44,-42,-40,-39,-47,-46,-48,-40,-47,-44,-46,-41,-57,-48,-54,-67,-61,-56,-48,-58,-200,-69,-53,-200,-63,-60,-62,-59,-63,-67,-54,-54,-58,-62,-66,-70,-61,-69,-200,-65,-200,-67,-71,-200,-78,-80,-82,-87,-86,-81,-86,-89,-200,-200,-200,-88,-69,-60,-89,-67,-71,-200,-200,-200,-200,-200,-200
1526448896067,-44,-31,-36,-30,-44,-48,-48,-44,-43,-42,-39,-47,-46,-48,-40,-47,-44,-46,-41,-57,-48,-54,-67,-61,-52,-48,-58,-200,-69,-53,-200,-63,-61,-60,-59,-63,-65,-54,-54,-58,-62,-200,-71,-61,-70,-200,-67,-200,-67,-72,-72,-78,-82,-82,-87,-86,-81,-86,-89,-200,-200,-200,-88,-69,-60,-89,-67,-71,-200,-200,-200,-200,-200,-200
1526448899096,-36,-28,-36,-30,-40,-48,-44,-48,-43,-42,-37,-46,-46,-48,-39,-47,-47,-46,-41,-56,-48,-54,-67,-60,-52,-48,-58,-200,-69,-53,-200,-63,-62,-60,-59,-63,-65,-54,-54,-58,-63,-200,-70,-60,-71,-200,-65,-200,-67,-73,-72,-78,-80,-82,-87,-88,-81,-86,-86,-200,-200,-200,-88,-200,-60,-89,-67,-71,-77,-200,-200,-200,-200,-200
1526448902123,-36,-32,-36,-30,-39,-47,-42,-46,-43,-46,-37,-45,-51,-52,-40,-43,-45,-50,-41,-53,-52,-54,-67,-60,-55,-48,-58,-200,-69,-56,-200,-63,-60,-62,-59,-67,-65,-54,-54,-58,-61,-200,-70,-60,-71,-200,-69,-200,-67,-71,-72,-82,-80,-81,-87,-88,-81,-86,-86,-200,-200,-200,-86,-200,-60,-89,-67,-71,-77,-64,-72,-200,-200,-200
1526448905153,-35,-32,-36,-30,-42,-47,-42,-50,-47,-46,-37,-45,-47,-52,-38,-43,-47,-50,-41,-50,-47,-53,-67,-60,-55,-50,-58,-200,-200,-56,-63,-63,-60,-62,-59,-66,-65,-58,-54,-58,-61,-200,-67,-59,-71,-200,-69,-200,-67,-71,-72,-82,-81,-81,-87,-88,-81,-86,-86,-200,-200,-200,-86,-200,-60,-89,-67,-71,-77,-64,-72,-200,-200,-200
1526448908190,-35,-52,-36,-30,-42,-47,-42,-50,-43,-46,-38,-45,-47,-52,-38,-43,-47,-52,-41,-50,-46,-53,-62,-58,-55,-50,-58,-200,-200,-56,-63,-63,-60,-62,-59,-66,-65,-58,-54,-64,-63,-200,-67,-59,-74,-200,-69,-69,-67,-72,-75,-82,-80,-81,-87,-87,-81,-87,-86,-200,-200,-200,-85,-200,-60,-200,-67,-71,-77,-64,-72,-83,-200,-200
1526448911219,-35,-32,-36,-30,-42,-47,-48,-50,-43,-45,-37,-42,-50,-50,-39,-42,-46,-52,-42,-56,-46,-53,-62,-58,-55,-52,-58,-200,-200,-56,-63,-62,-60,-62,-200,-66,-65,-58,-54,-64,-63,-200,-64,-63,-74,-200,-77,-69,-73,-71,-75,-83,-77,-79,-200,-87,-81,-87,-90,-200,-200,-200,-85,-200,-60,-200,-200,-71,-77,-64,-72,-83,-200,-200
1526448914231,-35,-32,-36,-30,-39,-47,-50,-48,-45,-43,-36,-40,-50,-51,-41,-42,-45,-55,-43,-56,-47,-53,-65,-58,-55,-54,-58,-200,-72,-56,-63,-62,-60,-62,-200,-66,-65,-58,-56,-60,-64,-200,-68,-60,-70,-200,-74,-69,-73,-71,-71,-83,-80,-81,-200,-87,-82,-87,-90,-200,-200,-200,-85,-200,-200,-200,-200,-200,-77,-64,-72,-83,-73,-200
1526448917260,-35,-28,-36,-30,-37,-46,-50,-48,-45,-43,-36,-45,-54,-51,-41,-42,-55,-55,-41,-55,-44,-53,-65,-58,-55,-50,-200,-200,-72,-56,-63,-62,-58,-60,-200,-66,-65,-58,-56,-60,-65,-200,-66,-61,-69,-200,-75,-69,-73,-71,-71,-83,-81,-81,-200,-87,-82,-86,-91,-200,-200,-200,-85,-200,-200,-200,-200,-200,-77,-64,-72,-83,-73,-200
1526448920290,-35,-32,-36,-30,-41,-46,-43,-50,-45,-43,-38,-44,-54,-51,-40,-42,-46,-55,-41,-55,-46,-53,-65,-58,-55,-50,-58,-200,-71,-56,-63,-62,-60,-60,-65,-66,-65,-58,-56,-57,-65,-200,-65,-62,-70,-200,-75,-71,-73,-70,-69,-83,-78,-81,-200,-87,-80,-86,-91,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-65,-72,-83,-73,-77
1526448923310,-35,-32,-37,-30,-42,-46,-51,-46,-44,-39,-37,-47,-50,-51,-40,-42,-45,-51,-40,-55,-46,-53,-67,-58,-55,-49,-58,-200,-71,-55,-60,-62,-58,-59,-65,-66,-65,-59,-56,-57,-63,-200,-67,-60,-68,-200,-71,-71,-73,-70,-69,-82,-82,-81,-200,-87,-80,-87,-91,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-65,-200,-83,-73,-77
