,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526447787731,-46,-46,-49,-40,-55,-56,-57,-47,-64,-77,-62,-58,-66,-72,-63,-51,-59,-72,-63,-68,-77,-84,-62,-94,-86,-88,-77,-80,-200,-91,-84,-81,-200,-89,-90,-83,-85,-91,-88,-90,-200,-91,-97,-91,-200,-200,-89,-86,-96,-94,-200,-91,-94,-92,-200,-96,-94,-92,-93,-90,-200,-80,-87,-85,-90,-200,-200,-97,-92,-93,-200,-97,-200,-94,-200,-200,-97,-98,-200,-200,-200
1526447790780,-38,-45,-50,-46,-54,-54,-58,-51,-63,-77,-62,-58,-67,-75,-70,-55,-58,-71,-67,-67,-77,-84,-56,-91,-86,-83,-81,-80,-200,-91,-88,-80,-200,-89,-90,-83,-84,-91,-91,-89,-200,-93,-97,-92,-86,-200,-84,-88,-96,-94,-200,-90,-94,-92,-200,-96,-95,-91,-93,-93,-96,-83,-83,-85,-90,-200,-200,-200,-92,-92,-200,-97,-200,-94,-200,-200,-97,-98,-200,-200,-200
1526447793830,-41,-47,-50,-43,-57,-53,-60,-50,-62,-81,-64,-57,-65,-73,-70,-52,-61,-73,-68,-64,-200,-81,-61,-91,-79,-87,-80,-80,-200,-91,-85,-80,-200,-88,-87,-83,-84,-91,-91,-89,-200,-93,-200,-92,-86,-200,-84,-87,-200,-96,-200,-91,-94,-93,-200,-96,-96,-91,-93,-90,-96,-83,-83,-71,-90,-200,-200,-96,-92,-94,-200,-97,-200,-95,-200,-200,-97,-98,-200,-200,-200
1526447796881,-44,-51,-51,-44,-56,-56,-61,-49,-62,-77,-65,-58,-70,-73,-61,-54,-61,-74,-63,-65,-200,-81,-60,-86,-81,-85,-80,-82,-88,-92,-87,-81,-200,-88,-87,-83,-84,-90,-89,-90,-95,-93,-200,-92,-96,-200,-82,-88,-95,-96,-200,-91,-200,-93,-200,-200,-96,-91,-93,-92,-96,-81,-83,-84,-91,-200,-200,-96,-92,-94,-200,-200,-200,-95,-200,-200,-200,-200,-96,-200,-200
1526447799929,-46,-49,-49,-46,-56,-54,-61,-48,-63,-76,-66,-58,-71,-73,-62,-54,-61,-74,-70,-64,-200,-83,-61,-88,-82,-85,-82,-83,-92,-92,-87,-81,-200,-88,-87,-82,-83,-90,-88,-90,-93,-200,-200,-92,-96,-200,-86,-88,-95,-92,-200,-91,-91,-93,-200,-200,-96,-200,-93,-93,-200,-70,-83,-84,-91,-200,-92,-95,-89,-94,-200,-200,-200,-98,-200,-200,-200,-200,-96,-200,-200
1526447802977,-42,-48,-51,-43,-57,-56,-59,-50,-64,-77,-63,-59,-71,-74,-62,-56,-60,-74,-61,-64,-200,-83,-61,-88,-83,-81,-82,-81,-92,-92,-87,-81,-200,-89,-200,-80,-84,-90,-87,-90,-93,-200,-200,-92,-96,-200,-85,-88,-95,-95,-200,-93,-91,-93,-200,-200,-97,-200,-200,-93,-200,-70,-87,-85,-91,-200,-92,-95,-90,-95,-200,-200,-200,-98,-200,-200,-200,-200,-96,-97,-200
1526447806030,-46,-50,-51,-44,-57,-57,-60,-48,-63,-76,-64,-58,-70,-75,-70,-58,-64,-74,-70,-64,-200,-83,-62,-89,-83,-84,-82,-82,-92,-200,-200,-81,-200,-90,-91,-80,-83,-92,-92,-92,-92,-92,-95,-97,-96,-200,-88,-89,-200,-96,-200,-92,-91,-93,-200,-200,-97,-94,-200,-91,-200,-84,-82,-82,-200,-200,-92,-99,-93,-95,-200,-200,-200,-98,-200,-200,-200,-200,-200,-97,-200
1526447809077,-39,-50,-51,-46,-55,-56,-61,-47,-62,-76,-65,-59,-70,-75,-68,-56,-62,-74,-69,-65,-200,-83,-59,-86,-81,-83,-81,-84,-200,-200,-200,-81,-200,-88,-91,-81,-83,-92,-92,-90,-95,-91,-96,-97,-200,-200,-84,-87,-98,-96,-200,-91,-95,-93,-200,-200,-97,-91,-93,-91,-200,-84,-83,-84,-200,-200,-92,-97,-90,-95,-200,-200,-84,-200,-200,-95,-200,-200,-200,-97,-200
1526447812123,-39,-47,-49,-44,-58,-56,-59,-48,-64,-76,-63,-58,-70,-74,-61,-52,-62,-72,-68,-67,-200,-86,-63,-86,-82,-83,-82,-81,-200,-93,-200,-82,-87,-88,-91,-84,-84,-92,-92,-88,-92,-91,-95,-97,-200,-200,-84,-87,-95,-96,-200,-91,-91,-93,-200,-200,-200,-93,-93,-94,-200,-83,-83,-85,-200,-200,-92,-97,-92,-95,-200,-200,-84,-200,-200,-95,-97,-200,-200,-200,-200
1526447815169,-38,-49,-50,-47,-54,-52,-59,-48,-63,-76,-63,-58,-69,-74,-62,-51,-58,-72,-68,-68,-200,-86,-62,-93,-83,-85,-78,-82,-200,-93,-86,-82,-87,-90,-88,-84,-84,-200,-89,-88,-95,-91,-95,-93,-200,-200,-87,-86,-95,-92,-200,-89,-91,-93,-76,-200,-200,-93,-95,-93,-200,-81,-82,-85,-89,-200,-95,-97,-90,-95,-200,-94,-84,-97,-200,-95,-97,-200,-200,-200,-200
1526447818210,-41,-40,-51,-45,-57,-59,-61,-47,-61,-72,-62,-57,-67,-74,-61,-56,-68,-73,-68,-64,-67,-84,-62,-88,-81,-85,-78,-84,-200,-90,-79,-79,-87,-90,-88,-82,-85,-200,-89,-89,-95,-92,-95,-97,-200,-200,-86,-86,-95,-92,-200,-94,-91,-93,-76,-200,-200,-91,-94,-93,-200,-81,-83,-85,-89,-200,-95,-200,-89,-93,-200,-94,-200,-97,-200,-200,-97,-200,-200,-200,-96
1526447821255,-42,-48,-51,-48,-65,-56,-59,-49,-61,-76,-64,-56,-74,-73,-62,-52,-61,-72,-69,-64,-67,-83,-62,-85,-80,-86,-81,-84,-200,-95,-83,-82,-200,-90,-92,-82,-86,-90,-89,-88,-95,-92,-200,-95,-200,-200,-86,-86,-200,-92,-200,-89,-200,-91,-76,-200,-200,-90,-94,-93,-200,-81,-80,-82,-89,-200,-95,-200,-89,-93,-200,-94,-200,-96,-200,-200,-200,-200,-200,-200,-96
