,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526448908544,-32,-47,-53,-62,-49,-54,-51,-55,-62,-72,-52,-60,-58,-58,-67,-59,-65,-70,-65,-65,-65,-75,-86,-70,-73,-69,-74,-81,-76,-74,-76,-86,-81,-77,-79,-83,-73,-75,-84,-82,-200,-74,-86,-83,-78,-85,-83,-200,-90,-90,-90,-90,-74,-84,-76,-200,-87,-200,-89,-200,-88,-200,-82,-88,-91,-89,-200,-200,-89,-200,-90,-200,-200,-200,-200,-200,-88,-90,-90,-91,-71,-200,-200,-200,-200,-200,-200,-200
1526448911569,-34,-46,-48,-55,-50,-53,-49,-55,-61,-74,-54,-61,-57,-61,-66,-58,-68,-56,-57,-66,-65,-71,-86,-71,-69,-70,-74,-81,-70,-74,-79,-86,-81,-75,-79,-83,-72,-75,-89,-83,-87,-74,-83,-83,-76,-86,-84,-200,-90,-90,-91,-90,-80,-84,-77,-200,-89,-200,-88,-200,-85,-200,-81,-86,-91,-89,-200,-200,-92,-92,-90,-200,-200,-200,-88,-200,-90,-90,-200,-200,-71,-88,-200,-200,-200,-200,-200,-200
1526448914602,-36,-45,-54,-61,-52,-55,-49,-54,-61,-73,-53,-61,-57,-62,-66,-59,-67,-70,-57,-64,-64,-69,-86,-71,-45,-69,-81,-80,-72,-75,-77,-86,-81,-77,-80,-84,-76,-75,-90,-82,-87,-74,-86,-83,-76,-83,-84,-200,-90,-90,-91,-89,-72,-85,-75,-200,-89,-200,-89,-200,-88,-200,-82,-86,-91,-88,-200,-200,-88,-88,-90,-200,-200,-83,-89,-200,-90,-90,-200,-200,-200,-88,-90,-200,-200,-200,-200,-200
1526448917635,-34,-46,-48,-61,-53,-55,-50,-58,-63,-75,-53,-62,-52,-62,-66,-63,-68,-69,-60,-68,-62,-68,-86,-74,-67,-69,-77,-81,-67,-75,-80,-87,-83,-76,-83,-84,-77,-80,-89,-87,-87,-74,-87,-79,-76,-85,-84,-200,-92,-90,-89,-90,-76,-89,-76,-200,-89,-200,-86,-91,-87,-200,-80,-87,-90,-90,-200,-200,-85,-88,-90,-200,-200,-83,-92,-200,-90,-90,-200,-200,-200,-88,-90,-90,-200,-200,-200,-200
1526448920674,-34,-46,-48,-64,-52,-53,-54,-53,-60,-75,-52,-63,-57,-62,-63,-59,-66,-68,-60,-67,-66,-80,-200,-68,-68,-71,-77,-80,-69,-76,-79,-87,-83,-74,-85,-84,-75,-80,-85,-86,-87,-80,-87,-83,-75,-85,-84,-200,-92,-200,-89,-90,-86,-89,-76,-200,-88,-200,-91,-91,-87,-200,-81,-87,-90,-89,-200,-200,-86,-91,-92,-200,-200,-86,-89,-200,-90,-200,-200,-200,-200,-88,-90,-90,-90,-200,-200,-200
1526448923685,-33,-46,-49,-58,-53,-55,-50,-56,-62,-74,-52,-63,-56,-59,-63,-64,-69,-68,-66,-67,-67,-67,-200,-68,-68,-70,-77,-81,-69,-77,-80,-87,-84,-74,-79,-84,-73,-80,-91,-89,-200,-80,-85,-83,-75,-85,-84,-200,-92,-200,-91,-88,-79,-89,-80,-200,-89,-200,-91,-91,-87,-200,-79,-87,-90,-90,-200,-89,-88,-91,-91,-200,-200,-84,-89,-200,-90,-200,-200,-200,-200,-88,-90,-90,-90,-200,-200,-200
1526448926725,-32,-46,-48,-57,-50,-50,-49,-59,-63,-69,-54,-62,-57,-60,-64,-60,-74,-67,-61,-67,-63,-70,-74,-70,-67,-74,-75,-79,-71,-73,-80,-81,-84,-75,-79,-83,-76,-200,-89,-87,-87,-75,-86,-86,-80,-87,-84,-86,-90,-200,-92,-86,-77,-87,-83,-91,-89,-200,-91,-90,-87,-200,-83,-87,-93,-89,-84,-86,-89,-91,-90,-200,-200,-85,-89,-200,-89,-89,-200,-200,-200,-87,-200,-200,-89,-200,-200,-200
1526448929736,-33,-46,-50,-56,-52,-55,-49,-55,-60,-69,-52,-66,-57,-61,-63,-58,-66,-68,-70,-67,-73,-67,-75,-68,-70,-71,-75,-79,-69,-77,-79,-87,-84,-75,-78,-83,-76,-200,-89,-81,-87,-74,-84,-83,-83,-83,-84,-86,-89,-89,-92,-86,-77,-87,-80,-91,-88,-200,-91,-90,-85,-200,-79,-87,-93,-86,-84,-86,-89,-90,-90,-200,-200,-85,-89,-200,-89,-89,-200,-200,-200,-87,-200,-200,-89,-90,-200,-200
1526448932772,-33,-45,-50,-60,-53,-54,-52,-55,-65,-73,-53,-65,-56,-61,-67,-55,-69,-69,-61,-64,-65,-68,-75,-71,-66,-73,-76,-79,-73,-76,-79,-87,-82,-76,-78,-83,-74,-82,-87,-86,-87,-75,-83,-83,-74,-85,-84,-86,-89,-89,-92,-88,-77,-87,-77,-90,-88,-200,-89,-90,-89,-200,-80,-87,-93,-89,-84,-86,-88,-90,-91,-200,-200,-85,-89,-200,-89,-89,-200,-200,-200,-87,-200,-200,-89,-90,-200,-200
1526448935812,-35,-46,-50,-57,-52,-57,-53,-56,-61,-74,-52,-65,-57,-57,-66,-60,-67,-70,-59,-69,-66,-68,-75,-74,-68,-69,-77,-82,-69,-70,-79,-87,-82,-76,-83,-83,-77,-79,-91,-82,-87,-76,-85,-80,-76,-86,-84,-200,-91,-85,-92,-90,-75,-84,-75,-90,-88,-200,-89,-90,-88,-200,-79,-87,-200,-89,-200,-89,-88,-90,-93,-200,-200,-85,-90,-200,-200,-200,-200,-200,-200,-87,-200,-200,-89,-90,-200,-200
1526448938829,-33,-49,-48,-57,-52,-58,-50,-57,-64,-65,-55,-68,-50,-61,-66,-60,-65,-69,-71,-68,-71,-68,-75,-69,-71,-68,-76,-81,-70,-70,-78,-86,-105,-78,-82,-84,-74,-79,-91,-87,-200,-73,-84,-78,-76,-85,-84,-88,-91,-85,-200,-90,-77,-84,-78,-90,-88,-200,-89,-90,-88,-200,-81,-87,-200,-88,-200,-89,-87,-91,-93,-200,-200,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-90,-87,-88
1526448941868,-38,-46,-46,-58,-54,-54,-52,-55,-61,-66,-53,-66,-55,-61,-64,-53,-68,-69,-62,-68,-69,-73,-74,-72,-67,-69,-76,-81,-71,-76,-81,-86,-105,-75,-78,-84,-73,-79,-91,-81,-200,-77,-87,-82,-76,-83,-84,-86,-88,-85,-200,-91,-78,-84,-76,-90,-88,-200,-89,-90,-88,-200,-81,-90,-200,-88,-200,-89,-88,-91,-93,-200,-200,-84,-90,-200,-89,-92,-200,-200,-200,-200,-200,-200,-89,-200,-87,-88
