,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1
1526461897532,-200,-81,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200
1526461897648,-200,-200,-95,-94,-200,-200,-200,-200,-76,-200,-94,-93,-200
1526461897845,-200,-81,-200,-92,-200,-92,-200,-200,-76,-200,-200,-95,-200
1526461897955,-200,-200,-95,-96,-200,-200,-200,-96,-77,-200,-200,-200,-200
1526461902454,-200,-200,-96,-98,-200,-200,-200,-96,-78,-200,-200,-200,-200
1526461902553,-96,-200,-200,-97,-200,-200,-200,-97,-77,-200,-89,-200,-200
1526461902662,-94,-200,-96,-98,-200,-200,-200,-200,-77,-96,-89,-200,-200
1526461902812,-95,-200,-96,-98,-200,-200,-200,-96,-77,-200,-89,-200,-200
1526461902918,-91,-200,-95,-98,-92,-96,-200,-200,-77,-95,-90,-200,-99
1526461907442,-91,-84,-89,-200,-95,-200,-200,-200,-77,-200,-94,-200,-200
1526461907530,-200,-84,-88,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200
1526461907636,-90,-84,-88,-200,-200,-95,-200,-96,-200,-200,-200,-95,-200
1526461907746,-200,-84,-90,-200,-200,-200,-200,-97,-77,-200,-94,-200,-200
1526461907863,-90,-84,-200,-200,-94,-94,-200,-96,-77,-200,-93,-96,-98
1526461907964,-200,-82,-200,-200,-200,-94,-200,-95,-77,-200,-93,-200,-200
1526461912509,-200,-82,-200,-200,-200,-93,-200,-200,-77,-200,-96,-200,-200
1526461912670,-97,-82,-200,-200,-200,-93,-200,-200,-78,-200,-97,-200,-200
1526461912779,-98,-82,-95,-200,-200,-93,-200,-200,-77,-200,-200,-200,-200
1526461912959,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
