,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526454632774,-33,-40,-40,-28,-41,-55,-45,-53,-200,-57,-49,-37,-64,-45,-200,-60,-200,-46,-71,-62,-58,-63,-58,-54,-200,-200,-77,-66,-200,-82,-200,-200,-78,-85,-79,-86,-200,-200,-71,-85,-57,-58,-63,-92,-91,-59,-68,-200,-200,-200,-200,-200
1526454635794,-33,-40,-40,-28,-41,-56,-45,-53,-200,-57,-49,-37,-64,-45,-200,-60,-200,-46,-71,-62,-58,-63,-58,-54,-200,-200,-77,-66,-200,-82,-200,-200,-78,-85,-79,-86,-200,-200,-71,-85,-57,-58,-63,-92,-91,-59,-68,-200,-200,-200,-200,-200
1526454638814,-29,-40,-40,-39,-45,-60,-51,-57,-42,-58,-44,-37,-64,-45,-200,-59,-200,-46,-69,-200,-54,-62,-58,-53,-200,-200,-77,-62,-200,-82,-200,-200,-78,-85,-79,-86,-200,-200,-71,-85,-57,-58,-63,-90,-91,-59,-68,-78,-200,-200,-200,-200
1526454641822,-29,-40,-40,-39,-45,-63,-51,-57,-42,-58,-44,-37,-64,-45,-200,-59,-200,-46,-69,-200,-54,-62,-58,-53,-200,-200,-77,-62,-200,-82,-200,-200,-78,-85,-79,-86,-200,-200,-71,-85,-57,-58,-63,-90,-91,-59,-68,-78,-200,-200,-200,-200
1526454644849,-30,-28,-35,-33,-55,-60,-53,-50,-42,-39,-40,-36,-64,-48,-200,-69,-200,-41,-69,-200,-61,-56,-63,-54,-200,-200,-77,-70,-200,-82,-200,-200,-77,-86,-75,-80,-200,-200,-77,-85,-200,-55,-63,-90,-91,-59,-68,-78,-66,-200,-200,-200
1526454647872,-30,-28,-35,-33,-55,-57,-53,-50,-42,-39,-40,-36,-64,-48,-200,-69,-200,-41,-69,-200,-61,-56,-63,-54,-200,-200,-77,-70,-200,-82,-200,-200,-77,-86,-75,-80,-200,-200,-77,-85,-200,-55,-63,-90,-91,-59,-68,-78,-66,-200,-200,-200
1526454650892,-30,-28,-37,-33,-55,-55,-53,-50,-42,-36,-36,-36,-64,-48,-200,-63,-200,-41,-69,-200,-61,-53,-64,-56,-200,-200,-77,-65,-200,-200,-200,-200,-81,-86,-74,-83,-200,-200,-76,-85,-52,-55,-64,-90,-90,-59,-68,-78,-66,-200,-200,-200
1526454653904,-30,-28,-37,-33,-55,-57,-53,-50,-42,-36,-36,-36,-64,-48,-200,-63,-200,-41,-69,-200,-61,-53,-64,-56,-200,-200,-77,-65,-200,-200,-200,-200,-81,-86,-74,-83,-200,-200,-76,-85,-52,-55,-64,-90,-90,-59,-68,-78,-66,-200,-200,-200
1526454656931,-30,-32,-37,-35,-53,-54,-51,-50,-42,-36,-36,-34,-200,-48,-200,-66,-62,-42,-69,-68,-57,-55,-60,-54,-200,-200,-77,-65,-200,-200,-200,-200,-81,-85,-73,-79,-200,-200,-79,-85,-52,-55,-63,-90,-90,-59,-68,-78,-66,-74,-87,-200
1526454659954,-30,-32,-37,-35,-53,-53,-51,-50,-42,-36,-36,-34,-200,-48,-200,-66,-62,-42,-69,-68,-57,-55,-60,-54,-200,-200,-77,-65,-200,-200,-200,-200,-81,-85,-73,-79,-200,-200,-79,-85,-52,-55,-63,-90,-90,-59,-68,-78,-66,-74,-87,-200
1526454662976,-29,-32,-37,-35,-54,-50,-48,-54,-42,-41,-40,-35,-200,-46,-200,-64,-62,-43,-69,-68,-57,-55,-57,-58,-200,-200,-79,-68,-200,-200,-200,-200,-82,-85,-73,-78,-200,-200,-79,-200,-52,-55,-65,-90,-90,-200,-200,-78,-66,-74,-87,-91
1526454665998,-29,-32,-37,-35,-54,-54,-48,-54,-42,-41,-40,-35,-200,-46,-200,-64,-62,-43,-69,-68,-57,-55,-57,-58,-200,-200,-79,-68,-200,-200,-200,-200,-82,-85,-73,-78,-200,-200,-79,-200,-52,-55,-65,-90,-90,-200,-200,-78,-66,-74,-87,-91
1526454669030,-52,-31,-44,-37,-50,-51,-56,-54,-60,-41,-40,-35,-200,-55,-200,-64,-62,-43,-200,-68,-59,-57,-59,-54,-200,-200,-80,-64,-200,-77,-200,-200,-82,-81,-76,-78,-200,-200,-79,-200,-52,-55,-65,-200,-90,-200,-200,-200,-66,-74,-87,-87
