,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526455675781,-32,-44,-46,-34,-48,-41,-45,-45,-58,-43,-58,-60,-70,-58,-60,-200,-54,-67,-41,-62,-64,-45,-69,-73,-64,-200,-62,-68,-67,-59,-65,-200,-73,-200,-66,-71,-82,-76,-74,-61,-68,-79,-79,-90,-76,-72,-200,-75,-82,-200,-75,-82,-200,-77,-72,-84,-200,-85,-200,-200,-79,-78,-86,-69,-200,-200,-200,-200,-200,-91,-82,-88,-77,-82,-200,-200,-200,-200,-200
1526455678840,-35,-41,-45,-31,-47,-40,-46,-46,-54,-43,-57,-56,-70,-58,-59,-200,-56,-67,-43,-62,-63,-51,-68,-73,-64,-60,-60,-70,-88,-59,-64,-200,-72,-200,-66,-65,-82,-80,-73,-56,-75,-79,-76,-85,-76,-68,-200,-76,-82,-200,-75,-74,-200,-77,-80,-82,-87,-85,-200,-200,-79,-78,-86,-69,-200,-200,-200,-200,-200,-91,-75,-200,-77,-82,-82,-91,-200,-200,-200
1526455681908,-35,-43,-44,-35,-50,-40,-46,-45,-54,-43,-53,-55,-67,-58,-57,-53,-56,-58,-46,-62,-60,-43,-71,-73,-64,-60,-61,-70,-84,-60,-68,-200,-68,-200,-200,-71,-82,-78,-75,-56,-64,-79,-81,-85,-76,-70,-200,-76,-82,-200,-75,-74,-200,-77,-74,-78,-87,-85,-200,-200,-79,-78,-86,-67,-51,-200,-200,-200,-200,-200,-75,-200,-77,-82,-82,-91,-200,-200,-200
1526455684978,-36,-44,-42,-36,-49,-40,-56,-47,-56,-42,-57,-55,-75,-58,-61,-60,-56,-58,-46,-62,-61,-48,-70,-70,-57,-60,-61,-64,-84,-62,-68,-83,-66,-200,-62,-63,-82,-78,-73,-56,-69,-77,-81,-85,-76,-69,-80,-76,-82,-200,-76,-74,-200,-77,-74,-78,-87,-85,-200,-200,-79,-78,-86,-68,-51,-200,-200,-200,-200,-200,-75,-200,-200,-82,-82,-91,-87,-200,-200
1526455688045,-35,-42,-43,-36,-47,-40,-57,-47,-60,-42,-54,-55,-65,-58,-61,-65,-59,-62,-48,-200,-65,-48,-69,-83,-52,-60,-62,-64,-84,-65,-68,-83,-66,-80,-63,-74,-82,-78,-73,-57,-68,-77,-83,-85,-78,-68,-80,-78,-82,-200,-76,-74,-200,-78,-72,-78,-87,-85,-200,-200,-79,-200,-200,-68,-51,-200,-200,-84,-200,-200,-75,-200,-200,-82,-82,-91,-87,-90,-200
1526455691109,-37,-39,-42,-32,-50,-41,-57,-51,-55,-42,-56,-55,-65,-60,-60,-63,-56,-62,-46,-200,-65,-47,-69,-71,-53,-60,-61,-64,-85,-65,-76,-83,-66,-80,-63,-70,-200,-78,-74,-65,-67,-77,-83,-85,-79,-68,-83,-78,-200,-200,-80,-74,-200,-78,-72,-78,-87,-200,-200,-200,-200,-200,-200,-69,-51,-200,-200,-84,-200,-200,-75,-200,-200,-200,-82,-91,-87,-90,-200
1526455694155,-38,-44,-46,-36,-47,-41,-48,-44,-56,-42,-56,-54,-65,-60,-55,-64,-55,-62,-46,-66,-60,-50,-68,-71,-56,-60,-60,-63,-85,-67,-80,-83,-70,-80,-66,-65,-200,-82,-74,-65,-67,-77,-83,-85,-77,-68,-81,-74,-84,-200,-80,-84,-200,-78,-72,-78,-200,-200,-83,-200,-200,-72,-200,-69,-51,-200,-200,-84,-87,-200,-200,-200,-200,-200,-200,-200,-87,-90,-200
1526455697232,-37,-47,-46,-38,-50,-42,-48,-51,-60,-42,-56,-62,-72,-68,-54,-56,-52,-65,-45,-66,-60,-47,-69,-71,-61,-58,-61,-63,-85,-66,-72,-79,-66,-82,-73,-65,-200,-81,-74,-65,-76,-77,-80,-200,-78,-68,-81,-78,-84,-200,-80,-80,-200,-78,-72,-200,-200,-200,-83,-200,-81,-73,-200,-66,-57,-85,-200,-84,-86,-200,-83,-200,-200,-200,-200,-200,-87,-90,-200
1526455700291,-33,-48,-46,-39,-52,-43,-49,-54,-61,-48,-56,-56,-72,-62,-52,-59,-52,-65,-45,-66,-64,-42,-69,-68,-61,-64,-61,-66,-68,-66,-70,-79,-66,-82,-73,-74,-200,-81,-74,-64,-76,-80,-80,-86,-78,-78,-81,-74,-84,-200,-80,-80,-200,-78,-72,-200,-200,-200,-83,-200,-77,-77,-86,-66,-57,-85,-200,-84,-86,-200,-79,-200,-200,-200,-200,-200,-200,-90,-79
1526455703357,-35,-46,-52,-37,-52,-43,-49,-51,-61,-50,-56,-56,-72,-62,-54,-61,-52,-65,-44,-66,-65,-42,-68,-68,-54,-64,-60,-69,-68,-66,-68,-79,-66,-76,-73,-74,-200,-81,-74,-64,-80,-80,-80,-85,-78,-76,-81,-74,-84,-200,-78,-80,-200,-78,-200,-200,-200,-200,-83,-200,-77,-77,-86,-66,-57,-85,-200,-200,-86,-200,-79,-200,-200,-200,-200,-200,-200,-200,-79
1526455706416,-35,-47,-48,-36,-52,-43,-50,-49,-62,-49,-57,-56,-72,-88,-54,-61,-53,-65,-45,-66,-63,-47,-68,-68,-55,-64,-61,-70,-68,-66,-74,-79,-68,-76,-73,-74,-200,-83,-74,-64,-80,-79,-80,-88,-78,-78,-81,-74,-84,-200,-78,-81,-200,-78,-75,-200,-200,-200,-83,-81,-77,-86,-85,-66,-57,-85,-200,-200,-86,-200,-79,-200,-200,-200,-200,-200,-200,-200,-79
1526455709484,-39,-45,-42,-37,-50,-43,-49,-48,-65,-50,-57,-56,-66,-64,-54,-58,-55,-65,-46,-200,-62,-45,-68,-68,-58,-64,-61,-74,-68,-66,-72,-79,-68,-76,-73,-76,-200,-83,-74,-64,-85,-79,-80,-89,-79,-78,-200,-74,-200,-200,-78,-82,-200,-200,-75,-200,-200,-200,-200,-81,-77,-86,-85,-67,-57,-85,-200,-200,-86,-200,-82,-200,-200,-200,-200,-200,-200,-200,-79
