,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro
1526447287081,-52,-38,-65,-64,-53,-48,-58,-74,-59,-59,-58,-73,-56,-69,-73,-77,-87,-71,-79,-75,-72,-83,-89,-80,-92,-84,-88,-72,-87,-86,-87,-82,-91,-91,-92,-200,-90,-200,-93,-93,-95,-95,-200,-200,-96,-96,-93,-94,-200,-59,-200,-90,-89,-200,-94,-84,-92,-96,-200,-94,-92,-200,-95,-200,-200,-200,-200,-200,-82,-200,-90,-200,-200,-93,-92,-200,-96,-96,-97,-92,-97,-98,-91,-95,-97,-200,-200,-200,-200,-200,-200,-200,-200
1526447290125,-50,-32,-60,-61,-55,-50,-59,-61,-50,-59,-58,-63,-57,-67,-75,-81,-88,-70,-73,-72,-79,-69,-91,-76,-88,-81,-88,-78,-83,-87,-88,-86,-91,-91,-95,-200,-82,-200,-200,-91,-95,-95,-200,-200,-94,-96,-89,-94,-200,-64,-200,-85,-92,-200,-97,-89,-92,-93,-200,-94,-92,-200,-95,-99,-200,-200,-200,-200,-200,-200,-90,-200,-200,-92,-200,-200,-200,-200,-200,-92,-97,-98,-91,-95,-97,-200,-200,-200,-200,-200,-200,-200,-200
1526447293174,-51,-33,-62,-66,-56,-52,-58,-63,-59,-56,-61,-67,-60,-67,-78,-81,-88,-68,-78,-80,-80,-74,-90,-77,-91,-81,-90,-78,-83,-83,-87,-83,-91,-91,-95,-200,-88,-200,-200,-90,-95,-200,-200,-200,-94,-96,-92,-93,-200,-67,-200,-85,-92,-200,-94,-90,-92,-93,-200,-200,-92,-97,-95,-99,-200,-200,-200,-200,-200,-200,-90,-200,-200,-92,-200,-200,-200,-200,-200,-93,-97,-200,-91,-95,-97,-86,-96,-200,-200,-200,-200,-200,-200
1526447296222,-50,-32,-63,-61,-55,-55,-55,-60,-61,-55,-60,-76,-59,-67,-76,-79,-89,-71,-79,-78,-79,-74,-90,-79,-89,-81,-93,-78,-84,-83,-87,-83,-200,-200,-96,-200,-94,-200,-94,-90,-86,-200,-200,-200,-94,-200,-90,-92,-200,-65,-200,-87,-92,-95,-94,-94,-95,-93,-200,-200,-200,-97,-95,-99,-200,-200,-200,-200,-200,-200,-91,-200,-200,-92,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-86,-96,-96,-96,-200,-200,-200,-200
1526447299272,-52,-30,-61,-65,-52,-54,-55,-61,-54,-63,-59,-75,-58,-67,-78,-82,-86,-71,-78,-80,-73,-72,-90,-78,-89,-84,-87,-77,-85,-87,-88,-84,-93,-200,-95,-200,-94,-200,-92,-92,-87,-99,-200,-200,-200,-200,-92,-91,-200,-63,-200,-94,-200,-96,-94,-87,-93,-200,-200,-200,-93,-93,-95,-200,-200,-200,-200,-200,-200,-96,-90,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-98,-86,-96,-96,-96,-200,-200,-200,-200
1526447302316,-53,-32,-67,-64,-54,-56,-61,-63,-57,-64,-57,-75,-60,-66,-82,-78,-89,-71,-83,-80,-73,-74,-89,-83,-89,-84,-89,-78,-85,-89,-86,-84,-93,-200,-95,-200,-94,-200,-91,-88,-87,-99,-200,-200,-200,-200,-90,-91,-200,-64,-200,-86,-90,-96,-200,-87,-93,-93,-200,-200,-89,-93,-200,-200,-200,-200,-93,-200,-200,-96,-90,-200,-200,-96,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-98,-200,-200,-98,-96,-94,-200,-200,-200
1526447305357,-50,-33,-69,-62,-56,-51,-59,-63,-60,-66,-60,-63,-60,-65,-80,-75,-91,-70,-80,-80,-81,-72,-86,-78,-200,-88,-89,-77,-85,-88,-86,-85,-97,-94,-95,-200,-92,-200,-94,-91,-88,-99,-200,-200,-200,-200,-92,-95,-200,-65,-200,-86,-90,-96,-94,-75,-93,-93,-200,-95,-92,-93,-200,-200,-200,-200,-93,-200,-200,-96,-90,-200,-200,-96,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-98,-200,-200,-98,-200,-94,-96,-200,-200
1526447308399,-53,-26,-59,-62,-51,-55,-56,-63,-58,-62,-62,-70,-57,-65,-77,-78,-87,-73,-82,-81,-78,-76,-86,-85,-90,-85,-89,-78,-86,-87,-86,-84,-97,-94,-92,-200,-92,-200,-97,-91,-88,-200,-200,-200,-200,-95,-92,-95,-200,-71,-200,-93,-90,-200,-94,-84,-91,-91,-200,-95,-87,-93,-200,-200,-200,-200,-93,-200,-200,-200,-90,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-98,-200,-94,-96,-200,-200
1526447311444,-53,-32,-58,-60,-52,-53,-54,-63,-59,-57,-62,-69,-57,-69,-77,-76,-87,-73,-77,-79,-81,-76,-90,-86,-90,-85,-94,-78,-86,-87,-91,-85,-97,-94,-96,-95,-92,-200,-97,-88,-90,-96,-200,-200,-200,-95,-94,-92,-200,-68,-81,-94,-200,-97,-96,-85,-93,-91,-200,-97,-90,-93,-200,-200,-200,-200,-200,-200,-83,-200,-90,-200,-200,-88,-200,-200,-200,-200,-200,-200,-93,-200,-89,-200,-200,-200,-200,-200,-200,-97,-96,-90,-94
1526447314486,-51,-32,-67,-63,-54,-52,-54,-59,-62,-57,-65,-64,-58,-68,-77,-79,-89,-70,-74,-82,-80,-78,-91,-85,-90,-83,-87,-78,-86,-90,-91,-83,-200,-200,-96,-95,-92,-200,-94,-91,-90,-95,-200,-200,-200,-95,-74,-92,-200,-71,-85,-94,-200,-93,-96,-83,-93,-91,-200,-97,-93,-93,-200,-200,-200,-200,-90,-200,-84,-96,-90,-200,-200,-88,-200,-200,-200,-200,-200,-200,-95,-200,-89,-200,-200,-200,-200,-200,-200,-97,-200,-90,-94
1526447317529,-52,-36,-60,-62,-49,-54,-55,-69,-52,-57,-60,-61,-60,-69,-77,-81,-94,-71,-74,-76,-78,-77,-90,-76,-90,-82,-88,-77,-86,-90,-87,-84,-91,-200,-94,-94,-92,-200,-94,-91,-89,-95,-200,-200,-200,-95,-74,-95,-200,-70,-83,-94,-200,-93,-93,-85,-92,-93,-94,-94,-93,-93,-200,-200,-200,-200,-90,-200,-92,-96,-90,-200,-200,-88,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-97,-200,-200,-97,-200,-91,-94
1526447320569,-53,-36,-55,-59,-50,-52,-54,-65,-59,-57,-67,-61,-58,-66,-73,-79,-91,-73,-73,-84,-77,-76,-90,-80,-90,-83,-88,-80,-85,-88,-86,-86,-90,-92,-92,-94,-88,-200,-94,-93,-90,-97,-200,-200,-200,-95,-95,-95,-200,-66,-83,-200,-200,-91,-93,-83,-91,-93,-94,-94,-93,-93,-95,-97,-200,-200,-93,-200,-87,-93,-90,-200,-200,-200,-96,-200,-200,-200,-200,-200,-95,-200,-200,-200,-96,-200,-97,-200,-200,-200,-200,-91,-200
