,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10
1526464618696,-72,-49,-64,-65,-80,-53,-59,-85,-51,-68,-66,-77,-84,-75,-89,-80,-72,-88,-88,-90,-92,-85,-90,-96,-93,-200,-76,-200,-85,-90,-97,-97,-63,-88,-200,-94,-87,-96,-95,-200,-200,-102,-84,-200,-200,-200,-200,-200,-200,-96,-200,-77,-92,-94,-93,-200,-90,-93,-93,-96,-96,-200,-200,-96,-94,-200,-97,-200,-95,-98,-200,-200,-200
1526464621739,-63,-49,-60,-70,-79,-51,-58,-82,-53,-64,-64,-77,-81,-71,-91,-79,-75,-88,-87,-91,-95,-88,-200,-96,-93,-96,-73,-200,-84,-94,-97,-94,-65,-88,-200,-94,-88,-98,-95,-200,-200,-102,-83,-200,-200,-200,-200,-200,-200,-96,-200,-76,-93,-94,-92,-95,-90,-95,-200,-96,-96,-91,-200,-96,-94,-200,-200,-200,-95,-96,-94,-200,-200
1526464624780,-62,-49,-62,-68,-81,-58,-58,-83,-54,-64,-65,-77,-85,-73,-90,-77,-75,-86,-89,-91,-95,-86,-200,-96,-94,-95,-72,-200,-87,-92,-97,-94,-62,-87,-97,-93,-88,-92,-200,-200,-200,-95,-85,-200,-200,-200,-200,-200,-200,-95,-200,-75,-93,-200,-94,-95,-90,-95,-200,-96,-95,-91,-200,-96,-94,-200,-200,-200,-200,-98,-94,-200,-200
1526464627822,-64,-47,-64,-73,-80,-53,-54,-84,-54,-64,-72,-89,-82,-73,-89,-77,-75,-87,-88,-91,-95,-86,-200,-200,-94,-95,-75,-200,-86,-92,-95,-94,-64,-87,-97,-95,-87,-92,-200,-200,-200,-95,-82,-200,-200,-200,-200,-200,-200,-93,-200,-75,-94,-200,-94,-95,-200,-93,-95,-96,-96,-91,-200,-96,-200,-200,-200,-200,-200,-98,-94,-95,-97
1526464630868,-65,-46,-65,-67,-82,-57,-59,-84,-52,-63,-69,-77,-82,-76,-90,-80,-78,-87,-88,-91,-200,-85,-200,-200,-94,-95,-74,-200,-85,-93,-95,-95,-64,-87,-99,-93,-87,-92,-200,-200,-200,-95,-84,-200,-200,-200,-200,-200,-200,-93,-200,-75,-94,-200,-94,-200,-200,-93,-95,-96,-96,-200,-200,-96,-200,-200,-200,-93,-200,-98,-200,-95,-97
1526464633911,-68,-47,-58,-69,-83,-54,-60,-84,-53,-64,-69,-77,-83,-75,-87,-80,-74,-84,-89,-91,-200,-83,-90,-200,-200,-200,-80,-200,-86,-87,-95,-96,-62,-86,-99,-93,-87,-200,-200,-95,-200,-200,-83,-200,-200,-200,-200,-200,-200,-97,-200,-76,-95,-200,-200,-200,-200,-93,-95,-98,-97,-200,-99,-96,-92,-200,-200,-93,-200,-200,-200,-95,-97
1526464636952,-64,-48,-62,-75,-78,-56,-59,-84,-59,-64,-66,-76,-83,-75,-87,-78,-74,-84,-84,-88,-90,-87,-90,-200,-93,-200,-80,-200,-88,-87,-96,-96,-63,-89,-99,-93,-87,-200,-200,-95,-200,-200,-81,-200,-200,-200,-200,-200,-200,-93,-200,-79,-95,-93,-94,-96,-87,-200,-94,-98,-95,-200,-99,-200,-92,-200,-200,-93,-200,-200,-200,-200,-200
1526464639998,-64,-47,-60,-70,-78,-51,-60,-83,-55,-63,-66,-81,-82,-59,-87,-78,-69,-84,-87,-88,-90,-87,-90,-200,-93,-200,-73,-200,-85,-87,-96,-96,-50,-88,-200,-95,-87,-200,-96,-98,-200,-100,-81,-200,-200,-200,-200,-200,-200,-94,-200,-79,-95,-93,-96,-96,-87,-200,-94,-98,-95,-200,-99,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526464643035,-63,-46,-58,-57,-79,-50,-56,-83,-64,-63,-68,-84,-78,-70,-92,-73,-69,-200,-88,-90,-90,-83,-200,-200,-93,-200,-75,-200,-85,-92,-96,-200,-50,-86,-200,-94,-200,-200,-96,-98,-200,-100,-87,-200,-200,-200,-200,-200,-200,-94,-200,-79,-92,-93,-96,-96,-87,-200,-94,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464646080,-63,-46,-63,-69,-80,-58,-57,-84,-54,-64,-65,-79,-81,-72,-90,-78,-74,-200,-90,-90,-200,-88,-200,-200,-200,-200,-74,-200,-86,-92,-200,-200,-62,-90,-200,-94,-200,-200,-96,-98,-200,-96,-81,-200,-200,-200,-200,-200,-200,-93,-200,-75,-93,-200,-96,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464649116,-64,-46,-61,-70,-80,-50,-59,-83,-54,-62,-70,-82,-81,-68,-89,-75,-74,-200,-88,-90,-200,-88,-200,-200,-200,-200,-75,-200,-84,-92,-200,-200,-62,-87,-200,-92,-200,-200,-200,-200,-94,-96,-85,-200,-200,-200,-200,-200,-200,-96,-200,-76,-93,-200,-200,-93,-85,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464652155,-68,-46,-60,-75,-82,-46,-57,-82,-55,-61,-73,-86,-79,-72,-88,-72,-74,-87,-88,-91,-91,-82,-92,-200,-93,-200,-78,-200,-84,-89,-200,-200,-62,-86,-200,-92,-200,-200,-200,-200,-94,-96,-82,-200,-200,-200,-200,-200,-200,-94,-200,-73,-93,-94,-95,-90,-85,-95,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200
