,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526448403830,-200,-89,-91,-200,-97,-78,-200,-67,-91,-81,-200,-200,-87,-87,-200,-80,-200,-200,-83,-88,-200
1526448408503,-82,-87,-200,-65,-200,-84,-200,-200,-93,-200,-84,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200
1526448408603,-200,-87,-92,-65,-200,-84,-200,-63,-93,-200,-200,-200,-88,-200,-200,-82,-200,-200,-200,-84,-200
1526448408711,-200,-88,-200,-200,-200,-84,-200,-63,-200,-200,-200,-82,-87,-200,-200,-82,-200,-200,-200,-200,-200
1526448408865,-200,-200,-200,-200,-97,-81,-200,-200,-200,-71,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526448413466,-82,-200,-200,-69,-200,-200,-200,-68,-89,-70,-88,-85,-91,-200,-200,-85,-200,-200,-94,-200,-96
1526448413582,-84,-200,-200,-68,-200,-200,-200,-200,-89,-200,-200,-84,-200,-200,-86,-85,-200,-200,-200,-85,-200
1526448413690,-84,-88,-200,-68,-200,-83,-200,-67,-88,-200,-90,-200,-200,-87,-200,-84,-200,-200,-200,-200,-200
1526448413814,-200,-89,-200,-69,-200,-200,-200,-67,-88,-71,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200
1526448418568,-200,-200,-107,-200,-101,-200,-200,-200,-88,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526448418784,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448418884,-200,-200,-200,-200,-200,-200,-200,-200,-100,-200,-200,-200,-89,-200,-200,-200,-200,-96,-200,-200,-200
1526448418979,-200,-200,-200,-200,-200,-80,-200,-62,-85,-67,-200,-200,-200,-200,-200,-85,-200,-88,-200,-200,-200
1526448419120,-89,-84,-200,-56,-200,-80,-200,-63,-87,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526448419233,-200,-85,-200,-60,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-86,-200,-200,-200,-200,-200
1526448423469,-200,-77,-200,-60,-200,-83,-200,-64,-200,-69,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200
1526448423676,-200,-76,-100,-60,-200,-83,-200,-64,-94,-200,-200,-76,-200,-200,-200,-200,-200,-87,-200,-88,-200
1526448423809,-200,-200,-97,-60,-200,-83,-200,-200,-86,-200,-89,-75,-86,-200,-200,-200,-100,-87,-200,-200,-200
1526448428467,-200,-200,-200,-74,-200,-200,-200,-69,-88,-75,-88,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526448428762,-200,-200,-200,-67,-94,-200,-200,-200,-86,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-89,-200
1526448428969,-200,-200,-200,-200,-94,-200,-200,-200,-88,-200,-200,-85,-100,-200,-200,-88,-200,-200,-200,-200,-200
1526448429064,-200,-200,-200,-200,-200,-200,-200,-200,-86,-76,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526448429265,-200,-200,-200,-200,-96,-200,-200,-72,-86,-79,-89,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526448429467,-76,-200,-200,-74,-103,-95,-200,-61,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448433464,-93,-78,-200,-59,-200,-200,-200,-62,-92,-81,-200,-200,-88,-90,-200,-200,-200,-200,-85,-200,-200
1526448433608,-90,-77,-94,-61,-102,-200,-200,-61,-92,-200,-200,-200,-88,-91,-86,-200,-200,-200,-84,-200,-200
1526448433821,-200,-200,-97,-61,-200,-83,-200,-200,-200,-75,-200,-81,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526448438498,-200,-200,-92,-62,-200,-84,-200,-64,-200,-75,-200,-77,-86,-200,-87,-200,-200,-200,-200,-200,-91
1526448438639,-68,-76,-200,-200,-200,-84,-200,-64,-200,-75,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526448438771,-74,-200,-93,-66,-200,-200,-200,-200,-87,-200,-89,-82,-87,-200,-87,-200,-200,-85,-89,-200,-200
1526448443498,-200,-81,-200,-65,-93,-200,-200,-64,-89,-200,-200,-81,-90,-200,-86,-200,-200,-200,-200,-200,-200
1526448443602,-75,-82,-200,-65,-92,-89,-200,-200,-87,-71,-200,-81,-89,-200,-200,-89,-200,-200,-200,-200,-200
1526448443701,-74,-200,-200,-66,-94,-88,-200,-64,-88,-200,-200,-200,-90,-200,-85,-200,-200,-97,-200,-200,-200
1526448443821,-200,-82,-200,-200,-200,-200,-200,-64,-200,-200,-200,-200,-89,-200,-86,-89,-200,-200,-200,-88,-200
