,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,NETWORK,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526443250602,-39,-31,-53,-47,-55,-56,-51,-51,-57,-47,-59,-200,-69,-54,-64,-63,-200,-59,-62,-200,-64,-200,-74,-78,-84,-53,-200,-81,-71,-82,-200,-82,-200,-200,-200,-200,-65,-200,-200,-65,-82,-200,-200,-77,-200,-200,-200,-84,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200
1526443253607,-35,-33,-50,-43,-60,-78,-51,-55,-56,-48,-59,-75,-68,-65,-67,-76,-74,-75,-76,-200,-64,-78,-75,-78,-91,-63,-200,-79,-74,-85,-200,-83,-200,-200,-200,-84,-47,-200,-200,-200,-82,-81,-80,-87,-200,-200,-91,-84,-82,-200,-84,-200,-79,-200,-200,-88,-200,-200,-86,-85,-91,-92,-200,-200,-200,-200,-200
1526443256645,-50,-25,-43,-48,-52,-52,-56,-58,-63,-47,-62,-75,-69,-57,-70,-76,-69,-56,-65,-200,-58,-78,-75,-76,-91,-58,-74,-83,-74,-86,-200,-83,-200,-200,-200,-84,-59,-69,-200,-68,-200,-81,-71,-87,-200,-200,-91,-200,-79,-200,-84,-200,-79,-200,-200,-80,-200,-200,-86,-200,-87,-89,-200,-200,-200,-200,-200
1526443259703,-45,-32,-45,-46,-53,-75,-51,-72,-55,-49,-77,-75,-72,-62,-71,-70,-71,-56,-63,-80,-60,-78,-75,-78,-91,-58,-81,-56,-78,-83,-200,-85,-200,-82,-200,-84,-70,-73,-200,-68,-78,-81,-84,-87,-85,-200,-91,-83,-82,-200,-70,-200,-79,-200,-200,-80,-200,-200,-87,-200,-87,-89,-90,-200,-200,-200,-200
1526443262708,-45,-32,-49,-51,-53,-74,-53,-50,-58,-47,-63,-70,-71,-58,-60,-61,-71,-60,-63,-79,-62,-78,-77,-72,-83,-62,-81,-83,-76,-84,-200,-87,-200,-82,-89,-200,-69,-73,-200,-73,-73,-200,-84,-200,-85,-200,-200,-84,-82,-200,-70,-87,-200,-200,-87,-80,-200,-200,-87,-200,-87,-89,-90,-200,-200,-200,-200
1526443265758,-38,-27,-57,-45,-53,-76,-50,-61,-58,-49,-66,-70,-77,-64,-60,-70,-71,-58,-62,-79,-60,-76,-77,-72,-62,-62,-78,-83,-76,-83,-200,-83,-200,-200,-89,-200,-54,-72,-76,-70,-78,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-87,-200,-200,-87,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526443268822,-40,-30,-49,-48,-51,-77,-52,-60,-61,-48,-69,-79,-68,-58,-55,-86,-74,-57,-62,-200,-77,-89,-89,-200,-62,-65,-88,-83,-70,-83,-200,-83,-200,-200,-200,-200,-56,-75,-76,-70,-76,-90,-200,-92,-200,-200,-200,-90,-200,-200,-70,-200,-200,-200,-200,-86,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526443271855,-38,-28,-55,-45,-54,-76,-52,-63,-60,-49,-69,-70,-77,-64,-57,-87,-71,-57,-65,-83,-77,-89,-77,-200,-83,-71,-88,-87,-73,-83,-200,-86,-200,-200,-89,-90,-85,-72,-75,-68,-76,-90,-200,-92,-200,-200,-200,-90,-82,-200,-70,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200
1526443274917,-39,-25,-51,-46,-53,-70,-50,-56,-62,-44,-49,-70,-70,-64,-73,-59,-71,-79,-60,-83,-77,-89,-72,-200,-84,-63,-88,-80,-90,-83,-200,-83,-200,-84,-89,-90,-85,-72,-75,-68,-76,-90,-200,-92,-200,-200,-200,-90,-82,-200,-70,-200,-82,-200,-200,-86,-200,-200,-86,-200,-200,-200,-200,-86,-200,-200,-200
1526443277970,-38,-33,-61,-48,-49,-79,-58,-54,-59,-45,-66,-74,-78,-64,-61,-59,-71,-61,-66,-83,-63,-75,-80,-76,-84,-63,-200,-84,-90,-82,-200,-84,-200,-84,-89,-90,-56,-72,-75,-65,-78,-200,-200,-200,-200,-200,-200,-82,-82,-200,-200,-200,-82,-200,-200,-74,-200,-200,-86,-200,-79,-200,-90,-86,-87,-200,-200
1526443281012,-39,-31,-53,-47,-52,-77,-53,-55,-61,-45,-65,-69,-71,-64,-59,-59,-200,-62,-66,-200,-63,-75,-80,-76,-200,-200,-70,-85,-71,-83,-200,-62,-200,-200,-200,-200,-58,-70,-200,-65,-78,-200,-73,-200,-200,-200,-200,-82,-80,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-79,-200,-90,-200,-87,-200,-200
1526443284017,-38,-30,-56,-47,-54,-55,-53,-52,-62,-46,-64,-79,-55,-64,-59,-59,-200,-59,-58,-200,-200,-89,-72,-76,-87,-68,-87,-85,-71,-83,-200,-63,-200,-91,-200,-200,-67,-67,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-80,-200,-200,-86,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-86
