,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,NETWORK,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526442832868,-35,-33,-50,-60,-48,-63,-54,-47,-62,-66,-63,-62,-77,-66,-69,-48,-72,-80,-73,-70,-64,-78,-71,-200,-75,-48,-82,-200,-81,-200,-73,-78,-86,-200,-83,-200,-200,-90,-200,-200,-56,-82,-80,-200,-83,-200,-200,-200,-200,-79,-62,-200,-85,-74,-88,-200,-86,-200,-200,-200,-200,-82,-86,-87,-87,-89,-200,-200,-200,-200,-200,-200,-200
1526442835892,-38,-34,-45,-60,-48,-49,-50,-56,-65,-65,-63,-64,-77,-68,-68,-50,-83,-80,-67,-74,-65,-80,-71,-72,-73,-49,-81,-200,-81,-200,-80,-78,-86,-200,-84,-200,-200,-90,-77,-200,-55,-200,-200,-200,-83,-200,-200,-200,-200,-80,-60,-81,-85,-76,-88,-75,-89,-200,-200,-200,-200,-200,-200,-86,-87,-89,-89,-200,-200,-200,-200,-200,-200
1526442838946,-31,-40,-45,-52,-50,-51,-48,-59,-72,-86,-70,-65,-69,-66,-76,-52,-73,-85,-64,-90,-65,-80,-75,-72,-73,-50,-83,-200,-81,-200,-81,-200,-88,-200,-85,-200,-200,-200,-83,-87,-71,-86,-200,-200,-200,-84,-200,-87,-91,-80,-82,-81,-200,-86,-200,-75,-89,-200,-92,-200,-200,-91,-200,-86,-83,-200,-89,-91,-92,-93,-200,-200,-200
1526442841955,-30,-42,-44,-53,-47,-58,-48,-61,-71,-86,-70,-64,-65,-66,-69,-59,-74,-72,-66,-78,-60,-78,-68,-74,-81,-48,-86,-200,-81,-200,-76,-200,-88,-200,-85,-200,-200,-200,-83,-87,-58,-86,-78,-200,-200,-84,-200,-83,-91,-77,-69,-200,-200,-86,-200,-200,-200,-200,-92,-200,-200,-84,-200,-200,-83,-200,-200,-91,-92,-93,-200,-200,-200
1526442845013,-35,-39,-52,-52,-50,-58,-49,-63,-71,-69,-70,-65,-68,-74,-62,-54,-72,-72,-72,-78,-62,-78,-70,-74,-81,-75,-84,-89,-79,-200,-79,-81,-87,-200,-90,-200,-200,-200,-79,-87,-55,-86,-78,-200,-200,-84,-200,-83,-91,-77,-82,-200,-200,-86,-71,-200,-200,-200,-92,-200,-200,-84,-200,-200,-84,-200,-200,-91,-84,-93,-200,-200,-200
1526442848077,-34,-40,-47,-55,-48,-61,-62,-57,-76,-68,-71,-70,-70,-69,-69,-54,-70,-200,-73,-77,-62,-200,-74,-200,-80,-49,-83,-89,-83,-200,-84,-81,-87,-200,-90,-200,-200,-200,-81,-87,-54,-200,-84,-200,-200,-84,-200,-200,-200,-77,-82,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-88,-200,-85,-200,-200
1526442851118,-36,-41,-51,-53,-47,-62,-46,-60,-71,-70,-68,-71,-68,-69,-60,-51,-69,-78,-77,-79,-62,-76,-71,-72,-83,-75,-84,-200,-81,-200,-84,-200,-200,-200,-200,-200,-200,-200,-81,-200,-53,-200,-84,-200,-78,-86,-200,-200,-200,-77,-73,-83,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-88,-200,-85,-87,-200
1526442854174,-34,-42,-50,-56,-52,-59,-49,-63,-73,-73,-68,-66,-72,-200,-76,-55,-68,-72,-68,-81,-53,-74,-88,-75,-88,-75,-83,-200,-80,-91,-200,-200,-200,-90,-200,-89,-200,-200,-85,-86,-55,-200,-200,-200,-78,-86,-200,-200,-200,-200,-72,-81,-88,-84,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-87,-90
1526442857224,-34,-39,-53,-57,-53,-58,-51,-62,-69,-73,-64,-65,-72,-200,-55,-49,-64,-72,-65,-81,-62,-72,-68,-73,-88,-59,-83,-200,-80,-77,-77,-200,-200,-90,-200,-89,-200,-200,-85,-86,-55,-200,-200,-200,-78,-83,-200,-200,-200,-81,-72,-81,-88,-84,-72,-200,-200,-200,-78,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-87,-90
1526442860282,-34,-38,-47,-55,-51,-60,-50,-60,-72,-73,-67,-63,-69,-200,-55,-73,-69,-77,-63,-82,-62,-72,-68,-70,-88,-52,-80,-200,-81,-77,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-55,-200,-200,-200,-200,-83,-200,-200,-200,-81,-74,-200,-200,-200,-70,-200,-200,-200,-78,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442863325,-35,-39,-49,-54,-52,-59,-46,-61,-72,-66,-68,-64,-59,-71,-200,-53,-69,-71,-70,-77,-63,-75,-68,-75,-81,-74,-81,-200,-81,-77,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-55,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-81,-87,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442866357,-34,-39,-47,-53,-50,-59,-47,-60,-72,-66,-70,-67,-70,-71,-200,-75,-69,-71,-69,-77,-63,-74,-68,-75,-75,-75,-81,-200,-82,-71,-75,-81,-86,-200,-84,-200,-89,-200,-200,-200,-55,-200,-200,-200,-200,-200,-200,-200,-200,-79,-78,-81,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
