,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,NETWORK,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526444155445,-23,-37,-35,-46,-54,-52,-55,-51,-79,-73,-54,-54,-66,-65,-76,-62,-65,-58,-51,-65,-69,-72,-78,-69,-64,-73,-200,-49,-79,-79,-91,-70,-200,-84,-200,-200,-83,-80,-200,-200,-200,-200,-200,-69,-200,-200,-79,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444158503,-23,-41,-33,-50,-49,-55,-78,-54,-80,-74,-51,-52,-63,-85,-79,-59,-64,-57,-54,-70,-63,-72,-80,-71,-63,-200,-87,-47,-78,-200,-75,-91,-200,-84,-200,-89,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-76,-200,-78,-200,-200,-200,-200,-87,-200,-200,-200,-200,-84,-200,-84,-200,-200,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526444161507,-22,-44,-36,-54,-57,-57,-60,-52,-52,-69,-52,-53,-68,-67,-79,-70,-63,-54,-52,-70,-60,-75,-80,-69,-66,-76,-87,-40,-76,-74,-75,-91,-200,-82,-200,-89,-86,-200,-200,-200,-89,-200,-200,-200,-85,-200,-200,-74,-200,-200,-78,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-84,-200,-200,-91,-92,-91,-200,-200,-200,-200,-200,-200,-200
1526444164562,-23,-38,-33,-51,-49,-56,-62,-56,-77,-68,-52,-54,-57,-81,-54,-62,-63,-54,-52,-74,-61,-75,-80,-66,-68,-76,-87,-42,-78,-74,-78,-68,-200,-82,-200,-89,-82,-200,-200,-200,-89,-200,-200,-70,-85,-200,-200,-74,-200,-85,-78,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-84,-200,-200,-91,-92,-91,-80,-88,-200,-200,-200,-200,-200
1526444167633,-24,-37,-33,-47,-51,-58,-55,-50,-82,-76,-53,-57,-63,-80,-56,-62,-200,-57,-57,-74,-61,-73,-200,-66,-71,-200,-200,-46,-76,-200,-78,-68,-200,-83,-200,-200,-83,-200,-200,-200,-82,-200,-200,-70,-200,-200,-80,-200,-200,-85,-83,-88,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-88,-200,-200,-200,-200,-200
1526444170637,-24,-40,-34,-45,-49,-59,-58,-58,-58,-69,-52,-55,-60,-80,-57,-63,-63,-58,-58,-71,-61,-73,-200,-66,-70,-200,-74,-42,-77,-74,-78,-78,-200,-83,-200,-200,-83,-200,-200,-200,-82,-200,-200,-77,-200,-200,-81,-200,-75,-85,-83,-89,-200,-200,-200,-200,-83,-200,-88,-200,-200,-86,-200,-200,-200,-200,-200,-200,-81,-88,-87,-89,-200,-200,-200
1526444173685,-23,-40,-32,-46,-48,-53,-57,-50,-77,-70,-54,-89,-60,-200,-57,-62,-63,-62,-64,-69,-62,-67,-200,-80,-70,-200,-78,-43,-78,-74,-200,-78,-200,-55,-200,-200,-82,-200,-200,-200,-200,-200,-200,-77,-78,-200,-81,-75,-75,-88,-83,-90,-89,-200,-200,-200,-200,-200,-88,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-87,-89,-87,-200,-200
1526444176744,-23,-40,-33,-47,-46,-55,-59,-50,-76,-69,-54,-50,-200,-200,-57,-61,-200,-63,-58,-68,-62,-67,-200,-66,-70,-200,-74,-42,-77,-200,-76,-200,-200,-83,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-78,-82,-200,-75,-200,-88,-200,-90,-89,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200
1526444179763,-24,-40,-34,-48,-47,-54,-58,-51,-77,-70,-54,-55,-60,-78,-55,-62,-63,-60,-52,-66,-62,-67,-200,-65,-70,-200,-74,-41,-77,-77,-80,-68,-200,-83,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-78,-82,-200,-75,-200,-85,-85,-90,-81,-200,-200,-200,-200,-200,-88,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-87,-85,-200
1526444182817,-24,-40,-32,-45,-49,-52,-57,-49,-79,-72,-56,-55,-62,-78,-55,-59,-63,-52,-81,-71,-62,-71,-200,-70,-70,-79,-74,-45,-78,-76,-80,-70,-200,-86,-85,-76,-86,-85,-200,-200,-200,-200,-200,-200,-200,-200,-80,-66,-200,-85,-85,-200,-81,-200,-200,-200,-200,-200,-88,-200,-86,-200,-85,-200,-200,-200,-200,-200,-80,-87,-88,-200,-200,-85,-91
1526444185855,-25,-37,-33,-45,-50,-66,-57,-52,-78,-75,-51,-58,-62,-200,-56,-59,-57,-58,-54,-71,-66,-69,-200,-74,-200,-79,-72,-49,-52,-77,-76,-70,-200,-83,-85,-76,-81,-85,-200,-200,-200,-200,-200,-79,-200,-200,-80,-66,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-80,-87,-200,-200,-200,-200,-91
1526444188903,-26,-38,-33,-48,-55,-50,-56,-59,-76,-70,-55,-58,-67,-200,-72,-74,-53,-58,-59,-86,-78,-71,-200,-69,-200,-80,-72,-60,-76,-89,-76,-73,-89,-85,-200,-200,-81,-200,-200,-200,-89,-200,-200,-79,-92,-200,-90,-74,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-93,-79,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200
