,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,NETWORK,D-Link_DIR-823Pro,DLINK_D00E98,DLINK_D02A10,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526457907164,-42,-47,-42,-55,-60,-65,-51,-63,-49,-73,-71,-56,-58,-64,-60,-63,-68,-65,-70,-74,-74,-77,-82,-77,-72,-84,-71,-82,-73,-60,-74,-87,-200,-200,-84,-81,-84,-82,-89,-200,-90,-70,-85,-73,-85,-200,-88,-85,-90,-85,-90,-86,-95,-83,-84,-200,-88,-89,-87,-86,-94,-200,-91,-84,-200,-200,-94,-200,-93,-87,-96,-93,-200,-200,-200,-200,-200,-200,-200,-91,-89,-200,-91,-200,-200,-92,-96,-88,-200,-200,-81,-200,-200,-200,-92,-200,-200,-200,-96,-200,-80,-88,-95,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526457910215,-36,-51,-40,-54,-71,-51,-45,-63,-44,-68,-65,-54,-50,-61,-60,-63,-62,-74,-73,-74,-74,-77,-92,-77,-72,-82,-72,-83,-75,-59,-76,-85,-200,-200,-84,-81,-200,-78,-89,-200,-89,-74,-85,-79,-85,-83,-88,-85,-90,-87,-83,-92,-95,-83,-84,-89,-87,-89,-85,-86,-87,-90,-93,-87,-200,-200,-200,-200,-92,-87,-96,-93,-200,-88,-200,-200,-200,-90,-200,-91,-89,-200,-91,-200,-200,-95,-96,-88,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-88,-95,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526457913265,-44,-44,-39,-52,-63,-49,-43,-200,-50,-54,-68,-56,-56,-61,-58,-63,-65,-73,-73,-75,-74,-70,-89,-77,-74,-86,-73,-86,-75,-59,-73,-85,-200,-200,-86,-81,-87,-80,-89,-200,-89,-72,-84,-75,-82,-83,-86,-200,-90,-87,-81,-91,-95,-83,-84,-88,-87,-200,-88,-86,-92,-90,-95,-87,-200,-200,-200,-92,-92,-87,-95,-96,-200,-82,-88,-200,-200,-90,-200,-92,-84,-200,-93,-200,-200,-95,-92,-86,-200,-200,-89,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-95,-95,-200,-200,-200,-200,-200,-200,-200
1526457916314,-46,-42,-41,-47,-61,-52,-42,-71,-48,-69,-69,-55,-55,-64,-60,-62,-65,-72,-78,-74,-73,-68,-88,-77,-74,-82,-72,-84,-79,-63,-69,-85,-80,-95,-86,-85,-87,-78,-200,-200,-92,-70,-84,-73,-82,-81,-86,-200,-95,-87,-84,-91,-200,-200,-200,-88,-88,-200,-87,-88,-93,-89,-95,-86,-200,-200,-94,-94,-92,-92,-95,-94,-200,-82,-88,-200,-200,-90,-200,-92,-84,-200,-91,-200,-200,-95,-91,-84,-93,-200,-89,-200,-200,-200,-94,-200,-200,-95,-96,-200,-200,-200,-200,-200,-95,-90,-200,-200,-200,-200,-200,-200
1526457919368,-43,-42,-41,-58,-64,-57,-41,-71,-50,-72,-47,-56,-55,-59,-58,-66,-62,-79,-74,-75,-71,-73,-93,-77,-74,-82,-72,-80,-74,-62,-67,-200,-80,-95,-86,-85,-87,-78,-200,-200,-92,-73,-84,-79,-84,-81,-85,-91,-95,-200,-83,-92,-200,-88,-200,-86,-88,-200,-87,-87,-89,-92,-95,-86,-200,-200,-94,-94,-92,-87,-95,-93,-200,-82,-88,-200,-200,-200,-200,-95,-84,-200,-91,-200,-200,-93,-91,-84,-94,-200,-89,-200,-200,-200,-94,-200,-200,-95,-96,-200,-200,-200,-200,-200,-95,-90,-95,-200,-200,-200,-200,-200
1526457922420,-41,-41,-41,-58,-66,-59,-43,-66,-50,-67,-84,-60,-66,-65,-61,-66,-61,-73,-72,-75,-72,-73,-82,-77,-200,-82,-69,-80,-74,-68,-67,-84,-84,-95,-90,-85,-86,-82,-88,-200,-92,-73,-84,-81,-84,-81,-85,-91,-95,-200,-85,-92,-200,-88,-200,-87,-90,-200,-85,-89,-92,-92,-86,-86,-200,-200,-89,-91,-90,-88,-200,-93,-200,-82,-200,-200,-200,-200,-200,-95,-200,-200,-91,-200,-200,-92,-91,-84,-94,-200,-91,-200,-200,-200,-94,-200,-200,-96,-97,-200,-200,-86,-200,-200,-95,-90,-95,-200,-200,-200,-200,-200
1526457925479,-36,-44,-41,-56,-59,-62,-46,-68,-48,-71,-76,-59,-58,-62,-55,-66,-61,-70,-75,-76,-76,-78,-78,-77,-70,-84,-67,-83,-78,-58,-72,-84,-84,-93,-85,-69,-86,-80,-88,-200,-87,-74,-81,-74,-84,-85,-83,-91,-95,-90,-84,-90,-200,-88,-200,-84,-91,-200,-86,-89,-92,-92,-92,-200,-200,-200,-89,-91,-90,-89,-200,-93,-200,-89,-90,-200,-96,-200,-200,-94,-200,-200,-200,-200,-200,-94,-200,-84,-94,-200,-91,-200,-200,-200,-94,-200,-200,-95,-97,-200,-200,-86,-200,-200,-95,-200,-95,-200,-200,-200,-200,-200
1526457928529,-37,-43,-41,-55,-63,-53,-42,-66,-49,-77,-65,-54,-52,-61,-57,-66,-61,-70,-71,-75,-72,-74,-83,-79,-70,-91,-69,-83,-78,-65,-74,-84,-84,-93,-90,-69,-86,-79,-88,-200,-87,-68,-84,-77,-200,-85,-84,-200,-96,-90,-86,-91,-92,-89,-200,-84,-88,-200,-89,-89,-89,-200,-93,-200,-200,-200,-92,-91,-90,-88,-200,-200,-200,-89,-90,-200,-96,-200,-200,-94,-200,-200,-200,-200,-200,-94,-87,-85,-200,-200,-88,-200,-200,-200,-200,-200,-200,-95,-97,-200,-200,-86,-200,-200,-91,-200,-200,-97,-200,-200,-200,-200
1526457931563,-41,-43,-41,-63,-68,-52,-43,-65,-51,-64,-65,-56,-49,-63,-59,-61,-65,-72,-54,-76,-76,-72,-87,-79,-82,-82,-70,-90,-77,-61,-68,-87,-200,-93,-88,-69,-200,-79,-92,-200,-89,-73,-81,-76,-200,-85,-82,-86,-91,-90,-86,-90,-91,-88,-200,-87,-86,-93,-89,-89,-91,-200,-93,-82,-200,-200,-92,-92,-89,-88,-200,-88,-200,-89,-90,-200,-93,-200,-200,-94,-91,-200,-200,-200,-200,-94,-86,-85,-200,-94,-88,-200,-200,-200,-93,-200,-200,-95,-200,-200,-200,-200,-200,-96,-91,-200,-200,-97,-200,-200,-200,-200
1526457934617,-37,-43,-41,-58,-54,-58,-45,-63,-49,-71,-70,-54,-54,-60,-61,-61,-73,-67,-67,-72,-73,-63,-82,-76,-76,-81,-67,-90,-77,-60,-68,-90,-83,-93,-88,-200,-200,-81,-92,-200,-92,-65,-83,-81,-200,-200,-91,-86,-86,-86,-88,-93,-90,-88,-200,-88,-86,-93,-87,-87,-91,-88,-92,-83,-200,-200,-200,-92,-86,-84,-200,-91,-200,-81,-88,-200,-93,-91,-90,-200,-91,-200,-94,-200,-200,-200,-90,-89,-200,-91,-84,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-85,-200,-96,-200,-200,-200,-200,-94,-94,-96,-200
1526457937669,-42,-37,-40,-61,-58,-60,-43,-63,-55,-68,-72,-54,-51,-65,-58,-63,-68,-73,-73,-73,-81,-79,-85,-76,-76,-82,-67,-90,-77,-64,-68,-90,-82,-93,-86,-81,-200,-79,-92,-200,-94,-70,-81,-78,-200,-88,-84,-86,-86,-86,-90,-91,-90,-88,-87,-85,-86,-93,-87,-89,-91,-88,-89,-83,-200,-200,-200,-92,-86,-89,-200,-91,-200,-81,-88,-200,-95,-90,-90,-92,-91,-200,-94,-200,-200,-92,-90,-86,-200,-91,-82,-200,-200,-87,-93,-200,-200,-97,-200,-200,-200,-85,-200,-96,-200,-200,-200,-200,-94,-94,-96,-200
1526457940718,-43,-38,-40,-67,-63,-56,-42,-66,-47,-64,-55,-68,-51,-61,-58,-63,-63,-70,-68,-80,-77,-76,-85,-83,-76,-87,-71,-89,-77,-70,-68,-90,-81,-93,-90,-81,-200,-78,-200,-200,-93,-69,-81,-78,-200,-88,-86,-200,-94,-84,-84,-93,-90,-200,-87,-83,-86,-200,-86,-89,-200,-88,-89,-83,-200,-200,-200,-200,-89,-89,-200,-91,-200,-81,-88,-200,-95,-89,-87,-93,-200,-200,-94,-200,-200,-92,-90,-88,-200,-91,-90,-200,-200,-87,-91,-200,-200,-97,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-94,-94,-96,-92
