,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,WHU-2018,DLINK_D02A20,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro
1526457834701,-36,-48,-48,-47,-58,-52,-45,-57,-51,-60,-63,-55,-57,-57,-80,-54,-58,-57,-67,-70,-71,-65,-69,-75,-70,-67,-73,-73,-75,-73,-82,-89,-74,-82,-81,-200,-79,-75,-87,-71,-77,-77,-81,-84,-79,-87,-200,-85,-91,-200,-85,-200,-75,-85,-81,-88,-200,-90,-200,-200,-84,-200,-88,-90,-94,-93,-95,-94,-200,-200,-94,-200,-200,-94,-92,-97,-85,-88,-200,-89,-95,-95,-200,-200,-200,-85,-83,-200,-92,-92,-87,-89,-92,-200,-200,-200,-91,-92,-200,-93,-94,-96,-87,-100,-200,-200
1526457837755,-38,-51,-47,-41,-56,-53,-45,-53,-51,-59,-65,-56,-56,-55,-80,-63,-62,-62,-70,-76,-71,-66,-66,-76,-71,-70,-73,-89,-70,-72,-81,-89,-74,-81,-80,-81,-82,-74,-86,-71,-83,-77,-78,-86,-81,-91,-91,-85,-92,-200,-86,-200,-75,-88,-81,-200,-200,-90,-200,-200,-200,-90,-200,-91,-94,-93,-95,-94,-200,-200,-94,-200,-200,-91,-92,-97,-88,-88,-200,-89,-95,-95,-200,-200,-200,-85,-80,-200,-90,-92,-85,-89,-200,-200,-200,-200,-93,-93,-200,-200,-200,-95,-87,-100,-95,-200
1526457840810,-36,-50,-46,-45,-56,-52,-48,-54,-49,-59,-63,-59,-59,-57,-62,-56,-59,-58,-72,-67,-73,-64,-67,-77,-80,-69,-73,-81,-66,-72,-88,-86,-74,-83,-80,-78,-76,-74,-87,-71,-84,-200,-79,-82,-79,-91,-85,-200,-92,-200,-86,-200,-75,-85,-82,-90,-95,-90,-85,-200,-200,-89,-90,-90,-94,-93,-95,-94,-200,-200,-200,-200,-200,-92,-96,-97,-85,-200,-200,-92,-95,-95,-200,-200,-200,-89,-80,-200,-93,-92,-85,-200,-200,-200,-91,-200,-93,-93,-200,-95,-200,-95,-200,-200,-95,-200
1526457843867,-35,-48,-44,-47,-56,-52,-48,-45,-47,-56,-65,-59,-58,-57,-68,-56,-60,-61,-74,-68,-73,-69,-69,-77,-74,-70,-200,-79,-68,-72,-84,-85,-75,-84,-80,-78,-76,-75,-86,-200,-82,-200,-79,-83,-79,-86,-84,-200,-89,-200,-85,-200,-200,-84,-84,-91,-95,-90,-85,-200,-200,-88,-92,-90,-94,-94,-200,-94,-200,-200,-200,-200,-200,-92,-96,-200,-83,-86,-200,-89,-200,-95,-86,-200,-200,-89,-81,-200,-93,-93,-89,-200,-200,-200,-91,-200,-94,-93,-200,-95,-200,-95,-200,-200,-95,-200
1526457846914,-35,-42,-49,-42,-200,-52,-48,-55,-48,-63,-65,-56,-58,-58,-70,-56,-58,-54,-72,-69,-73,-68,-68,-81,-73,-70,-59,-81,-68,-72,-84,-85,-78,-87,-79,-81,-77,-74,-87,-73,-81,-200,-80,-84,-80,-86,-84,-82,-91,-200,-87,-200,-200,-85,-82,-92,-94,-90,-85,-200,-200,-88,-80,-88,-94,-91,-94,-94,-200,-200,-200,-200,-200,-94,-96,-200,-87,-86,-200,-91,-200,-94,-86,-200,-200,-89,-81,-200,-93,-93,-89,-200,-200,-200,-91,-200,-94,-200,-200,-95,-200,-200,-200,-200,-95,-96
1526457849967,-38,-48,-46,-42,-200,-50,-47,-54,-49,-58,-68,-57,-60,-58,-74,-57,-59,-54,-67,-68,-200,-67,-67,-77,-73,-71,-59,-81,-68,-72,-87,-86,-73,-85,-78,-78,-77,-76,-83,-73,-81,-200,-82,-84,-82,-86,-88,-82,-90,-97,-86,-200,-200,-84,-82,-92,-94,-90,-200,-200,-200,-88,-90,-91,-94,-94,-95,-94,-200,-200,-200,-200,-200,-93,-200,-200,-87,-87,-200,-91,-200,-94,-86,-200,-200,-200,-81,-200,-94,-93,-87,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-95,-96
1526457853014,-39,-49,-49,-44,-56,-53,-42,-55,-48,-62,-66,-59,-57,-59,-73,-55,-63,-61,-72,-70,-69,-69,-67,-82,-80,-71,-59,-85,-67,-71,-87,-65,-79,-84,-79,-78,-77,-76,-86,-69,-79,-200,-68,-84,-82,-86,-88,-82,-91,-97,-86,-200,-200,-83,-82,-92,-94,-92,-200,-200,-200,-200,-90,-89,-93,-91,-97,-94,-200,-200,-200,-200,-200,-93,-200,-200,-87,-87,-200,-92,-200,-94,-84,-200,-200,-200,-200,-200,-95,-200,-87,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-95,-96
1526457856061,-35,-52,-47,-41,-56,-52,-44,-54,-48,-67,-64,-56,-57,-58,-73,-56,-59,-54,-73,-66,-66,-69,-69,-79,-81,-71,-200,-83,-68,-72,-86,-87,-78,-85,-79,-79,-77,-73,-88,-73,-79,-89,-67,-85,-81,-86,-88,-200,-91,-97,-87,-200,-200,-84,-83,-89,-200,-92,-200,-200,-200,-92,-90,-90,-93,-92,-97,-200,-200,-86,-200,-200,-200,-93,-200,-200,-86,-87,-200,-92,-200,-200,-84,-200,-200,-200,-200,-200,-92,-200,-87,-200,-200,-200,-200,-200,-93,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526457859110,-39,-49,-45,-43,-56,-53,-48,-55,-49,-57,-67,-59,-59,-60,-74,-56,-60,-59,-72,-69,-66,-65,-69,-79,-84,-71,-200,-83,-69,-71,-86,-87,-77,-84,-80,-79,-77,-74,-88,-73,-79,-89,-79,-85,-82,-88,-200,-200,-90,-200,-86,-200,-83,-84,-84,-90,-200,-91,-94,-200,-200,-92,-200,-90,-93,-92,-95,-96,-200,-86,-200,-96,-200,-95,-200,-200,-86,-86,-200,-92,-200,-200,-84,-200,-200,-200,-81,-200,-93,-200,-87,-200,-200,-200,-200,-200,-82,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526457862162,-36,-49,-45,-43,-55,-50,-46,-55,-49,-65,-66,-58,-53,-60,-69,-57,-63,-62,-72,-69,-68,-65,-70,-76,-84,-73,-74,-82,-69,-71,-86,-89,-77,-84,-80,-82,-77,-75,-87,-73,-78,-89,-77,-85,-82,-87,-200,-200,-88,-94,-86,-91,-83,-85,-83,-90,-94,-92,-94,-200,-200,-91,-80,-93,-93,-93,-95,-96,-200,-86,-200,-96,-200,-95,-200,-200,-86,-86,-200,-92,-200,-200,-200,-200,-200,-200,-93,-200,-94,-200,-87,-200,-200,-200,-200,-200,-82,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526457865215,-40,-48,-47,-47,-60,-51,-43,-53,-49,-65,-63,-58,-57,-59,-59,-53,-59,-60,-64,-74,-68,-65,-69,-79,-71,-71,-75,-80,-65,-72,-86,-85,-80,-83,-82,-82,-77,-77,-87,-77,-75,-200,-79,-86,-81,-87,-84,-200,-93,-94,-86,-91,-83,-86,-83,-90,-94,-92,-95,-200,-200,-91,-80,-90,-93,-90,-95,-92,-200,-200,-200,-96,-200,-93,-200,-84,-200,-86,-94,-88,-200,-95,-200,-200,-200,-200,-93,-200,-92,-80,-87,-200,-200,-200,-200,-200,-94,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526457868265,-37,-48,-47,-43,-61,-53,-46,-51,-51,-65,-67,-56,-57,-56,-67,-57,-60,-57,-72,-73,-68,-64,-68,-75,-73,-71,-74,-72,-70,-73,-83,-93,-73,-77,-81,-82,-77,-77,-87,-78,-76,-200,-80,-85,-80,-87,-84,-84,-91,-94,-90,-91,-83,-85,-83,-200,-94,-89,-95,-200,-200,-93,-80,-90,-95,-93,-95,-93,-200,-200,-200,-200,-200,-97,-93,-84,-85,-86,-94,-87,-96,-95,-200,-200,-200,-200,-81,-200,-92,-80,-87,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
