,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whjx-gaofeng-13,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whjx-gaofeng-1,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018
1526443116766,-39,-31,-47,-67,-57,-60,-63,-61,-69,-71,-71,-77,-81,-70,-73,-80,-82,-68,-77,-76,-200,-84,-92,-84,-89,-81,-89,-88,-200,-83,-90,-75,-90,-94,-90,-82,-96,-92,-88,-82,-82,-90,-83,-200,-81,-200,-200,-200,-92,-200,-94,-200,-200,-200,-200,-79,-200,-80,-200,-200,-95,-91,-200,-200,-200,-96,-200,-96,-94,-200,-93,-200,-92,-200,-200,-93,-95,-96,-87,-98,-200,-200,-200,-200,-200,-200,-200
1526443119811,-45,-31,-47,-62,-65,-57,-60,-63,-68,-69,-74,-79,-78,-72,-68,-82,-76,-66,-75,-83,-200,-81,-91,-79,-92,-81,-86,-91,-200,-83,-86,-76,-88,-85,-92,-84,-200,-88,-91,-87,-89,-90,-85,-200,-81,-200,-200,-98,-92,-91,-200,-200,-91,-200,-200,-91,-200,-80,-95,-92,-200,-91,-200,-200,-200,-96,-200,-200,-94,-97,-93,-200,-93,-200,-200,-200,-96,-200,-87,-98,-82,-96,-200,-200,-200,-200,-200
1526443122871,-42,-32,-47,-61,-60,-59,-60,-58,-72,-68,-74,-80,-75,-72,-57,-82,-78,-72,-76,-82,-91,-84,-92,-91,-92,-79,-86,-93,-76,-83,-87,-72,-94,-85,-92,-84,-93,-89,-90,-92,-89,-90,-82,-200,-81,-200,-200,-98,-92,-91,-200,-200,-92,-96,-200,-86,-200,-93,-94,-92,-200,-91,-200,-200,-200,-96,-200,-200,-200,-97,-94,-200,-93,-200,-200,-200,-96,-200,-200,-98,-82,-96,-200,-200,-200,-200,-200
1526443125915,-41,-26,-47,-60,-59,-56,-62,-66,-72,-61,-73,-81,-83,-75,-74,-80,-79,-72,-80,-81,-91,-82,-89,-79,-92,-78,-90,-91,-76,-200,-88,-70,-88,-91,-88,-83,-93,-88,-92,-84,-93,-90,-77,-200,-94,-200,-97,-98,-200,-94,-200,-200,-90,-96,-200,-86,-95,-93,-94,-92,-200,-91,-200,-200,-200,-94,-200,-200,-200,-97,-93,-200,-91,-200,-97,-200,-96,-200,-200,-200,-82,-96,-97,-200,-200,-200,-200
1526443128962,-37,-33,-46,-58,-56,-56,-65,-60,-60,-74,-71,-74,-75,-72,-73,-80,-76,-70,-77,-75,-91,-89,-86,-80,-88,-73,-90,-86,-76,-85,-88,-72,-89,-91,-88,-81,-93,-91,-91,-87,-93,-90,-77,-200,-92,-200,-95,-93,-88,-94,-200,-200,-91,-96,-200,-83,-95,-84,-94,-200,-200,-93,-94,-200,-200,-93,-200,-200,-96,-200,-92,-200,-91,-200,-97,-95,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200
1526443132010,-42,-34,-56,-54,-59,-51,-71,-60,-55,-60,-83,-76,-72,-72,-66,-86,-76,-62,-84,-76,-84,-77,-86,-76,-90,-78,-92,-87,-83,-86,-85,-67,-92,-91,-82,-73,-93,-91,-84,-87,-89,-84,-72,-94,-92,-200,-95,-91,-92,-90,-200,-200,-88,-200,-200,-92,-95,-84,-95,-94,-200,-92,-91,-200,-200,-93,-200,-200,-96,-200,-93,-200,-91,-200,-97,-95,-200,-200,-200,-200,-200,-200,-97,-96,-200,-200,-200
1526443135057,-42,-32,-46,-57,-56,-57,-63,-58,-62,-62,-69,-80,-73,-67,-71,-74,-75,-71,-82,-81,-78,-83,-79,-83,-81,-75,-88,-89,-75,-86,-85,-74,-83,-88,-81,-79,-93,-88,-93,-88,-90,-90,-90,-94,-92,-200,-95,-91,-92,-85,-200,-200,-93,-200,-200,-82,-200,-87,-95,-94,-98,-92,-91,-200,-95,-200,-95,-200,-200,-200,-93,-200,-200,-200,-200,-92,-200,-200,-90,-200,-200,-200,-96,-96,-200,-200,-200
1526443138112,-40,-25,-46,-57,-61,-53,-64,-58,-60,-62,-70,-85,-71,-66,-61,-74,-78,-76,-82,-79,-83,-82,-78,-81,-86,-78,-90,-87,-78,-86,-85,-68,-84,-85,-83,-76,-89,-92,-88,-90,-88,-90,-80,-94,-92,-200,-95,-95,-92,-85,-94,-200,-90,-200,-200,-92,-200,-93,-92,-94,-96,-92,-91,-200,-95,-200,-95,-200,-200,-200,-93,-200,-200,-200,-200,-92,-200,-200,-90,-200,-200,-200,-96,-96,-96,-200,-200
1526443141162,-47,-34,-44,-63,-56,-52,-63,-56,-63,-66,-73,-80,-74,-66,-72,-70,-84,-80,-77,-80,-83,-81,-80,-78,-82,-78,-90,-87,-75,-200,-85,-74,-82,-87,-84,-73,-88,-83,-93,-89,-91,-92,-80,-97,-88,-200,-200,-92,-91,-85,-94,-200,-92,-200,-200,-85,-96,-68,-92,-90,-96,-200,-200,-200,-95,-200,-95,-200,-94,-95,-92,-200,-94,-200,-200,-92,-200,-200,-90,-200,-200,-200,-96,-200,-96,-200,-200
1526443144206,-52,-26,-44,-60,-55,-52,-65,-55,-59,-65,-77,-80,-73,-66,-75,-76,-93,-78,-80,-81,-83,-86,-81,-82,-84,-81,-90,-86,-76,-200,-82,-71,-84,-89,-84,-76,-90,-82,-88,-89,-79,-92,-88,-97,-90,-94,-200,-93,-91,-87,-94,-200,-92,-95,-200,-80,-96,-92,-92,-90,-96,-93,-200,-96,-95,-95,-200,-200,-94,-95,-93,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-96,-92,-200
1526443147246,-45,-26,-50,-55,-56,-54,-59,-67,-57,-63,-72,-79,-74,-200,-76,-76,-80,-73,-76,-83,-200,-89,-81,-86,-86,-74,-95,-89,-75,-200,-85,-71,-85,-88,-92,-79,-94,-86,-89,-89,-87,-92,-76,-92,-90,-91,-200,-93,-91,-94,-200,-200,-90,-95,-200,-80,-96,-92,-93,-94,-200,-93,-93,-96,-96,-96,-200,-200,-94,-95,-92,-200,-94,-200,-200,-94,-200,-200,-200,-200,-200,-200,-96,-200,-200,-92,-99
1526443150291,-43,-37,-53,-57,-62,-54,-65,-64,-62,-70,-69,-74,-73,-200,-70,-76,-77,-67,-82,-83,-200,-84,-84,-78,-86,-72,-86,-84,-73,-200,-82,-70,-81,-84,-85,-82,-97,-89,-94,-200,-82,-92,-76,-92,-89,-91,-200,-91,-90,-94,-200,-200,-92,-95,-200,-81,-200,-74,-95,-94,-200,-91,-93,-94,-96,-96,-200,-200,-94,-200,-92,-200,-200,-96,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-99
