,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526447314054,-31,-33,-53,-50,-49,-39,-49,-50,-53,-48,-65,-71,-55,-60,-54,-56,-69,-51,-67,-65,-59,-62,-58,-58,-69,-75,-79,-65,-67,-81,-75,-81,-66,-75,-82,-66,-200,-81,-77,-73,-87,-72,-74,-73,-85,-85,-86,-200,-76,-86,-86,-84,-83,-85,-200,-79,-79,-85,-87,-88,-200,-90,-89,-200,-95,-89,-91,-200,-200,-90,-200,-200,-200,-200,-67,-79,-80,-200,-200,-200,-91,-200,-89,-200,-200,-87,-88,-89,-200,-90,-200,-88,-86,-91,-90,-82,-200,-200,-200,-200,-200,-200,-200
1526447317097,-15,-33,-55,-50,-50,-37,-46,-50,-54,-49,-65,-71,-54,-60,-63,-56,-68,-49,-69,-65,-59,-62,-60,-58,-68,-64,-82,-59,-74,-76,-83,-200,-66,-75,-82,-66,-200,-83,-76,-69,-85,-72,-73,-73,-84,-85,-86,-200,-76,-88,-86,-85,-83,-85,-200,-80,-77,-85,-200,-88,-88,-200,-90,-200,-95,-94,-89,-200,-200,-90,-200,-200,-200,-200,-67,-83,-200,-200,-200,-200,-91,-200,-89,-200,-200,-87,-89,-89,-200,-90,-200,-88,-200,-91,-90,-82,-78,-83,-91,-200,-200,-200,-200
1526447320140,-31,-34,-52,-50,-50,-39,-48,-49,-54,-52,-68,-70,-55,-60,-65,-56,-66,-50,-65,-63,-58,-61,-57,-56,-70,-75,-84,-68,-67,-78,-68,-76,-66,-76,-81,-66,-200,-83,-78,-70,-86,-74,-75,-73,-85,-86,-91,-81,-77,-86,-200,-85,-88,-85,-200,-81,-84,-85,-200,-88,-88,-200,-89,-200,-95,-94,-90,-200,-200,-200,-81,-85,-200,-200,-200,-81,-70,-85,-200,-92,-200,-200,-200,-200,-87,-87,-87,-89,-200,-90,-200,-88,-200,-89,-89,-82,-78,-83,-91,-80,-200,-200,-200
1526447323173,-32,-31,-53,-50,-51,-39,-50,-51,-53,-48,-72,-71,-53,-200,-58,-56,-66,-56,-68,-63,-61,-60,-59,-56,-68,-68,-84,-68,-65,-75,-76,-76,-78,-76,-84,-66,-200,-83,-77,-70,-85,-74,-73,-73,-84,-86,-84,-81,-77,-89,-200,-83,-88,-84,-200,-81,-84,-200,-200,-88,-88,-200,-89,-200,-200,-87,-89,-200,-200,-200,-81,-83,-200,-200,-200,-81,-70,-79,-200,-92,-200,-200,-89,-200,-87,-87,-87,-200,-200,-200,-200,-88,-200,-89,-91,-200,-78,-83,-88,-80,-200,-200,-200
1526447326218,-32,-32,-55,-50,-50,-39,-49,-54,-51,-44,-72,-70,-53,-49,-59,-56,-63,-57,-64,-65,-61,-58,-68,-56,-62,-67,-84,-58,-67,-76,-75,-76,-67,-77,-81,-66,-200,-200,-76,-73,-82,-74,-72,-200,-84,-86,-79,-81,-77,-85,-83,-83,-88,-84,-200,-81,-65,-200,-200,-88,-200,-200,-89,-200,-200,-87,-89,-200,-200,-200,-81,-83,-200,-200,-200,-81,-70,-79,-200,-92,-200,-200,-89,-200,-87,-91,-84,-90,-200,-200,-200,-200,-200,-89,-91,-200,-200,-200,-88,-80,-82,-92,-200
1526447329266,-32,-33,-52,-49,-50,-38,-51,-50,-52,-51,-69,-70,-55,-49,-63,-56,-65,-50,-68,-67,-60,-62,-57,-59,-70,-68,-76,-58,-68,-83,-76,-200,-79,-76,-81,-58,-200,-82,-80,-70,-87,-200,-72,-73,-84,-200,-84,-200,-200,-87,-83,-83,-79,-84,-90,-81,-78,-200,-200,-89,-90,-200,-200,-200,-90,-87,-89,-200,-200,-200,-200,-83,-200,-200,-200,-79,-91,-79,-200,-200,-89,-200,-89,-200,-87,-89,-88,-90,-200,-200,-200,-200,-200,-200,-91,-85,-200,-200,-88,-200,-82,-92,-200
1526447332312,-15,-30,-57,-49,-51,-40,-45,-52,-52,-46,-72,-71,-51,-56,-58,-57,-64,-56,-65,-67,-63,-60,-60,-59,-70,-68,-76,-56,-68,-78,-76,-74,-79,-74,-84,-66,-200,-82,-77,-69,-86,-73,-73,-73,-84,-200,-84,-200,-80,-88,-83,-83,-79,-85,-90,-80,-78,-200,-200,-89,-90,-200,-200,-200,-90,-87,-90,-200,-200,-200,-200,-83,-200,-200,-200,-79,-91,-84,-200,-200,-89,-200,-89,-200,-200,-89,-88,-90,-200,-200,-200,-200,-200,-200,-91,-85,-200,-200,-88,-200,-82,-92,-85
1526447335352,-31,-33,-57,-53,-49,-39,-45,-52,-51,-51,-75,-70,-54,-56,-59,-60,-64,-56,-63,-67,-60,-59,-67,-54,-67,-69,-87,-59,-65,-76,-80,-74,-67,-77,-84,-68,-200,-82,-78,-80,-84,-73,-73,-73,-84,-200,-84,-82,-80,-88,-92,-83,-78,-87,-90,-83,-78,-85,-200,-89,-90,-90,-200,-200,-89,-200,-92,-200,-200,-200,-200,-83,-200,-200,-200,-80,-91,-84,-200,-200,-89,-200,-200,-200,-200,-89,-87,-90,-92,-200,-200,-89,-200,-200,-200,-85,-200,-200,-200,-200,-82,-92,-85
1526447338388,-33,-31,-54,-50,-49,-38,-48,-50,-53,-47,-74,-62,-53,-62,-56,-60,-64,-56,-61,-67,-60,-59,-62,-59,-68,-69,-68,-60,-66,-76,-77,-75,-91,-74,-84,-66,-200,-82,-78,-76,-84,-74,-73,-73,-86,-87,-85,-79,-80,-87,-91,-86,-80,-85,-90,-81,-77,-85,-91,-88,-90,-90,-89,-200,-89,-200,-92,-200,-200,-200,-200,-83,-200,-200,-200,-79,-91,-85,-200,-200,-89,-200,-200,-200,-200,-88,-88,-90,-92,-89,-200,-89,-200,-89,-200,-83,-200,-200,-200,-200,-200,-200,-85
1526447341430,-39,-34,-61,-52,-48,-47,-54,-50,-53,-48,-71,-72,-55,-61,-58,-59,-66,-57,-64,-71,-61,-63,-62,-59,-69,-67,-76,-59,-67,-78,-77,-73,-75,-75,-86,-63,-200,-200,-78,-74,-85,-74,-72,-75,-83,-85,-85,-79,-80,-87,-91,-85,-80,-85,-200,-79,-77,-85,-89,-88,-90,-90,-88,-200,-89,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-85,-200,-200,-89,-200,-200,-200,-200,-85,-88,-88,-92,-89,-200,-89,-200,-89,-200,-83,-200,-200,-200,-200,-200,-200,-85
1526447344474,-34,-34,-56,-52,-50,-38,-48,-49,-51,-49,-74,-71,-53,-66,-56,-58,-62,-54,-65,-64,-59,-61,-60,-56,-69,-69,-76,-59,-65,-79,-80,-74,-66,-75,-81,-66,-200,-82,-77,-68,-88,-74,-73,-74,-87,-89,-84,-79,-80,-84,-91,-86,-68,-85,-200,-80,-76,-85,-89,-86,-90,-89,-88,-200,-89,-89,-91,-200,-200,-90,-200,-200,-200,-200,-200,-79,-200,-68,-200,-200,-89,-200,-200,-200,-200,-86,-88,-90,-92,-84,-200,-89,-200,-89,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526447347491,-34,-33,-54,-52,-50,-23,-45,-51,-51,-49,-69,-71,-53,-66,-61,-62,-67,-54,-71,-64,-62,-65,-59,-56,-69,-74,-76,-61,-67,-80,-80,-74,-66,-74,-82,-66,-200,-82,-77,-69,-87,-74,-71,-75,-85,-89,-84,-79,-80,-84,-91,-86,-68,-85,-200,-83,-80,-200,-89,-88,-90,-89,-88,-200,-89,-89,-91,-200,-200,-90,-200,-200,-200,-200,-200,-79,-200,-68,-200,-200,-200,-200,-200,-200,-200,-86,-88,-92,-200,-84,-200,-89,-200,-89,-200,-83,-200,-200,-200,-200,-200,-200,-200
